category_name,subcategory_name,url
Женская одежда,Блузки и рубашки,//aliexpress.ru/category/202003912/blouses-shirts.html
Женская одежда,Блузки и рубашки,//aliexpress.ru/category/205903103/women-tops.html
Женская одежда,Боди,//aliexpress.ru/category/202059286/bodysuits.html
Женская одежда,Брюки,//aliexpress.ru/category/202032003/bottoms.html
Женская одежда,Верхняя одежда,//aliexpress.ru/category/202003444/jackets-coats.html
Женская одежда,Джемперы и кардиганы,//aliexpress.ru/category/202003449/sweaters.html
Женская одежда,Джинсы,//aliexpress.ru/category/205873302/jeans.html
Женская одежда,Женские пижамы,//aliexpress.ru/category/202003445/women-sleepwears.html
Женская одежда,Жилеты,//aliexpress.ru/category/202003504/vests.html
Женская одежда,Комбинезоны,//aliexpress.ru/category/202003589/jumpsuits.html
Женская одежда,Комбинезоны c шортами,//aliexpress.ru/category/202059291/rompers.html
Женская одежда,Костюмы,//aliexpress.ru/category/202003448/suits-sets.html
Женская одежда,Купальники и пляжная одежда,//aliexpress.ru/category/205895501/swimsuit.html
Женская одежда,Женское нижнее белье,//aliexpress.ru/category/202003442/women-intimates.html
Женская одежда,Женские носки и чулочные изделия,//aliexpress.ru/category/202003447/women-socks-hosiery.html
Женская одежда,Пиджаки,//aliexpress.ru/category/202003507/blazers.html
Женская одежда,Платья,//aliexpress.ru/category/202005148/dresses.html
Женская одежда,Толстовки и свитшоты,//aliexpress.ru/category/202001904/hoodies-sweatshirts.html
Женская одежда,Футболки и  топы,//aliexpress.ru/category/202003451/tops-tees.html
Женская одежда,Шорты,//aliexpress.ru/category/202001909/shorts.html
Женская одежда,Юбки,//aliexpress.ru/category/202002388/skirts.html
Мужская одежда,Брюки,//aliexpress.ru/category/202032005/pants.html
Мужская одежда,Верхняя одежда,//aliexpress.ru/category/202003386/jackets-coats.html
Мужская одежда,"Джемперы, свитеры и кардиганы",//aliexpress.ru/category/202003404/sweaters.html
Мужская одежда,Джинсы,//aliexpress.ru/category/202001897/jeans.html
Мужская одежда,Домашняя одежда,//aliexpress.ru/category/202003392/men-sleep-lounge.html
Мужская одежда,Жилеты,//aliexpress.ru/category/202003407/vests.html
Мужская одежда,Костюмы,//aliexpress.ru/category/202003398/suits-blazers.html
Мужская одежда,Мужское нижнее белье,//aliexpress.ru/category/202003410/men-underwear.html
Мужская одежда,Мужские носки,//aliexpress.ru/category/202005156/men-socks.html
Мужская одежда,Пиджаки,//aliexpress.ru/category/202003399/blazers.html
Мужская одежда,Плавки и пляжные шорты,//aliexpress.ru/category/202003411/board-shorts.html
Мужская одежда,Рубашки,//aliexpress.ru/category/202003388/shirts.html
Мужская одежда,Спортивные костюмы,//aliexpress.ru/category/202060623/men-sets.html
Мужская одежда,Толстовки и свитшоты,//aliexpress.ru/category/202001895/hoodies-sweatshirts.html
Мужская одежда,Футболки и поло,//aliexpress.ru/category/202003409/tops-tees.html
Мужская одежда,Шорты,//aliexpress.ru/category/202001898/casual-shorts.html
Мобильные телефоны и аксессуары,Смартфоны,//aliexpress.ru/category/202001195/cellphones.html
Мобильные телефоны и аксессуары,Apple iPhone,//aliexpress.ru/category/205833703/iphones.html
Мобильные телефоны и аксессуары,Мобильные телефоны,//aliexpress.ru/category/205840103/feature-phones.html
Мобильные телефоны и аксессуары,Восстановленные телефоны,//aliexpress.ru/category/205834006/refurbished-phones.html
Мобильные телефоны и аксессуары,Аксессуары для мобильных телефонов,//aliexpress.ru/category/202040726/mobile-phone-accessories.html
Мобильные телефоны и аксессуары,Запчасти для мобильных телефонов,//aliexpress.ru/category/202040641/mobile-phone-parts.html
Мобильные телефоны и аксессуары,Внешние аккумуляторы,//aliexpress.ru/category/202004979/power-bank.html
Мобильные телефоны и аксессуары,Чехлы для смартфонов,//aliexpress.ru/category/202060849/phone-bags-cases.html
Мобильные телефоны и аксессуары,Сенсорные панели (тачскрин),//aliexpress.ru/category/202040017/mobile-phone-touch-panel.html
Мобильные телефоны и аксессуары,Коммуникационное оборудование,//aliexpress.ru/category/202040568/communication-equipments.html
Мобильные телефоны и аксессуары,Рации,//aliexpress.ru/category/202000501/walkie-talkie.html
Мобильные телефоны и аксессуары,Запчасти и аксессуары для раций,//aliexpress.ru/category/205706009/walkie-talkie-parts-accessories.html
Мобильные телефоны и аксессуары,Телефоны и аксессуары,//aliexpress.ru/category/202001198/telephones-accessories.html
Мать и ребенок,Одежда для малышек,//aliexpress.ru/category/202003351/girls-baby-clothing.html
Мать и ребенок,Одежда для малышей,//aliexpress.ru/category/202003325/boys-baby-clothing.html
Мать и ребенок,Одежда для девочек,//aliexpress.ru/category/202001922/girls-clothing.html
Мать и ребенок,Одежда для мальчиков,//aliexpress.ru/category/202001910/boys-clothing.html
Мать и ребенок,Обувь для детей,//aliexpress.ru/category/202000438/children-shoes.html
Мать и ребенок,Оборудование и механизмы,//aliexpress.ru/category/202005245/activity-gear.html
Мать и ребенок,Смена подгузников,//aliexpress.ru/category/202004403/nappy-changing.html
Мать и ребенок,Уход за ребенком,//aliexpress.ru/category/202001655/baby-care.html
Мать и ребенок,Детское постельное белье,//aliexpress.ru/category/202001875/baby-bedding.html
Мать и ребенок,Защитная экипировка,//aliexpress.ru/category/202005243/safety-equipment.html
Мать и ребенок,Кормление,//aliexpress.ru/category/202005246/feeding.html
Мать и ребенок,Сочетающаяся одежда для семьи,//aliexpress.ru/category/202058006/matching-family-outfits.html
Мать и ребенок,Обувь для малышей,//aliexpress.ru/category/202004208/baby-shoes.html
Мать и ребенок,Приучение к туалету,//aliexpress.ru/category/202061457/toilet-training.html
Мать и ребенок,Беременность и материнство,//aliexpress.ru/category/202061471/pregnancy-maternity.html
Мать и ребенок,Детские сувениры,//aliexpress.ru/category/202061470/baby-souvenirs.html
Мать и ребенок,Мебель для малышей,//aliexpress.ru/category/202061463/baby-furniture.html
Мать и ребенок,Детское питание,//aliexpress.ru/category/202062411/baby-food.html
Мать и ребенок,Аксессуары,//aliexpress.ru/category/205870501/accessories.html
Мать и ребенок,Детская коляска,//aliexpress.ru/category/202061437/baby-stroller.html
Мать и ребенок,Сиденья и аксессуары для авто,//aliexpress.ru/category/202061413/car-seats-accessories.html
Автомобили и мотоциклы,Автомобильные фары,//aliexpress.ru/category/202060004/car-lights.html
Автомобили и мотоциклы,Запчасти для авто,//aliexpress.ru/category/202003061/auto-replacement-parts.html
Автомобили и мотоциклы,Автоэлектроника,//aliexpress.ru/category/202003214/car-electronics.html
Автомобили и мотоциклы,Аксессуары для салона,//aliexpress.ru/category/202005855/interior-accessories.html
Автомобили и мотоциклы,Инструменты для ремонта авто,//aliexpress.ru/category/202059947/car-repair-tools.html
Автомобили и мотоциклы,Аксессуары и детали для мотоциклов,//aliexpress.ru/category/202003239/motorcycle-accessories-parts.html
Автомобили и мотоциклы,Внешние аксессуары,//aliexpress.ru/category/202005856/exterior-accessories.html
Автомобили и мотоциклы,Мытье и уход за машиной,//aliexpress.ru/category/202060968/car-wash-maintenance.html
Автомобили и мотоциклы,"Вездеходы, фургоны, лодки и др. транспорт",//aliexpress.ru/category/202058406/atv-rv-boat-other-vehicle.html
Автомобили и мотоциклы,Товары для путешествий и дороги,//aliexpress.ru/category/202060970/travel-roadway-product.html
Автомобили и мотоциклы,Моторное масло,//aliexpress.ru/category/202060134/engine-oil.html
Автомобили и мотоциклы,Диски колёсные,//aliexpress.ru/category/202060159/wheels.html
Автомобили и мотоциклы,Шины,//aliexpress.ru/category/202060144/tires.html
Украшения и аксессуары,Ювелирные украшения,//aliexpress.ru/category/202048008/fine-jewelry.html
Украшения и аксессуары,Ожерелья и подвески,//aliexpress.ru/category/202003002/necklaces-pendants.html
Украшения и аксессуары,Серьги,//aliexpress.ru/category/202003020/earrings.html
Украшения и аксессуары,Кольца,//aliexpress.ru/category/202002588/rings.html
Украшения и аксессуары,Гибкие и жесткие браслеты,//aliexpress.ru/category/202002994/bracelets-bangles.html
Украшения и аксессуары,Наборы ювелирных украшений и другое,//aliexpress.ru/category/202040790/jewelry-sets-more.html
Украшения и аксессуары,Изготовление бус и бижутерии,//aliexpress.ru/category/202042001/beads-jewelry-making.html
Украшения и аксессуары,Ювелирные изделия на свадьбу и помолвку,//aliexpress.ru/category/202003036/wedding-engagement-jewelry.html
Украшения и аксессуары,Изготовление ювелирных изделий,//aliexpress.ru/category/205873611/jewelry-making.html
Украшения и аксессуары,Индивидуальные ювелирные изделия,//aliexpress.ru/category/205955405/customized-jewelry.html
Наручные часы,Мужские часы,//aliexpress.ru/category/202058117/men-watches.html
Наручные часы,Женские часы,//aliexpress.ru/category/202058113/women-watches.html
Наручные часы,Часы для любимого,//aliexpress.ru/category/202058110/lover-watches.html
Наручные часы,Детские часы,//aliexpress.ru/category/202058107/children-watches.html
Наручные часы,Карманные часы,//aliexpress.ru/category/202001052/pocket-fob-watches.html
Наручные часы,Аксессуары для наручных часов,//aliexpress.ru/category/202002986/watch-accessories.html
Наручные часы,Женские часы-браслеты,//aliexpress.ru/category/202058106/women-bracelet-watches.html
