id	description	number_of_orders	price	url
33053224151	Новая Большая Вместительная дорожная сумка для мужчин и женщин, сумка для выходных, большая Вместительная дорожная сумка, сумки для перенос...	73 продано	305,01 руб.	//aliexpress.ru/item/33053224151.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-0&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000934442367	Милая кошка, чемодан, ярлык, имя, адрес, держатель, багаж, ярлык, портативный ярлык, сумка для путешествий, аксессуары, дорожная сумка, ярлык		59,58 - 136,62 руб.	//aliexpress.ru/item/4000934442367.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-1&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32848519114	Животное Мультфильм Фламинго багажная бирка аксессуары для путешествий чемодан из ПУ-кожи ID адрес держатель багаж посадочная бирка портат...	17 продано	113,59 руб.	//aliexpress.ru/item/32848519114.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-2&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33030527691	Дорожный прозрачный пластмассовый распылитель для духов, 3 цвета, 1 шт., 30 мл, 60 мл	26 продано	88,17 - 113,59 руб.	//aliexpress.ru/item/33030527691.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-3&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000710064402	Дорожная сумка из ПУ кожи для мужчин, Большая вместительная сумка для путешествий, 2019	2 продано	2 328,81 руб.	//aliexpress.ru/item/4000710064402.html?s=p&ad_pvid=202009250440053291030894183800002585888_1&algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-4&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000049633910	7 шт. Мини Путешествия Макияж Косметический Крем для лица горшок бутылки прозрачные пластиковые дорожные аксессуары пустой контейнер для к...	667 продано	280,38 руб.	//aliexpress.ru/item/4000049633910.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-6&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000101120385	Эластичный Защитный чехол для чемодана SEREQI, недорогой чехол для чемодана размером 18-32 дюйма, новые аксессуары для путешествий, Привлекатель...	201 продано	444 - 863,38 руб.	//aliexpress.ru/item/4000101120385.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-7&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32895524345	Креативная бирка для багажа с мультяшным животным, держатель для багажа из силикагеля, переносная бирка для багажа N115	172 продано	84,99 - 143,77 руб.	//aliexpress.ru/item/32895524345.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-8&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000709059033	NINETYGO 90FUN Классический Чемодан PC 20 Дюймов Красочный Чемодан На Колесах Универсальный Руль Легкий Для Переноски Путешествий Командировка TSA З...	12 продано	7 147,66 руб.	//aliexpress.ru/item/4000709059033.html?s=p&ad_pvid=202009250440053291030894183800002585888_2&algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-9&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33036855446	Дорожная сумка, большая вместимость, Мужская ручная сумка, дорожная сумка, сумки для выходных, многофункциональные дорожные сумки Malas De Viagem	789 продано	1 077,04 руб.	//aliexpress.ru/item/33036855446.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-11&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000434961671	Портативная спасательная коробка, сумка для хранения аптечек, сумка для экстренной медицинской помощи, сумка для выживания на открытом воз...	377 продано	50,84 - 274,82 руб.	//aliexpress.ru/item/4000434961671.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-12&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000118517276	Сумка на шнурке с мультяшным медведем, прозрачный дорожный Органайзер, сумка для хранения обуви, упаковка одежды, дорожные аксессуары	1117 продано	15,10 - 41,31 руб.	//aliexpress.ru/item/4000118517276.html?algo_pvid=ef29932b-7f5a-409a-8bb5-7842ab34c154&algo_expid=ef29932b-7f5a-409a-8bb5-7842ab34c154-13&btsid=0b8b158f16010340049692822ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
