id	description	number_of_orders	price	url
4001102930165	Металлические d-образные пряжки, 2 шт., 24х23 мм, съемные открывающиеся сумки, аксессуары, брелок	8 продано	77,05 руб.	//aliexpress.ru/item/4001102930165.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-1&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000091883829	Нейлоновые цветные поясные сумки аксессуары для женщин PTgirl модные регулируемые сумки на ремне декоративные аксессуары сумки	1452 продано	154,09 - 335,19 руб.	//aliexpress.ru/item/4000091883829.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-2&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001143563022	1 комплект, металлическая прочная застежка, поворотный замок, закручивающийся замок для DIY, сумка, кошелек, багажная фурнитура, застежка, акс...	8 продано	53,22 - 61,96 руб.	//aliexpress.ru/item/4001143563022.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-3&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001238494323	Брелок унисекс из натуральной кожи, кольцо-держатель для ключей, кольца высокого качества для женщин и мужчин, цепочки для ключей, аксессуар...		793,48 руб.	//aliexpress.ru/item/4001238494323.html?s=p&ad_pvid=2020092506201015200486679967990006440314_1&algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-4&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32840883249	Замок с кодовым номером и цифрами для праздничной продажи, дорожный чемодан, ящик для чемодана, аксессуары для безопасности	13 продано	73,87 - 77,05 руб.	//aliexpress.ru/item/32840883249.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-5&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000354219575	3-значный Комбинированный Замок, аксессуары для сумок, замок, чемодан, дорожная сумка, кодовый замок, черный комбинированный замок, 8.3x3.2cm	56 продано	108,82 руб.	//aliexpress.ru/item/4000354219575.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-6&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000739634945	Жемчужная расшитая бисером короткая сумка на ремне 22 см короткий наплечный ремень кошелек Ручка Diy цепочка сумка аксессуары	62 продано	120,73 руб.	//aliexpress.ru/item/4000739634945.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-7&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001058568823	DIY Золотой/Серебряный/пистолет черный ремень для сумки 6 мм сменный кошелек на цепочке сумка на ремне маленькие сумочки Кошельки с ручкой це...	431 продано	212,08 - 329,63 руб.	//aliexpress.ru/item/4001058568823.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-8&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32226219274	Сумка на ремешке для кошелька, Бесплатная доставка кожаная ручная сумка	43 продано	422,56 - 528,20 руб.	//aliexpress.ru/item/32226219274.html?s=p&ad_pvid=2020092506201015200486679967990006440314_2&algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-9&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000353347079	1 шт. 40 см съемные ручки Obag PU кожаные ручки для сумки DIY Сменные аксессуары для дамской сумки на ремне	586 продано	143,77 руб.	//aliexpress.ru/item/4000353347079.html?algo_pvid=eb089c16-1931-4261-9226-fcaa05f72d62&algo_expid=eb089c16-1931-4261-9226-fcaa05f72d62-10&btsid=0b8b15d416010400104201445e6d90&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
