id	description	number_of_orders	price	url
4001095092802	Женские Модные Наплечные сумки, новинка 2019, Корейская версия сумки-мессенджеры, сумка на плечо с принтом цепи	309 продано	390,79 руб.	//aliexpress.ru/item/4001095092802.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-0&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001452890494	Забавная сумка через плечо с картофельными чипсами, Женская Холщовая Сумка на плечо, мини-сумка с мультипликационным принтом для девочек, к...		158,07 - 396,35 руб.	//aliexpress.ru/item/1005001452890494.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-1&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000938429402	HBWJ Высококачественная мягкая PU кожаная винтажная Женская Ручная сумка, дизайнерские роскошные женские сумки на плечо, женские сумки с верх...	444 продано	476,57 - 768,86 руб.	//aliexpress.ru/item/4000938429402.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-2&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001339460783	Модная сумка через плечо из четырех частей, сумка-мессенджер, сумка-кошелек, женская сумка, кожаная прочная Ретро сумка на плечо, Sac Main Femme		396,35 руб.	//aliexpress.ru/item/1005001339460783.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-3&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001233056697	Женская квадратная сумка, кожаная сумка через плечо, женская сумка контрастного цвета, дорожная сумка, простая женская сумка на одно плечо	167 продано	975,37 руб.	//aliexpress.ru/item/4001233056697.html?s=p&ad_pvid=202009250232515346298708537500002426339_1&algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-4&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32607593982	Yogodlns дизайнерские женские сумки-мессенджеры, женская сумка-ведро, кожаная сумка через плечо, сумка-портфель	1701 продано	440,83 руб.	//aliexpress.ru/item/32607593982.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-5&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33015551915	Роскошные кожаные женские сумки, дизайнерская сумка-мессенджер, Маленькая женская сумка через плечо, сумки через плечо для женщин 2020, bolsas de ...	504 продано	1 755,35 руб.	//aliexpress.ru/item/33015551915.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-6&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000434619808	Роскошная модная женская сумка через плечо из крокодиловой полукруглой кожи, сумки-седло из мягкой кожи, сумки на плечо для дам, дизайнерски...	2644 продано	721,20 - 821,28 руб.	//aliexpress.ru/item/4000434619808.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-7&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001345856812	Модные женские Сумки из искусственной кожи, сумка через плечо для отдыха с крокодиловым узором, сумка через плечо, маленькая квадратная сум...	470 продано	79,43 - 252,58 руб.	//aliexpress.ru/item/1005001345856812.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-8&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33041425922	2 шт./компл. Женская композитная сумка, роскошные сумки, женские сумки, дизайнерские сумки-мессенджеры через плечо для женщин, сумка на плечо	42 продано	1 263,69 руб.	//aliexpress.ru/item/33041425922.html?s=p&ad_pvid=202009250232515346298708537500002426339_2&algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-9&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001319612520	SMOOZA, винтажные женские ручные сумки, дизайнерские роскошные сумки, женские сумки на плечо, женские сумки с верхней ручкой, модные брендовые ...	1690 продано	706,91 руб.	//aliexpress.ru/item/1005001319612520.html?algo_pvid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2&algo_expid=9ddcd61f-aba6-4aec-b8c1-912cdcf881a2-10&btsid=0b8b158f16010263709206427ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
