id	description	number_of_orders	price	url
1005001414814792	Прозрачный лазерный держатель для карт, 20 бит, ID Bank, чехол для кредитных карт, ПВХ, водонепроницаемый, для путешествий, женщин, для паспорта, с...		88,96 - 197,78 руб.	//aliexpress.ru/item/1005001414814792.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-0&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000545659616	Женский маленький кошелек, роскошный ромбик для девушек, кошелек для монет, корейский ключ, держатель для кредитных карт, мини-сумка, Женски...	36 продано	95,32 - 104,85 руб.	//aliexpress.ru/item/4000545659616.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-1&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001015768381	Мягкий плюшевый Кошелек FUDEAM с рисунком панды, собаки, кролика, обезьяны, Женский кошелек для монет, Мини милый Овальный кошелек на молнии для...	1460 продано	78,64 руб.	//aliexpress.ru/item/4001015768381.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-2&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001068167134	Чехол-Кошелек с защитой от считывания карт, алюминиевый чехол для карт, 6*9,3 см	222 продано	57,19 - 135,03 руб.	//aliexpress.ru/item/4001068167134.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-3&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001340059270	HUMERPAUL Crazy Horse кожаный мужской кошелек для монет RFID бизнес всплывающий алюминиевый держатель для карт Противоугонный держатель для банковско...	5 продано	1 172,35 - 1 440,02 руб.	//aliexpress.ru/item/4001340059270.html?s=p&ad_pvid=2020092505422814232646175214940002764091_1&algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-4&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32950481352	Креативный винтажный кошелек для ID и кредитных карт, органайзер, чехол для 24 карт, недорогой бизнес-держатель для карт посылка	664 продано	85,79 руб.	//aliexpress.ru/item/32950481352.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-5&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000797562155	Новый Анти Rfid банк держатель для карт Металл NFC Блокировка считыватель замок ID Кредитная карта сумка для мужчин женщин мужчин лазер алюмини...	1617 продано	48,46 - 107,23 руб.	//aliexpress.ru/item/4000797562155.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-6&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001018547409	Многоцветный женский мужской металлический бизнес-держатель для карт, креативный алюминиевый держатель, металлическая коробка для мужчин,...	384 продано	139,80 руб.	//aliexpress.ru/item/4001018547409.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-7&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000741164786	24-битный кредитный держатель для карт, для мужчин и женщин, чехол для женщин, мужская сумка, кошелек, Карманный держатель для карт	599 продано	93,73 - 120,73 руб.	//aliexpress.ru/item/4000741164786.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-8&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32982386635	Новый автоматический всплывающий держатель для кредитных карт для мужчин, алюминиевый сплав, визитница для удостоверения личности, тонкий ...	18 продано	316,13 - 388,40 руб.	//aliexpress.ru/item/32982386635.html?s=p&ad_pvid=2020092505422814232646175214940002764091_2&algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-9&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000094115988	Диснеевской принцессы с изображением мультипликационных персонажей для детей портмоне с русалочкой для девочек в стиле «Холодное сердце с...	289 продано	87,37 руб.	//aliexpress.ru/item/4000094115988.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-10&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000234666327	1 шт., кошелек для карт из искусственной кожи с милым принтом, модный креативный кошелек для карт с милым мультяшным животным, держатель для к...	233 продано	76,26 руб.	//aliexpress.ru/item/4000234666327.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-11&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32937445693	Модный кожаный женский кошелек, клатч, один/два, на молнии, женский короткий маленький кошелек, брендовый новый дизайн, мягкий мини-кошелек д...	727 продано	220,81 - 301,03 руб.	//aliexpress.ru/item/32937445693.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-12&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000534452314	Женские кошельки, модные женские сумочки на ремешке, Длинный кошелек на молнии, кошелек для монет, визитница, клатч, Женский кошелек из искус...	604 продано	81,02 - 108,03 руб.	//aliexpress.ru/item/4000534452314.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-13&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33005921461	Новый алюминиевый бизнес держатель для карт из искусственной кожи кредитный держатель для Карт RFID противокражная Дорожная карта кошелек Б...	3 продано	723,59 руб.	//aliexpress.ru/item/33005921461.html?s=p&ad_pvid=2020092505422814232646175214940002764091_3&algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-14&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32966666079	Модный держатель для кредитных карт для мужчин и женщин, кошелек для путешествий из искусственной кожи с пряжкой, визитница AIC88	115 продано	69,90 - 80,23 руб.	//aliexpress.ru/item/32966666079.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-15&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32955501796	Брелок для ключей для мужчин и женщин, органайзер, чехол, сумка для ключей для автомобиля, бумажник ключница, чехол для ключей, мини сумка для...	907 продано	65,93 руб.	//aliexpress.ru/item/32955501796.html?algo_pvid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0&algo_expid=ccd18333-d06d-48f0-8d0c-6b1f3c8f1ac0-16&btsid=0b8b158f16010377485905543ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
