id	description	number_of_orders	price	url
4000078006777	Новые мужские кошельки, маленькие кошельки, бумажники, новый дизайн, лучшая цена в долларах, мужской тонкий бумажник с монетницей, кошелек н...	6207 продано	223,20 - 266,09 руб.	//aliexpress.ru/item/4000078006777.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-0&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001278408195	Deanfun поясная сумка для женщин, женская модная сумка через плечо, клетчатая поясная сумка D18056	20 продано	305,01 руб.	//aliexpress.ru/item/1005001278408195.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-1&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001356840572	Нагрудная сумка, нейлоновая поясная сумка, Женская поясная сумка, Мужская модная цветная сумка-бум, дорожная сумка, чехол для телефона, сумк...		180,30 - 204,93 руб.	//aliexpress.ru/item/1005001356840572.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-2&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32873852680	Поясная Сумка 2018, поясная сумка, модная женская и мужская Тонкая сумка для путешествий, водонепроницаемая, с отверстием для наушников	245 продано	227,17 руб.	//aliexpress.ru/item/32873852680.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-3&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33010261747	Портфель WESTAL, сумка-мессенджер, мужская сумка из натуральной кожи 14 дюймов, сумка для ноутбука, мужские портфели, Офисная Деловая Сумка для д...	341 продано	2 394,74 руб.	//aliexpress.ru/item/33010261747.html?s=p&ad_pvid=202009250252372770448638625360002645264_1&algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-4&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001273031653	2020 Новинка для женщин водонепроницаемые поясные сумки дамская модная сумка для путешествий дорожные нагрудные сумки унисекс сумка для бед...	243 продано	200,16 - 231,93 руб.	//aliexpress.ru/item/1005001273031653.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-5&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32958803196	AIREEBAY голографические поясные сумки женские серебряные поясные сумки женские поясные сумки черные геометрические поясные сумки лазерная н...	7244 продано	277,21 - 311,36 руб.	//aliexpress.ru/item/32958803196.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-6&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001042382883	Голографическая поясная сумка Brivilas, женская розовая поясная сумка банана, Женская поясная сумка черного цвета с геометрическим рисунком, л...	1704 продано	191,42 - 366,96 руб.	//aliexpress.ru/item/4001042382883.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-7&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001225099533	Наружные спортивные карманы унисекс Противоугонный мобильный телефон пояс для бега водонепроницаемый для мужчин и женщин Тактический нев...	346 продано	93,73 - 185,86 руб.	//aliexpress.ru/item/4001225099533.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-8&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000918051658	Сумка-мессенджер из натуральной кожи, винтажная кожаная сумка через плечо, мужская сумка-тоут, повседневная сумка-портфель	13 продано	7 198,49 - 7 787,05 руб.	//aliexpress.ru/item/4000918051658.html?s=p&ad_pvid=202009250252372770448638625360002645264_2&algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-9&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33054649288	Спортивная сумка для бега, переносная водонепроницаемая сумка на пояс для бега и езды на велосипеде, модная Дорожная Спортивная сумка для м...	582 продано	148,53 - 262,91 руб.	//aliexpress.ru/item/33054649288.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-10&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000318991284	UOSC голографическая поясная сумка, женская серебряная Лазерная поясная сумка, дорожная блестящая поясная сумка, модная розовая кожаная голо...	853 продано	316,92 - 339,95 руб.	//aliexpress.ru/item/4000318991284.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-11&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32824515621	Кошелек мужской, из мягкой кожи, со съемными отделениями для карт	144 продано	396,35 руб.	//aliexpress.ru/item/32824515621.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-12&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001243889526	Новинка 2020, сумка для спорта, сумка для ремня с цифровой печатью, сумка для спорта, путешествий, отдыха, женская сумка	461 продано	152,51 руб.	//aliexpress.ru/item/4001243889526.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-13&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32826240093	Мужской портфель из 100% натуральной кожи LUENSRO, деловая сумка на плечо для ноутбука, мужской портфель из натуральной кожи	194 продано	3 583,76 руб.	//aliexpress.ru/item/32826240093.html?s=p&ad_pvid=202009250252372770448638625360002645264_3&algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-14&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001026398301	Мужской Чехол-кобура с петлей для мобильного телефона, поясная сумка, кожаный кошелек для телефона	4809 продано	170,77 - 181,10 руб.	//aliexpress.ru/item/4001026398301.html?algo_pvid=3c860186-90eb-40ef-9cfb-e673ae5f96bc&algo_expid=3c860186-90eb-40ef-9cfb-e673ae5f96bc-15&btsid=0b8b158f16010275568282363ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
