id	description	number_of_orders	price	url
32832530736	Новинка 2020, женские рюкзаки, винтажная Корейская брендовая дизайнерская сумка, дорожный рюкзак с защитой от кражи, нейлоновый высококачест...	134 продано	333,60 - 990,46 руб.	//aliexpress.ru/item/32832530736.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-0&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001162263640	Женский портативный рюкзак для путешествий с защитой от кражи, повседневный нейлоновый рюкзак для девушек, вместительная сумка на плечо, шк...		576,65 - 607,62 руб.	//aliexpress.ru/item/4001162263640.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-1&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001129140190	3 в 1 Многофункциональный кожаный в руку, женские сумки, модные женские большие Ёмкость, школьная сумка, высокое качество, женские сумки на пл...	76 продано	2 223,97 руб.	//aliexpress.ru/item/4001129140190.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-2&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000782061930	38 # женский вместительный рюкзак с цветочным узором в этническом стиле, водонепроницаемые нейлоновые рюкзаки на плечи, складные школьные су...	12 продано	343,92 - 510,72 руб.	//aliexpress.ru/item/4000782061930.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-3&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001360316713	Женский рюкзак из коровьей кожи EURYNOME, белая Водонепроницаемая школьная сумка, Вместительная дорожная сумка-тоут для девочек-подростков	20 продано	1 873,69 руб.	//aliexpress.ru/item/4001360316713.html?s=p&ad_pvid=2020092503173317099358077366290002466156_1&algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-4&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001314426193	Chuwanglin, школьная сумка унисекс, рюкзаки для ноутбука, дорожный рюкзак из нейлона, женский рюкзак с большой вместительностью, рюкзак с пряжкой...	2 продано	1 258,13 руб.	//aliexpress.ru/item/4001314426193.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-5&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001397834549	Классические женские рюкзаки на двойной молнии, высококачественные Мягкие Сумки из искусственной кожи для женщин, модные сумки на плечо вы...		474,98 - 988,87 руб.	//aliexpress.ru/item/1005001397834549.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-6&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001470005486	Новинка 2020, женский маленький рюкзак, женская кожаная сумка на плечо, многофункциональные мини рюкзаки, Женский Школьный рюкзак, сумка для д...		252,58 - 257,35 руб.	//aliexpress.ru/item/1005001470005486.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-7&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000123531157	Женский мини-рюкзак из ткани Оксфорд в Корейском стиле, многофункциональная сумка на плечо для девочек-подростков, 2019	7 продано	418,59 руб.	//aliexpress.ru/item/4000123531157.html?algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-8&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001302732709	BOPAI новый рюкзак для ноутбука женский 14 дюймов Водонепроницаемый Розовый Модный женский дорожный рюкзак школьные рюкзаки сумки для девочек...	13 продано	3 574,23 руб.	//aliexpress.ru/item/1005001302732709.html?s=p&ad_pvid=2020092503173317099358077366290002466156_2&algo_pvid=ab48855a-0419-4c21-9c89-a3208548b4d9&algo_expid=ab48855a-0419-4c21-9c89-a3208548b4d9-9&btsid=0b8b158f16010290536177197ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
