id	description	number_of_orders	price	url
10000084702850	Модные детские школьные сумки 3D с мультяшным принтом, плюшевый Детский рюкзак для детского сада, школьные сумки для мальчиков и девочек, мин...	761 продано	376,49 руб.	//aliexpress.ru/item/10000084702850.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-0&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000401791493	Мужской рюкзак для ноутбука, черный водонепроницаемый дорожный рюкзак из ткани Оксфорд для подростков, 2019	6 продано	830,02 руб.	//aliexpress.ru/item/4000401791493.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-1&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000454126986	От 3 до 6 лет школьные сумки для девочек и мальчиков, водонепроницаемые Рюкзаки, детские сумки-книжки с изображением паука, детские сумки чер...	53 продано	654,49 руб.	//aliexpress.ru/item/4000454126986.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-2&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000942095872	Новый детский школьный рюкзак с единорогом для мальчиков и девочек, детский школьный рюкзак для детей		625,89 руб.	//aliexpress.ru/item/4000942095872.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-3&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001027897680	Детский рюкзак с динозавром, удобные школьные сумки для детей ясельного возраста, динозавр, детский сад, сумка для дошкольников, От 3 до 8 лет ...	328 продано	1 411,43 - 1 645,74 руб.	//aliexpress.ru/item/4001027897680.html?s=p&ad_pvid=202009250410501732369410890002747968_1&algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-4&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32967542857	Милый детский кошелек из искусственной кожи/искусственного меха, мини сумка-мессенджер с бантиком и кроликом, Детская сумка через плечо для...	68 продано	178,72 - 238,29 руб.	//aliexpress.ru/item/32967542857.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-5&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000301151615	2019 Мини силиконовый маленький кошелек с животными, дамская сумочка для ключей, детский Подарочный призовой пакет, Bluetooth наушники, сумки # RE	71 продано	92,93 - 134,24 руб.	//aliexpress.ru/item/4000301151615.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-6&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001055851316	Милый желтый рюкзак с машинкой, детский мультяшный рюкзак для детского сада, школьная сумка EVC, жесткая сумка на плечо для мальчиков и девоче...	16 продано	656,07 руб.	//aliexpress.ru/item/4001055851316.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-7&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001189724045	Камуфляжные детские школьные сумки, рюкзаки для девочек-подростков, детский рюкзак, рюкзак для мальчиков, сумка для мальчиков, 2020	27 продано	1 070,68 - 1 336,76 руб.	//aliexpress.ru/item/4001189724045.html?algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-8&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001143759935	Детский сад, школьные сумки для детей 2020, новинка, 3D мультфильм, модель зебры, детский, милый, анти-потери, детский школьный рюкзак	45 продано	2 500,37 - 2 590,13 руб.	//aliexpress.ru/item/4001143759935.html?s=p&ad_pvid=202009250410501732369410890002747968_2&algo_pvid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df&algo_expid=9875bb59-24e3-4efd-9f5b-96f6c00ff0df-9&btsid=0b8b158f16010322496455794ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
