id	description	number_of_orders	price	url
4000475138568	Модная креативная складная сумка для продуктов, складной органайзер для покупок, многоразовая сумка на плечо, Большая вместительная сумка ...	7 продано	143,77 руб.	//aliexpress.ru/item/4000475138568.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-0&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001333895803	Модная Портативная термоизолированная сумка для ланча, сумка-холодильник, сумка для хранения, дамская сумка для еды, изоляционная упаковка	7 продано	142,18 - 158,07 руб.	//aliexpress.ru/item/4001333895803.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-1&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000925497302	Brivilas сумка для обеда, для детей, для женщин, изоляционная портативная водонепроницаемая сумка для пикника, сумка для завтрака, школьная Ручк...	327 продано	173,95 руб.	//aliexpress.ru/item/4000925497302.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-2&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000777228151	Термоизолированная Большая вместительная Водонепроницаемая портативная Изолированная коробка для хранения еды для пикника, сумка для лан...	74 продано	41,31 - 130,27 руб.	//aliexpress.ru/item/4000777228151.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-3&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32974501334	VASCHY изолированный Ланч-бокс герметичный кулер сумка в двойном Compart для мужчин t сумка для еды для мужчин женщин 14 банок винный охлаждающая су...	218 продано	1 500,38 - 1 590,93 руб.	//aliexpress.ru/item/32974501334.html?s=p&ad_pvid=2020092505060312136471029701760002644456_1&algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-4&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000586608508	Многоразовые сумки для продуктов, моющиеся складные сумки-тоут для покупок, прочная легкая Экологичная сумка через плечо	1115 продано	158,07 руб.	//aliexpress.ru/item/4000586608508.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-5&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001115555288	1 шт., складывающаяся сумка в форме клубники, многоразовые, экологичные, женские принадлежности, нейлоновые сумки, вместительная сумка для п...	89 продано	97,70 руб.	//aliexpress.ru/item/4001115555288.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-6&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000085337345	Перевозка 0,1		8,74 руб.	//aliexpress.ru/item/4000085337345.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-7&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000777958868	Складная хозяйственная сумка Экологичная Дамская Подарочная Складная многоразовая сумка-тоут портативная дорожная сумка через плечо мале...	1120 продано	169,18 руб.	//aliexpress.ru/item/4000777958868.html?algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-8&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32986540086	DENUONISS Новинка 2020 водонепроницаемая сумка для пикника Изолированная портативная тканевая Термосумка-холодильник Большая вместительная сум...	73 продано	1 746,61 руб.	//aliexpress.ru/item/32986540086.html?s=p&ad_pvid=2020092505060312136471029701760002644456_2&algo_pvid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75&algo_expid=80d2dc6f-d55e-4782-b3db-4b86a0b40a75-9&btsid=0b8b158f16010355634076135ef2cb&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
