id	description	number_of_orders	price	url
4001091925205	Женские топы и блузки с пуговицами # H30, однотонные хлопковые и льняные рубашки с длинными рукавами, женские топы	24 продано	339,77 - 615,78 руб.	//aliexpress.ru/item/4001091925205.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-0&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000341609339	Женская блузка с длинным рукавом UGOCCAM, элегантная офисная блузка с длинным рукавом, топ размера плюс, blusas mujer de moda одежда плюс одежда модная б...	1685 продано	1 007,19 руб.	//aliexpress.ru/item/4000341609339.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-1&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000623782945	Женская блузка с длинным рукавом и принтом цепей, Свободная Повседневная Блузка с v-образным вырезом размера плюс, новый дизайн 2020	1228 продано	806,24 руб.	//aliexpress.ru/item/4000623782945.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-2&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001275972906	Женская блузка с короткими рукавами ZEVITY, элегантная повседневная блузка с принтом зеленых листьев и цветов, шикарные атласные топы, LS7105	36 продано	719,89 руб.	//aliexpress.ru/item/1005001275972906.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-3&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000763752106	Женская Длинная блузка в клетку, большие размеры XXXXL, 5XL, весна-осень	46 продано	1 091,12 руб.	//aliexpress.ru/item/4000763752106.html?s=p&ad_pvid=202009272207224032855513388170010028062_1&algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-4&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000507094123	Женские рубашки большого размера с v-образным вырезом и длинными рукавами, элегантная Осенняя блузка #45, 2020	108 продано	333,31 - 766,69 руб.	//aliexpress.ru/item/4000507094123.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-5&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001179230885	Сексуальная губная помада с принтом, блузка с открытыми плечами, рубашка 2020, повседневная женская блуза с длинным рукавом, Осенний пуловер с...	23 продано	918,42 руб.	//aliexpress.ru/item/4001179230885.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-6&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000786494802	Женская блузка с цветочным принтом, Повседневная Асимметричная блузка с рукавом 3/4 и асимметричным подолом, большие размеры, весна-лето 2020	1233 продано	419,67 - 676,31 руб.	//aliexpress.ru/item/4000786494802.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-7&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001163941634	Женские блузки и Топ Мода 2020 размера плюс градиент v-образным вырезом с коротким рукавом рубашки пуловер на пуговицах Топы Blusas Mujer @ 47		312,33 - 543,14 руб.	//aliexpress.ru/item/4001163941634.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-8&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001152203843	Женская рубашка с коротким рукавом, Сексуальная Повседневная Блузка с v-образным вырезом и цветочным принтом, лето 2020	402 продано	751,36 руб.	//aliexpress.ru/item/4001152203843.html?s=p&ad_pvid=202009272207224032855513388170010028062_2&algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-9&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001336348701	Женская блузка с длинным рукавом, Сексуальная Блузка с принтом губ, Элегантные Осенние однотонные пуловеры с воротником-стойкой, топы для о...	12 продано	804,62 - 836,91 руб.	//aliexpress.ru/item/1005001336348701.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-10&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001315862848	Лидер продаж, Женские топы и блузки, повседневная Клетчатая блузка с коротким рукавом и v-образным вырезом, Рубашка с асимметричным подолом, ...		240,50 - 448,72 руб.	//aliexpress.ru/item/1005001315862848.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-11&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001319320354	Повседневная леопардовая блузка в горошек с рюшами на осень и зиму, женские рубашки с длинным рукавом, элегантные офисные женские топы с v-об...	794 продано	782,83 - 1 189,58 руб.	//aliexpress.ru/item/1005001319320354.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-12&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001284238997	Женская блузка # H40 с милым котиком и градиентным принтом, Женские топы с v-образным вырезом, Осенние повседневные длинные рубашки с длинными ...		577,04 - 878,87 руб.	//aliexpress.ru/item/4001284238997.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-13&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001103073263	Модная рубашка, новая рубашка с длинными рукавами, Свободная Женская рубашка большого размера	150 продано	641,60 руб.	//aliexpress.ru/item/4001103073263.html?s=p&ad_pvid=202009272207224032855513388170010028062_3&algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-14&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000162191644	Женская винтажная блузка KPYTOMOA, свободная блузка в горошек с отложным воротником и длинным рукавом, шикарные топы, 2020	20 продано	1 158,92 руб.	//aliexpress.ru/item/4000162191644.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-15&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000258858121	Женские блузки с отложным воротником, весенние рубашки в клетку, универсальная Свободная верхняя одежда с рукавами «летучая мышь» в стиле Х...	3889 продано	482,62 - 597,22 руб.	//aliexpress.ru/item/10000258858121.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-16&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000318868128	InstaHot элегантная рубашка с рукавами-фонариками белая черная сексуальная винтажная блузка с пуговицами и отложным воротником для офисных да...	4794 продано	1 140,35 руб.	//aliexpress.ru/item/4000318868128.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-17&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000931005833	Женская блузка размера плюс, модная летняя блузка с цветочным принтом, v-образным вырезом и рукавом до локтя, кружевная женская рубашка в сти...	233 продано	1 129,86 - 1 200,07 руб.	//aliexpress.ru/item/4000931005833.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-18&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33020419850	Женская шифоновая блузка свободного покроя с цветочным принтом и длинным рукавом размера плюс, Новинка лета 2019	44 продано	519,74 - 903,89 руб.	//aliexpress.ru/item/33020419850.html?s=p&ad_pvid=202009272207224032855513388170010028062_4&algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-19&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000043756054	Женская джинсовая рубашка, длинная свободная блузка с длинным рукавом, Повседневная Джинсовая блузка, летние топы, джинсовая рубашка	308 продано	596,41 - 644,02 руб.	//aliexpress.ru/item/4000043756054.html?algo_pvid=07f26611-952a-466c-85e3-077089c317d9&algo_expid=07f26611-952a-466c-85e3-077089c317d9-20&btsid=0b8b15f516012696423784571e7843&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
