id	description	number_of_orders	price	url
4000237435737	Сексуальный женский костюм с длинным рукавом, женский сексуальный костюм, эротический костюм с длинным рукавом	1209 продано	402,72 руб.	//aliexpress.ru/item/4000237435737.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-0&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001121961666	Женское Кружевное боди OMSJ, облегающий прозрачный комбинезон без рукавов с открытой спиной и глубоким v-образным вырезом, с бретелькой через ...	353 продано	725,53 руб.	//aliexpress.ru/item/4001121961666.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-1&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001226906050	Сексуальное Полосатое боди с вырезами, женское блестящее эластичное боди с открытой спиной темно-синего цвета		363,17 руб.	//aliexpress.ru/item/4001226906050.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-2&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000349000290	Сексуальный костюм в обтяжку, длинный рукав, квадратный вырез, оболочка, открытая промежность, базовый белый, черный комбинезон, Женский топ...	32 продано	415,63 руб.	//aliexpress.ru/item/4000349000290.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-3&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000961795972	Женское Кружевное боди с цветочным принтом, Бандажное боди для женщин 2020, сексуальное Сетчатое боди, летние комбинезоны	1148 продано	537,49 руб.	//aliexpress.ru/item/4000961795972.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-4&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000834108944	Женский облегающий боди GAOKE, однотонный топ с высоким воротом и длинным рукавом, Осень-зима, черный и белый цвета	531 продано	447,91 - 715,04 руб.	//aliexpress.ru/item/4000834108944.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-5&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001114610741	Женский облегающий боди GAOKE, однотонный топ с высоким воротом и длинным рукавом, Осень-зима, черный и белый цвета	109 продано	421,28 - 684,38 руб.	//aliexpress.ru/item/4001114610741.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-6&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000193186801	Женский комбидресс с длинными рукавами, однотонный осенний комбидресс с открытыми плечами, облегающий эластичный купальник, черный топ с в...	49 продано	443,88 руб.	//aliexpress.ru/item/4000193186801.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-7&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000308750517	Женское Кружевное боди с пышными рукавами, Осенний винтажный Облегающий комбинезон в горошек, топы, облегающие сетчатые Комбинезоны для же...	1176 продано	522,16 - 534,27 руб.	//aliexpress.ru/item/4000308750517.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-8&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32956883772	Боди JULISSA MO женское с длинным рукавом и треугольным вырезом на пуговицах	2701 продано	806,24 руб.	//aliexpress.ru/item/32956883772.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-9&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001296039248	Женский замшевый боди FSDA, повседневный однотонный боди цвета хаки с круглым вырезом и длинными рукавами, уличные женские комбинезоны, Осень...	462 продано	747,32 руб.	//aliexpress.ru/item/4001296039248.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-10&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001316185169	Женский сексуальный боди Черный Регулируемый без рукавов треугольный боди с кружевной чашкой мягкие эластичные кружевные плюшевые комбин...		231,63 - 241,31 руб.	//aliexpress.ru/item/1005001316185169.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-11&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000229758322	Женский облегающий боди с длинным рукавом, черный эластичный купальник-водолазка, весна-осень 2020	244 продано	363,98 - 386,58 руб.	//aliexpress.ru/item/4000229758322.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-12&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32953384781	Женское хлопковое боди с v-образным вырезом, осенняя одежда с длинным рукавом, облегающий Короткий трикотажный Облегающий комбинезон	924 продано	351,07 руб.	//aliexpress.ru/item/32953384781.html?algo_pvid=8831cc7e-a0d3-4b13-bbdf-5da093df2947&algo_expid=8831cc7e-a0d3-4b13-bbdf-5da093df2947-13&btsid=0b8b035c16012727635758106eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
