id	description	number_of_orders	price	url
1005001394269516	KANCOOL/осенне-зимняя повседневная однотонная куртка; Модный Женский Тренч; Пальто больших размеров; Верхняя одежда для офисных дам; Повседнев...		438,23 - 1 121,79 руб.	//aliexpress.ru/item/1005001394269516.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-0&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000114526864	Женский сверхлегкий пуховик на белом утином пуху, теплая ветрозащитная куртка на осень и зиму, 2019	1101 продано	1 041,09 - 1 363,90 руб.	//aliexpress.ru/item/4000114526864.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-1&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000480335120	Женское пальто с капюшоном DIHOPE, черное, красное, розовое пальто из искусственного меха с высокой талией, пальто с искусственным кроличьим ме...	450 продано	554,44 - 1 138,74 руб.	//aliexpress.ru/item/4000480335120.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-2&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32858701944	Женская приталенная куртка MAPLESTEED, жакет из натуральной овечьей кожи, верхняя одежда из натуральной кожи, M125, 2019	10 продано	5 648,48 - 6 859,05 руб.	//aliexpress.ru/item/32858701944.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-3&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001269440864	Icebear 2020 зима новая женская куртка с коротким хлопчатобумажным пальто флис куртка унисекс бренд одежды MWC20966D		4 803,51 руб.	//aliexpress.ru/item/1005001269440864.html?s=p&ad_pvid=202009272330115019960933575000010249849_1&algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-4&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001454210320	2020 женское длинное шерстяное осенне-зимнее пальто, куртка с рукавом три четверти, Свободное пальто, уличный женский длинный пиджак		441,46 - 996,70 руб.	//aliexpress.ru/item/1005001454210320.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-5&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001002368798	Большой натуральный мех енота, Лисий мех, с капюшоном, Зимний пуховик для женщин, 90% белый утиный пух, куртка, толстые теплые парки, женская ве...	1163 продано	3 249,15 - 4 381,43 руб.	//aliexpress.ru/item/4001002368798.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-6&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001255893380	Женский плащ Vangull, Свободный плащ с капюшоном и воротником на молнии размера плюс, с буквенным принтом, с регулируемой талией	23 продано	1 613,28 руб.	//aliexpress.ru/item/4001255893380.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-7&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001209652468	Женское платье без рукавов женские ультра светильник пуховые жилеты с экoкoжa вeрхняя oдeждa жилет для девочек плюс светильник вес ветрозащит...	60 продано	780,41 - 995,09 руб.	//aliexpress.ru/item/4001209652468.html?algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-8&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000606460723	ICEbear 2020 новое осенне-зимнее женское пальто с капюшоном повседневная качественная модная зимняя куртка брендовая одежда	1481 продано	3 873,80 - 5 931,76 руб.	//aliexpress.ru/item/4000606460723.html?s=p&ad_pvid=202009272330115019960933575000010249849_2&algo_pvid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a&algo_expid=9df9f58a-d695-4c2a-9a3f-36e793f3a05a-9&btsid=0b8b035c16012746115557455eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
