id	description	number_of_orders	price	url
4001108936635	Женские свитера 2020 Осень Зима Топы Корейский тонкий женский пуловер вязаный свитер джемпер мягкий теплый Pull Femme	4359 продано	589,14 руб.	//aliexpress.ru/item/4001108936635.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-0&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001321147330	Осенние женские свитера 2020 с круглым вырезом, свободные вязаные топы с длинными рукавами, модный свитер с леопардовой раскраской, Женский п...		729,57 - 1 104,04 руб.	//aliexpress.ru/item/1005001321147330.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-1&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001349792448	Модный женский свитер, женский осенне-зимний Повседневный ВЯЗАННЫЙ ПУЛОВЕР с круглым вырезом и длинными рукавами, топы	39 продано	494,72 - 970,88 руб.	//aliexpress.ru/item/1005001349792448.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-2&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001208100883	Женский вязаный пуловер, свитер 2020, повседневный однотонный тонкий вязаный свитер с v-образным вырезом, Осенний мягкий трикотаж для женщин	75 продано	564,13 - 725,53 руб.	//aliexpress.ru/item/4001208100883.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-3&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000379936610	Новинка, водолазка, женские свитера, повседневные пуловеры, однотонный длинный рукав, корейский топ, вязаный свитер для женщин, зима, размер...	765 продано	967,65 руб.	//aliexpress.ru/item/4000379936610.html?s=p&ad_pvid=202009272358528958878367390011204117_1&algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-4&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001376762972	Женский свитер в радужную полоску, вязаный свитер с высоким воротником, женский модный осенне-зимний Повседневный Свободный пуловер с длин...		794,13 - 1 582,61 руб.	//aliexpress.ru/item/1005001376762972.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-5&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000388819813	Женский свитер с капюшоном и кошачьими ушками, теплый Повседневный пуловер большого размера с длинными рукавами на пуговицах, 2019	287 продано	420,47 - 1 074,98 руб.	//aliexpress.ru/item/4000388819813.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-6&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000263814669	Bonjean вязаный джемпер Осень Зима Топы водолазки пуловеры Повседневные свитера женские рубашки с длинным рукавом короткий тонкий свитер для ...	549 продано	427,74 - 1 112,11 руб.	//aliexpress.ru/item/4000263814669.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-7&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001341371488	Женский вязаный Однотонный свитер с рукавами-фонариками Pull Femme, базовый плотный пуловер, зима-осень 2020		593,99 - 891,79 руб.	//aliexpress.ru/item/4001341371488.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-8&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001505065771	2020 Новый стиль для осень-зима круглый вырез горловины с оборками одежда с длинным рукавом из трикотажа с низкой талией Джерси свитер с высок...		748,94 руб.	//aliexpress.ru/item/1005001505065771.html?s=p&ad_pvid=202009272358528958878367390011204117_2&algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-9&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001309139303	Neploe косым воротником неправильной формы и вязаный свитер для женщин Chic осень-зима Элегантный Femme однотонный пуловер Цвет простой все-матч т...	62 продано	1 551,94 руб.	//aliexpress.ru/item/1005001309139303.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-10&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000906084388	Вязаный жилет с v-образным вырезом женский свитер осень-зима новый корейский свободный свитер жилет свитер без рукавов	976 продано	765,89 руб.	//aliexpress.ru/item/4000906084388.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-11&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000386327453	Модный джемпер, осенне-зимний вязаный свитер для женщин 2020, корейские свитера большого размера, Женский вязаный пуловер с пышными рукавами	183 продано	916 - 1 156,49 руб.	//aliexpress.ru/item/4000386327453.html?algo_pvid=5db337f7-442f-4220-b5bb-f13f91bb0540&algo_expid=5db337f7-442f-4220-b5bb-f13f91bb0540-12&btsid=0b8b035c16012763321328009eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
