id	description	number_of_orders	price	url
4001105340498	Женские джинсы с высокой талией в Корейском стиле, Шаровары свободного покроя, повседневные джинсовые брюки размера плюс, винтажные брюки с...	414 продано	547,18 - 1 377,62 руб.	//aliexpress.ru/item/4001105340498.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-0&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001420998236	Женские джинсы на завязках, винтажные брюки с дырками по щиколотку, высокая талия, джинсовые эластичные женские прелестные брюки с вышивкой...		491,49 - 1 125,02 руб.	//aliexpress.ru/item/1005001420998236.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-1&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001271985628	Модные джинсовые брюки с высокой талией для женщин, повседневные женские джинсы с карманами, Весенние длинные синие джинсовые брюки Mujer Plus, ...		367,21 - 955,54 руб.	//aliexpress.ru/item/4001271985628.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-2&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32378752186	Бесплатная доставка 2020 джинсы женские большие размеры осень черные джинсы с высокой талией брюки женские C1332	5393 продано	1 450,26 - 1 696,41 руб.	//aliexpress.ru/item/32378752186.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-3&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1958006037	Женские джинсы размера плюс, повседневные брюки с высокой талией на лето и осень, тонкие Стрейчевые хлопковые джинсовые брюки для женщин, си...	1005 продано	1 049,16 - 1 533,38 руб.	//aliexpress.ru/item/1958006037.html?s=p&ad_pvid=202009280022252091155581120080011249748_1&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-4&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001267526054	Женские джинсовые брюки-карандаш SHIJIA, синие джинсы-карандаш с высокой талией, осень 2020	16 продано	1 333,24 руб.	//aliexpress.ru/item/4001267526054.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-5&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001271988570	Женские узкие джинсы с высокой талией, повседневные винтажные рваные брюки-карандаш, эластичные черные и синие брюки	18 продано	367,21 - 802,20 руб.	//aliexpress.ru/item/4001271988570.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-6&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000401584004	Женские прямые джинсы с высокой талией, эластичные облегающие ковбойские джинсы с потертостями, длинные брюки-карандаш	287 продано	380,12 - 514,90 руб.	//aliexpress.ru/item/4000401584004.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-7&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310248972	Женские джинсы-бойфренды Cryptographic, повседневные Прямые джинсы с высокой талией, Осень-зима 2020	67 продано	2 182,24 руб.	//aliexpress.ru/item/1005001310248972.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-8&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001276184461	Женские узкие джинсы с высокой талией и вышивкой, повседневные узкие брюки с принтом в виде маленьких ног, джинсы с эластичной талией, разме...		562,51 - 823,19 руб.	//aliexpress.ru/item/1005001276184461.html?s=p&ad_pvid=202009280022252091155581120080011249748_2&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-9&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32970028277	Luckinyoyo джинсы стрейч женские джинсы женские с высокой талией джинсы высокая талия большого размера женские 5XL 6XL на резинке брюки джинсы на в...	1782 продано	1 041,89 руб.	//aliexpress.ru/item/32970028277.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-10&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000106769032	Черные джинсы с эластичным поясом, корейская мода, 4 воротника, джинсы для мам, джинсы с высокой талией уличного размера плюс, джинсовые брюк...	983 продано	909,54 - 1 196,85 руб.	//aliexpress.ru/item/4000106769032.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-11&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310912824	Винтажные джинсы с высокой талией, Женские однотонные прямые брюки, Свободные повседневные джинсовые брюки с высокой талией, Pantalon Femme разме...	95 продано	541,53 - 1 328,39 руб.	//aliexpress.ru/item/1005001310912824.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-12&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000320332307	Женские узкие джинсы ATHVOTAR, черные джинсы-карандаш с заниженной талией и фальшивым карманом, джинсы-бойфренды	1367 продано	1 045,12 - 1 089,51 руб.	//aliexpress.ru/item/4000320332307.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-13&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32966925925	Джинсы для женщин с высокой талией плюс размер полной длины тощий карандаш черные синие джинсовые брюки 100 кг	819 продано	928,10 - 1 262,22 руб.	//aliexpress.ru/item/32966925925.html?s=p&ad_pvid=202009280022252091155581120080011249748_3&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-14&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000585526282	Женские джинсы с высокой талией, эластичные спортивные брюки-карандаш с принтом, джоггеры, модные спортивные штаны с карманами		464,05 - 1 238,81 руб.	//aliexpress.ru/item/4000585526282.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-15&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001407065694	Женские джинсы с высокой талией Ezgaga, контрастные брюки в стиле пэчворк, повседневные уличные джинсовые брюки с карманами		1 760,97 руб.	//aliexpress.ru/item/1005001407065694.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-16&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000922106230	Женские джинсы с высокой талией, большие размеры, уличные стильные джинсы с эластичной резинкой на талии, хлопковые свободные винтажные Джи...	1690 продано	1 129,06 - 1 330,82 руб.	//aliexpress.ru/item/4000922106230.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-17&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000994571455	2020 женские элегантные сексуальные джинсовые узкие джинсы, женские модные, большие размеры, кружевные, цветочные, вязанные крючком выдалбли...	15 продано	531,85 - 1 105,65 руб.	//aliexpress.ru/item/4000994571455.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-18&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32913384725	Джинсы для мам 2020 женские джинсы женские джинсовые брюки женские джинсы для женщин джинсы с высокой талией осенние брюки-карандаш свободны...	1323 продано	816,73 - 986,21 руб.	//aliexpress.ru/item/32913384725.html?s=p&ad_pvid=202009280022252091155581120080011249748_4&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-19&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001216802108	Женские обтягивающие прямые джинсы Liooil, узкие джинсы с высокой талией и карманами, цвет-блок, синие джинсовые брюки	876 продано	1 471,24 - 1 539,03 руб.	//aliexpress.ru/item/4001216802108.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-20&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001272135934	Женские обтягивающие джинсы с высокой талией, Стрейчевые облегающие брюки, джинсы длиной до середины икры, повседневные офисные женские бр...	77 продано	367,21 - 967,65 руб.	//aliexpress.ru/item/4001272135934.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-21&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001135959019	2020 свободные удобные джинсы с высокой талией для женщин, большие размеры, модные повседневные Прямые брюки, джинсы для мам, потертые джинсы ...	3135 продано	1 452,68 руб.	//aliexpress.ru/item/4001135959019.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-22&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001252467878	Женские джинсы с высокой талией, женские брюки с пуговицами, обтягивающие эластичные джинсы размера плюс, Стрейчевые джинсы размера плюс, с...	106 продано	367,21 - 1 104,04 руб.	//aliexpress.ru/item/4001252467878.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-23&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001276283033	Женские джинсовые узкие брюки, брендовые эластичные джинсы с высокой талией, обтягивающие Женские джинсы для отдыха в стиле хип-хоп, размер ...	1 продано	823,19 руб.	//aliexpress.ru/item/1005001276283033.html?s=p&ad_pvid=202009280022252091155581120080011249748_5&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-24&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000552478691	Женские свободные джинсы, повседневные шаровары с высокой талией, уличные джинсы для мальчиков и мам, женские брюки и джинсы, брюки	40 продано	1 032,21 - 1 216,22 руб.	//aliexpress.ru/item/4000552478691.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-25&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000372127996	Модные сексуальные длинные брюки размера плюс, модные обтягивающие джинсы с высокой талией и поясом, женские длинные Стрейчевые джинсы	78 продано	586,72 - 765,89 руб.	//aliexpress.ru/item/4000372127996.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-26&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32439654128	"Женские узкие джинсы стрейч, ""мамины"" джинсы, узкие брюки из денима, джинсы с высокой посадкой, с эффектом потертости, большие размеры, лето"	1952 продано	1 131,48 - 1 422,01 руб.	//aliexpress.ru/item/32439654128.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-27&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000709914376	Стрейч джинсы с высокой талией размера плюс женские обтягивающие джинсы женские черные Синие Серые промытый карандаш брюки эластичные джи...	318 продано	1 175,06 - 1 364,71 руб.	//aliexpress.ru/item/4000709914376.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-28&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32978683862	Luckinyoyo брюки джинсы женские джинсы с высокой талией большие размеры джинсы мом джинсы бананы джинсы бойфренды широкие джинсы высокая талия ...	2755 продано	1 440,57 - 1 971,61 руб.	//aliexpress.ru/item/32978683862.html?s=p&ad_pvid=202009280022252091155581120080011249748_6&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-29&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001436208986	Aachoae 2020 модные джинсы из 100% хлопка для мам Женские однотонные ковбойские брюки с высокой талией и карманами длинные джинсовые брюки-каранда...		2 031,33 - 2 128,17 руб.	//aliexpress.ru/item/1005001436208986.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-30&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000194557861	Горячая Распродажа, рваные джинсы для женщин, сексуальные обтягивающие джинсы, модные уличные повседневные узкие брюки, Женская Весенняя и ...	124 продано	548,79 руб.	//aliexpress.ru/item/10000194557861.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-31&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000194282196	Женские рваные джинсы большого размера плюс, синие эластичные узкие брюки с высокой талией и дырками в винтажном стиле, 2019	30 продано	1 214,60 - 1 488,19 руб.	//aliexpress.ru/item/4000194282196.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-32&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32792071554	Женские джинсы, джинсы ярких цветов, Женские джинсы-стрейч Donna, узкие брюки для женщин, 2019	61 продано	1 146 - 2 146,73 руб.	//aliexpress.ru/item/32792071554.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-33&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32948439262	Женские джинсы больших размеров, шаровары с высокой эластичной талией, мягкие свободные женские джинсовые штаны 5xl 6xl 7xl	241 продано	1 336,46 - 1 559,21 руб.	//aliexpress.ru/item/32948439262.html?s=p&ad_pvid=202009280022252091155581120080011249748_7&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-34&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32914894632	Дешевые оптовые продажи 2018 новые осенние зимние популярные женские модные повседневные джинсовые брюки G311	23 продано	614,16 - 709,39 руб.	//aliexpress.ru/item/32914894632.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-35&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001279024141	Повседневные джинсы Vrouw, Hoge Taille Losse Rechte Broek 2020	48 продано	1 476,08 - 1 651,21 руб.	//aliexpress.ru/item/4001279024141.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-36&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000980382162	Светильник синие джинсы брюки для девочек в винтажном стиле, брюки с широкими штанинами для женщин в Корейском стиле прямые длинные штаны с ...	129 продано	541,53 - 1 180,71 руб.	//aliexpress.ru/item/4000980382162.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-37&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001342933583	Женские джинсы, однотонные, винтажные, высокая талия, широкие, джинсовые брюки, простые, студенческие, универсальные, свободные, модные, Harajuku...	74 продано	611,74 руб.	//aliexpress.ru/item/1005001342933583.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-38&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001273745864	BO LUN, Новые поступления, модные, популярные, женские, джинсовые, обтягивающие брюки, высокая талия, Стрейчевые джинсы, узкие джинсы, женские п...		823,19 руб.	//aliexpress.ru/item/1005001273745864.html?s=p&ad_pvid=202009280022252091155581120080011249748_9&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-39&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001287462707	Женские джинсы с высокой талией, повседневные свободные широкие брюки с принтом кошки и мышки, Новое поступление на лето и осень 2020		2 228,25 руб.	//aliexpress.ru/item/4001287462707.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-40&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001324016231	Женские винтажные джинсы, Длинные ковбойские брюки, свободные уличные джинсы с высокой талией, Раздельная одежда с широкими штанинами для л...	169 продано	954,73 - 1 336,46 руб.	//aliexpress.ru/item/4001324016231.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-41&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000521409798	Женские джинсы с высокой талией, одежда с широкими штанинами, джинсовая одежда, синяя уличная одежда, винтажное качество, 2020, модные прямые ш...	5530 продано	1 128,25 - 1 281,59 руб.	//aliexpress.ru/item/4000521409798.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-42&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32986031736	Женские Стрейчевые рваные потертые обтягивающие джинсы с высокой талией, потертые джинсы, узкие Джеггинсы, женская одежда на весну и осень	879 продано	526,20 - 635,95 руб.	//aliexpress.ru/item/32986031736.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-43&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000559536097	Весенне-осенние модные хлопковые джинсы для женщин 2020 новые черные шаровары с высокой талией в стиле ретро женские повседневные джинсы K344	468 продано	2 081,36 - 2 214,53 руб.	//aliexpress.ru/item/4000559536097.html?s=p&ad_pvid=202009280022252091155581120080011249748_10&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-44&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000760952728	Джинсы женские, эластичные с высокой талией	237 продано	1 057,23 руб.	//aliexpress.ru/item/4000760952728.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-45&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001351785743	Повседневные синие длинные прямые джинсы в стиле пэчворк; Женские узкие элегантные джинсовые брюки с высокой талией; Женские осенние брюки;...		1 346,15 - 1 458,33 руб.	//aliexpress.ru/item/1005001351785743.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-46&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001342753965	Женские джинсы с широкими штанинами, высокая талия, бандаж, длинные, полная длина, винтажные, синие, джинсовые, однотонные, простые, женские, ...		1 119,37 - 1 216,22 руб.	//aliexpress.ru/item/1005001342753965.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-47&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000694176862	Белые женские джинсы с высокой талией, шаровары размера плюс, черные джинсы для мам, джинсовые брюки, женская одежда, уличный стиль 2020, джинс...	15 продано	1 129,06 - 1 451,87 руб.	//aliexpress.ru/item/4000694176862.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-48&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001300459904	Джинсы Chiclily, рваные обтягивающие длинные брюки с принтом, уличная одежда, винтажные женские джинсы со средней талией		2 025,68 руб.	//aliexpress.ru/item/4001300459904.html?s=p&ad_pvid=202009280022252091155581120080011249748_11&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-49&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000258014429	Женские свободные шаровары из плотного флиса, повседневные синие джинсовые брюки с высокой талией для улицы, размера плюс 5XL, для зимы	298 продано	1 400,22 - 1 472,85 руб.	//aliexpress.ru/item/4000258014429.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-50&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001299879866	Женские джинсы-шаровары с высокой талией, xxl, уличные джинсы с эластичной резинкой на талии, хлопковые свободные Джинсы бойфренда, винтажные...		503,60 - 1 573,73 руб.	//aliexpress.ru/item/1005001299879866.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-51&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33027955910	Женские облегающие джинсы, брюки 3 цветов на выбор, весна 2019	490 продано	1 022,53 руб.	//aliexpress.ru/item/33027955910.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-52&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000852742425	Женские джинсы 2020, рваные женские джинсы в Корейском стиле, с пуговицами и дырками, джинсовые Свободные повседневные брюки-карандаш с высок...	25 продано	522,97 - 711,82 руб.	//aliexpress.ru/item/4000852742425.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-53&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001411590318	Женские джинсы с высокой талией, джинсовые штаны, повседневные свободные прямые брюки для студентов, шаровары для мам, джинсы для женщин в с...		998,31 - 1 062,88 руб.	//aliexpress.ru/item/1005001411590318.html?s=p&ad_pvid=202009280022252091155581120080011249748_12&algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-54&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000979339297	Женские джинсы для мам 2020 новая Корейская версия большого размера с высокой талией тонкие черные узкие брюки с девятью точками		445,49 - 828,03 руб.	//aliexpress.ru/item/4000979339297.html?algo_pvid=75e897db-b9ed-49db-8302-ad027fcb92e7&algo_expid=75e897db-b9ed-49db-8302-ad027fcb92e7-55&btsid=0b8b035c16012777451105252eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
