id	description	number_of_orders	price	url
1005001319176095	Пижамный комплект из 2 предметов, Женский комплект нижнего белья с кружевом, однотонный мягкий сексуальный костюм для сна, модная одежда в с...		66,99 - 326,05 руб.	//aliexpress.ru/item/1005001319176095.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-0&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001395196229	Новинка 2020, осенне-зимние теплые фланелевые женские пижамные комплекты, толстая Коралловая бархатная пижама с длинными рукавами и рисунком...		472,93 - 581,07 руб.	//aliexpress.ru/item/1005001395196229.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-1&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001302681338	S-3XL Размер, женская одежда для сна, сексуальный комплект кружевной пижамы с v-образным вырезом, пижама без рукавов, топ на бретельках, коротка...	673 продано	311,52 - 434,19 руб.	//aliexpress.ru/item/1005001302681338.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-2&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001453162711	Uefezo, Женская кружевная пижама из 2 предметов, сексуальные шорты на бретелях, пижамный комплект, Дамская пижама, Женская пижама, Homme, прозрачны...		71,02 - 226,78 руб.	//aliexpress.ru/item/1005001453162711.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-3&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001048920926	Женское боди с коротким рукавом, элегантный летний комбинезон, пижама с коротким рукавом, шорты с принтом, домашняя одежда	38 продано	433,39 - 460,02 руб.	//aliexpress.ru/item/4001048920926.html?s=p&ad_pvid=202009280102296491431916979120011333888_1&algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-4&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001325479426	Сексуальное нижнее белье, прозрачное летнее сексуальное женское платье для невесты, кимоно, халат, атласная кружевная ночная одежда, халат ...		272,78 руб.	//aliexpress.ru/item/1005001325479426.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-5&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001383032887	Женская зимняя Фланелевая пижама с длинными рукавами, утепленный бархатный коралловый флис, милый осенне-зимний домашний костюм для женщин		395,46 - 987,82 руб.	//aliexpress.ru/item/1005001383032887.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-6&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001322951366	Женская Сексуальная атласная винтажная одежда для сна на бретельках, кружевное белье с v-образным вырезом, ночная рубашка, пижамы, женское Б...		798,17 - 1 246,08 руб.	//aliexpress.ru/item/1005001322951366.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-7&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001279409219	Милая Пижама с животным принтом, домашний костюм, летняя сексуальная пижама с v-образным вырезом, Женская атласная пижама на тонких бретелях	3538 продано	610,13 - 874,84 руб.	//aliexpress.ru/item/4001279409219.html?algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-8&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32625294514	Женский Шелковый Атласный короткий халат, однотонное кимоно, модный банный халат, сексуальный пеньюар для невесты и подружки невесты	1054 продано	482,62 руб.	//aliexpress.ru/item/32625294514.html?s=p&ad_pvid=202009280102296491431916979120011333888_2&algo_pvid=146bd817-78df-40e8-aeb9-70e3098be61c&algo_expid=146bd817-78df-40e8-aeb9-70e3098be61c-9&btsid=0b8b035c16012801489928928eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
