id	description	number_of_orders	price	url
4001065802695	Fullyoung жгут для Женская подвязка Пояс Нижнее белье чулки с ремнями тела ягодицы Связывание кожа ног ремни для ремней безопасности с электроп...	4234 продано	606,90 - 741,68 руб.	//aliexpress.ru/item/4001065802695.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-0&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32978139013	Пентаграмма, сексуальный женский бюстгальтер, грудь, связывание, женское белье, клетка, бюстгальтер, Готическая подвязка пояс для подтяжек	1813 продано	79,10 - 221,94 руб.	//aliexpress.ru/item/32978139013.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-1&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001296324374	Модный бюстгальтер Весна и лето бесшовный сексуальный бюстгальтер с кнопкой спереди пуш-ап нижнее белье Пряжка женского размера плюс без к...	1164 продано	213,06 - 249,38 руб.	//aliexpress.ru/item/1005001296324374.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-2&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32754294094	2020 кружевное термобелье сексуальная Дамская одежда зимняя бесшовная Антибактериальная теплая одежда с принтом подштанники женские наборы...	1397 продано	613,36 руб.	//aliexpress.ru/item/32754294094.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-3&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000016754152	Женский сексуальный укороченный топ, Женский Топ без рукавов в уличном стиле, бесшовное Спортивное нижнее белье, бюстгальтер, укороченный т...	36563 продано	289,73 - 313,14 руб.	//aliexpress.ru/item/4000016754152.html?s=p&ad_pvid=202009280333443477333804855040011737391_1&algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-4&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32960179602	Женское нижнее белье из полиэстера с бандажным ремнем, топы для фетиш, боди Harajuku, готический бюстгальтер с клеткой для тела, праздничный бюс...	774 продано	69,41 - 444,68 руб.	//aliexpress.ru/item/32960179602.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-5&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001209268855	Женский бесшовный спортивный бюстгальтер, бюстгальтер пуш-ап с мягкой подкладкой, эластичный бюстгальтер для фитнеса и тренажерного зала	67 продано	209,84 - 250,19 руб.	//aliexpress.ru/item/4001209268855.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-6&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32790287798	Комплект нижнего белья, Чулки с поясом и подвязками	3435 продано	143,66 руб.	//aliexpress.ru/item/32790287798.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-7&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001230570001	U-образный бюстгальтер на спине, топ, женский укороченный топ с ромашками, сексуальное нижнее белье, бюстгальтер, спортивный модный уличный ...	4253 продано	280,05 руб.	//aliexpress.ru/item/4001230570001.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-8&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001193825601	SUKVDOM 3 шт., женские менструальные трусики, герметичное, физиологическое, хлопковое нижнее белье, непромокаемые, женское нижнее белье, трусы	250 продано	612,55 руб.	//aliexpress.ru/item/4001193825601.html?s=p&ad_pvid=202009280333443477333804855040011737391_2&algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-9&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000970379484	Женский бесшовный бюстгальтер без подкладки, бюстгальтер, нижнее Белье для сна, йоги, спортивный бюстгальтер, жилет, большой размер, топ, хло...	567 продано	231,63 - 238,08 руб.	//aliexpress.ru/item/4000970379484.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-10&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000465704196	Новое удобное нижнее белье для девочек без стальных колец, бюстгальтер для сна с маленькой грудью, тонкое Спортивное нижнее белье	1418 продано	266,33 руб.	//aliexpress.ru/item/4000465704196.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-11&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000910405456	TRODEAM, кожаные Подвязки для ног, пояс , чулки , сексуальное женское белье , для тела, ремни , пояс, подвязки , связывание ног	1219 продано	745,71 - 792,52 руб.	//aliexpress.ru/item/4000910405456.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-12&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32971239819	Сексуальные чулки с поясом, черная подвязка с цветами, пояс для свадьбы, кружевные чулки	55 продано	51,66 - 54,88 руб.	//aliexpress.ru/item/32971239819.html?algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-13&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001113790537	бюстгалтер кружевной для женщин бюсгалтер лифчик бюстгальтер пуш ап лифчики женские лифчик женский лифчик без косточек бралетт женский бе...	2419 продано	325,24 - 378,51 руб.	//aliexpress.ru/item/4001113790537.html?s=p&ad_pvid=202009280333443477333804855040011737391_3&algo_pvid=8c1c0986-da38-41ba-9c90-238014497912&algo_expid=8c1c0986-da38-41ba-9c90-238014497912-14&btsid=0b8b15f516012892242428704ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000966977109	Сексуальный кружевной топ без косточек, бандо, летний женский кружевной бюстгальтер, топик, бандо, нижнее белье для девочек, однотонный топи...	290 продано	48,43 - 109,76 руб.	//aliexpress.ru/item/4000966977109.html?algo_pvid=dddd9b59-a884-436b-a94d-57493e0ee2e8&algo_expid=dddd9b59-a884-436b-a94d-57493e0ee2e8-0&btsid=0b8b15f516012892417218739ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000046000206	1 шт., новинка, женские топы без бретелек, бесшовный бюстгальтер, сексуальный топ-бандо, Женская грудь, топ, Укороченный бюстгальтер без брете...	365 продано	32,29 - 257,45 руб.	//aliexpress.ru/item/4000046000206.html?algo_pvid=dddd9b59-a884-436b-a94d-57493e0ee2e8&algo_expid=dddd9b59-a884-436b-a94d-57493e0ee2e8-1&btsid=0b8b15f516012892417218739ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001336513936	Женский сексуальный топ без косточек, бесшовный бюстгальтер, спортивное белье, эластичный пуш-ап, спортивный бюстгальтер без косточек		79,90 руб.	//aliexpress.ru/item/1005001336513936.html?algo_pvid=dddd9b59-a884-436b-a94d-57493e0ee2e8&algo_expid=dddd9b59-a884-436b-a94d-57493e0ee2e8-2&btsid=0b8b15f516012892417218739ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000049657869	1 шт., женское кружевное белье с цветочным бантом для свадебных торжеств и свадебных торжеств	227 продано	65,38 руб.	//aliexpress.ru/item/4000049657869.html?algo_pvid=dddd9b59-a884-436b-a94d-57493e0ee2e8&algo_expid=dddd9b59-a884-436b-a94d-57493e0ee2e8-3&btsid=0b8b15f516012892417218739ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32886032189	Женский пояс для похудения, корсет для похудения, формирователь тела с модельным ремнем, контроль живота	2637 продано	448,72 - 507,63 руб.	//aliexpress.ru/item/32886032189.html?s=p&ad_pvid=202009280334021317687788164570011745583_6&algo_pvid=dddd9b59-a884-436b-a94d-57493e0ee2e8&algo_expid=dddd9b59-a884-436b-a94d-57493e0ee2e8-4&btsid=0b8b15f516012892417218739ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
