id	description	number_of_orders	price	url
4001360170001	Базовый Повседневный свитер размера плюс на весну и осень, женский свободный свитер без рукавов с v-образным вырезом, Женский пуловер		963,61 руб.	//aliexpress.ru/item/4001360170001.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-0&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001398012578	Женский свитер с круглым вырезом Malina, розовый свитер с перекрещивающимися полосками, элегантный милый пуловер без рукавов, женский свитер, ...		999,93 руб.	//aliexpress.ru/item/1005001398012578.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-1&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001403468638	Женский трикотажный жилет mosimoly, розовый вязаный джемпер без рукавов, укороченный свитер на бретелях		1 796,48 руб.	//aliexpress.ru/item/1005001403468638.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-2&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001249737202	Осенне-зимний вязаный однотонный жилет в Корейском стиле с v-образным вырезом, Свитера без рукавов, женские пуловеры	16 продано	703,74 руб.	//aliexpress.ru/item/4001249737202.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-3&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001513529299	Женский свитер, женская осенняя одежда 2020, Зимний вязаный жилет большого размера Mujer, пуловер с круглым вырезом, 100% кашемир, без рукавов		1 441,38 руб.	//aliexpress.ru/item/1005001513529299.html?s=p&ad_pvid=202009280128133968661950273280010503231_1&algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-4&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000401543522	Женский жилет-свитер с v-образным вырезом свободного размера плюс 3XL, простые классические элегантные офисные дамские жилеты Ulzzang Chic для отд...	367 продано	610,94 - 702,94 руб.	//aliexpress.ru/item/10000401543522.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-5&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000545480378	Женский Повседневный вязаный жилет, свободный Трикотажный жилет без рукавов с v-образным вырезом	6 продано	539,92 - 760,24 руб.	//aliexpress.ru/item/4000545480378.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-6&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001398046542	RR свитера с круглым вырезом женские модные милые розовые свитера с перекрещивающимися крест-накрест женские элегантные пуловеры без рукав...	9 продано	1 125,02 руб.	//aliexpress.ru/item/1005001398046542.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-7&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32833532754	Женский шерстяной жилет с круглым вырезом, вязаный жилет с длинными секциями, весна-осень 2020	624 продано	834,49 руб.	//aliexpress.ru/item/32833532754.html?algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-8&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001469004540	Модный винтажный однотонный офисный Женский вязаный жилет без рукавов 2020 192		1 628,61 руб.	//aliexpress.ru/item/1005001469004540.html?s=p&ad_pvid=202009280128133968661950273280010503231_2&algo_pvid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8&algo_expid=47a6a39f-9dd9-4877-a8d5-578d5e811fb8-9&btsid=0b8b035c16012816928731817eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
