id	description	number_of_orders	price	url
4000209792886	Прозрачные сексуальные женские боди на молнии с открытым шаговым швом, облегающие боди с высоким вырезом, гладкий Блестящий Комбинезон для ...	168 продано	773,96 руб.	//aliexpress.ru/item/4000209792886.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-0&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310353540	Женский прозрачный комбинезон Ellolace, прозрачный комбинезон с цветочным принтом, боди	101 продано	1 048,35 руб.	//aliexpress.ru/item/1005001310353540.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-1&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001136108402	Женский комбидресс с отворотами combiкороткое боди с коротким рукавом в стиле бохо, повседневный комбинезон женский комбидресс, 2020	13 продано	439,04 - 920,03 руб.	//aliexpress.ru/item/4001136108402.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-2&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001059043027	Женский Короткий комбинезон на бретельках, без рукавов, в полоску, с поясом		405,95 - 701,32 руб.	//aliexpress.ru/item/4001059043027.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-3&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000983465169	Женский ребристый спортивный комбинезон Sibybo, повседневный Облегающий комбинезон с вышивкой и надписью, Комбинезоны для фитнеса	811 продано	1 016,07 - 1 290,46 руб.	//aliexpress.ru/item/4000983465169.html?s=p&ad_pvid=202009280205178511829594940940010557951_1&algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-4&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001067962484	Новинка 2020, Женский Летний комбинезон с принтом, повседневный Тонкий пляжный комбинезон с коротким рукавом и v-образным вырезом, без рукавов...	245 продано	394,65 - 787,68 руб.	//aliexpress.ru/item/4001067962484.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-5&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001069758247	Женский Летний комбинезон с принтом и поясом, пляжный комбинезон без рукавов, облегающий Облегающий комбинезон на бретелях, комбинезон с ши...	22 продано	277,63 - 831,26 руб.	//aliexpress.ru/item/4001069758247.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-6&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000938389618	Женский Гладкий комбинезон из ледяного шелка, Блестящий Комбинезон, Одежда для танцев, прозрачные сексуальные комбинезоны на молнии с откр...	20 продано	773,96 руб.	//aliexpress.ru/item/4000938389618.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-7&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000837119319	Женский комбинезон с коротким рукавом, глубоким v-образным вырезом и цветочным принтом, Летние повседневные цельные комбинезоны	987 продано	1 129,06 руб.	//aliexpress.ru/item/4000837119319.html?algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-8&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32914692911	Женские комбинезоны-2018 новый дизайн, модные серо-белые полосатые Популярные комбинезоны, хлопковый льняной Свободный Повседневный Комбине...	6 продано	987,82 руб.	//aliexpress.ru/item/32914692911.html?s=p&ad_pvid=202009280205178511829594940940010557951_2&algo_pvid=c409a19a-6ced-4f23-b570-20d9b2c0b773&algo_expid=c409a19a-6ced-4f23-b570-20d9b2c0b773-9&btsid=0b8b035c16012839173708650eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
