id	description	number_of_orders	price	url
4000817604264	Женский спортивный костюм на молнии, Модный облегающий Повседневный Спортивный костюм с капюшоном и карманами	17 продано	418,05 руб.	//aliexpress.ru/item/4000817604264.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-0&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001257238327	Высокая эластичность, обтягивающие Эротические комбинезоны, сексуальные Гладкие Женские Прозрачные Комбинезоны для взрослых, Клубные Сек...	158 продано	564,13 - 878,87 руб.	//aliexpress.ru/item/4001257238327.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-1&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32972138104	Комбинезон Vangull женский длинный без рукавов с высокой талией и регулирующимися лямками	1091 продано	1 338,08 руб.	//aliexpress.ru/item/32972138104.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-2&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001179765160	Женский комбинезон на подтяжках, винтажные хлопковые комбинезоны с длинными карманами и широкими штанинами, комбинезоны большого размера, ...	37 продано	389,81 - 862,73 руб.	//aliexpress.ru/item/4001179765160.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-3&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001028163254	Женский комбинезон с широкими штанинами и цветочным принтом, Свободный комбинезон на пуговицах с v-образным вырезом и коротким рукавом, лет...	277 продано	1 119,37 - 1 325,17 руб.	//aliexpress.ru/item/4001028163254.html?s=p&ad_pvid=202009280139152696169315458670010522654_1&algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-4&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001334704693	Женский Повседневный однотонный комбинезон, осень 2020, глубокий v-образный вырез, рубашка на пуговицах, комбинезон для занятий спортом, цельн...	1 продано	819,15 - 1 126,63 руб.	//aliexpress.ru/item/4001334704693.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-5&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000906116585	Женское сексуальное боди с открытой промежностью, прозрачные колготки для женщин, высокие эластичные тонкие сексуальные чулки с открытой с...	8 продано	386,58 руб.	//aliexpress.ru/item/4000906116585.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-6&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000330320511	Женский трикотажный комбинезон FQLWL, белый, черный облегающий комбинезон с длинным рукавом, Облегающий комбинезон, 2019	4190 продано	1 112,91 - 1 268,67 руб.	//aliexpress.ru/item/4000330320511.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-7&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000748349273	Женский комбинезон с открытыми плечами, вечерние облегающие комбинезоны с длинными рукавами и брюками, 2019	1118 продано	663,39 - 708,59 руб.	//aliexpress.ru/item/4000748349273.html?algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-8&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001162941413	Винтажный элегантный комбинезон с цветочным принтом, Женский Летний комбинезон 2020, сексуальный боди без рукавов на бретельках, Повседневна...	51 продано	760,24 - 1 139,55 руб.	//aliexpress.ru/item/4001162941413.html?s=p&ad_pvid=202009280139152696169315458670010522654_2&algo_pvid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a&algo_expid=5ccce0fd-6005-4a8b-9347-a597d73a7d6a-9&btsid=0b8b035c16012823555816987eb0f8&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
