id	description	number_of_orders	price	url
1005001350956268	Зимний спортивный костюм для женщин, комплект из 2 предметов, толстовка с принтом + штаны, спортивная одежда, женский спортивный костюм, толс...	376 продано	1 600,37 - 1 865,88 руб.	//aliexpress.ru/item/1005001350956268.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-0&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001201461867	Aachoae однотонный повседневный спортивный костюм женский спортивный комплект из 2 предметов свитера пуловер толстовки костюм 2020 домашние Спо...	3407 продано	1 170,21 - 1 727,88 руб.	//aliexpress.ru/item/4001201461867.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-1&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001406072204	Женский спортивный костюм Tangada, флисовый костюм из 100% хлопка, комплект из 3 предметов, толстовка с капюшоном лаванды и штаны, костюмы размера ...	99 продано	1 411,52 - 1 925,60 руб.	//aliexpress.ru/item/1005001406072204.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-2&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001286939303	Toppies 2020 осенний блейзер + брюки комплект из двух предметов женский двубортный костюм куртка брюки с высокой талией	340 продано	1 514,82 - 3 839,91 руб.	//aliexpress.ru/item/1005001286939303.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-3&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000495970213	Женский трикотажный свитер с высоким воротником, розовые брюки с широкими штанинами в западном стиле, Осень-зима 2019	30 продано	2 581,73 - 2 720,54 руб.	//aliexpress.ru/item/4000495970213.html?s=p&ad_pvid=202009280232062489370245309370011518515_1&algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-4&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000691066294	Женский комплект из 2 предметов с длинным рукавом и открытыми плечами, укороченный топ и штаны, повседневный Осенний комбинезон с длинными р...	536 продано	464,05 - 853,05 руб.	//aliexpress.ru/item/4000691066294.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-5&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001438098221	Женский модный спортивный костюм из 2 предметов на осень 2020, топ с длинными рукавами в стиле пэчворк + штаны, спортивные костюмы, спортивная о...		476,97 - 1 104,04 руб.	//aliexpress.ru/item/1005001438098221.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-6&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001305402875	Комплект из двух предметов, спортивный костюм для женщин, осенне-зимняя одежда, толстовка с капюшоном, флисовая толстовка, топ и штаны, костю...	38 продано	446,30 - 1 334,85 руб.	//aliexpress.ru/item/1005001305402875.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-7&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000437455021	TYHRU/осенне-зимний женский спортивный костюм, однотонный полосатый свитер с высоким воротником и эластичные брюки, вязаный комплект из двух ...	677 продано	2 897,28 руб.	//aliexpress.ru/item/4000437455021.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-8&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000999440907	Женский костюм, лето 2020, новые женские брюки, костюм с длинным рукавом, Блейзер, повседневные штаны, костюм, куртка, пальто, свободный офисный...	5 продано	2 434,85 руб.	//aliexpress.ru/item/4000999440907.html?s=p&ad_pvid=202009280232062489370245309370011518515_2&algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-9&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32967398007	Брючный костюм женский: приталенный блейзер + брюки OL	651 продано	2 348,49 руб.	//aliexpress.ru/item/32967398007.html?algo_pvid=54b93d62-e698-4fe1-a8e3-4b7492704201&algo_expid=54b93d62-e698-4fe1-a8e3-4b7492704201-10&btsid=0b8b15f516012855263913309ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
