id	description	number_of_orders	price	url
4001096484463	Новинка 2020, бикини с высокой талией, без бретелек, сексуальное бикини, женский купальник, женский купальник с подкладкой, Одноцветный купаль...	1637 продано	393,03 руб.	//aliexpress.ru/item/4001096484463.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-0&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001036307448	Сексуальный цельный купальник 2020, открытый купальник, Женский монокини с принтом, боди, бандажный бразильский винтажный купальный костюм, п...		237,28 - 499,56 руб.	//aliexpress.ru/item/4001036307448.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-1&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000710147451	Для женщин Высокая Талия пикантные Двойка Купальник-бикини, набор, Одноцветный, с подкладкой, пуш-ап, купальники купальник Mujer комплект из дв...		194,50 - 306,68 руб.	//aliexpress.ru/item/4000710147451.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-2&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000029262029	2 шт., бикини, накидка, Пляжная, сексуальное женское кружевное нижнее белье, ночное белье, набор набедренных повязок, новинка	6167 продано	159,80 - 272,78 руб.	//aliexpress.ru/item/4000029262029.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-3&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001344391734	Женский купальник-бикини, Раздельный купальник-бикини с эффектом пуш-ап, Бразильский купальный костюм из 2 предметов, новинка 2020	69 продано	853,85 руб.	//aliexpress.ru/item/4001344391734.html?s=p&ad_pvid=202009280303024692120310125670011601675_1&algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-4&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000747800178	Сексуальные женские кружевные пижамные комплекты, 2020, без рукавов, на бретельках, пижамы, 2 шт, отделка, Атласный топ на бретельках, ночное бе...	1284 продано	182,40 - 225,17 руб.	//aliexpress.ru/item/4000747800178.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-5&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000407012357	Женский купальник-бикини с принтом авокадо, купальник-бикини с пуш-ап, пляжная одежда с открытой спиной, пляжная одежда для купания, 2020	614 продано	325,24 - 803,82 руб.	//aliexpress.ru/item/4000407012357.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-6&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000090920394	Сексуальный женский сетчатый прозрачный купальник бикини, купальный костюм, Пляжное платье, клубная одежда	313 продано	192,89 руб.	//aliexpress.ru/item/4000090920394.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-7&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33045820265	Женское нижнее белье мини, 13 цветов, сексуальное бикини с крючком, для загара	53 продано	402,72 руб.	//aliexpress.ru/item/33045820265.html?algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-8&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000190028093	Новый сексуальный купальник бикини с высокой талией 2020, женский купальник, бандо, пуш-ап, комплект бикини с пряжкой, купальный костюм, пляжна...	1805 продано	1 047,54 руб.	//aliexpress.ru/item/4000190028093.html?s=p&ad_pvid=202009280303024692120310125670011601675_2&algo_pvid=4d119749-1ac6-45fa-98d3-ee033f686cd0&algo_expid=4d119749-1ac6-45fa-98d3-ee033f686cd0-9&btsid=0b8b15f516012873822203653ef867&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
