id	description	number_of_orders	price	url
4001084973282	Защитная пленка для экрана для Samsung Galaxy Tab 3 Lite 7,0 SM-T110 SM-T111 SM-T116 с уровнем твердости 9H премиум класса, закаленное стекло для Samsung Tab3 Lite 7 дюймов ...	4 продано	300,42 руб.	//aliexpress.ru/item/4001084973282.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-0&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001095458091	С уровнем твердости 9H Премиум Защитная пленка для экрана из закаленного стекла Защитная пленка для Lenovo YOGA Tab 3 8 TB3-850M TB3-850F Tab 2 A8-50 A8-50F A8-50LC 8,0 ''п...	13 продано	300,42 руб.	//aliexpress.ru/item/4001095458091.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-1&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000903525435	19,5 V 3.9A 76 Вт 6,5*4,4 мм адаптер переменного тока для Sony Vaio VGP-AC19V19 VGP-AC19V33 VGP-AC19V38 VGP-AC19V34 Ноутбук DC Зарядное устройство	9 продано	635,35 руб.	//aliexpress.ru/item/4000903525435.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-2&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32952597362	Жесткий чехол с кристаллами для Macbook Air 13 Retina Pro 13 15 16 2020 A2289 A2159, жесткий чехол с бесплатной клавиатурой A1466 A1990 A1932	2680 продано	714,57 - 848,69 руб.	//aliexpress.ru/item/32952597362.html?s=p&ad_pvid=2020092302325216452693735999600002083075_1&algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-4&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001019503596	"Закаленное стекло для huawei Mediapad M5 10, защита экрана 9H 2.5D, прозрачная защитная пленка для планшета MediaPad M5 Pro 10,8 "", защитное стекло"	13 продано	327,87 руб.	//aliexpress.ru/item/4001019503596.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-5&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001054839975	Премиум 9H 0,3 мм Закаленное стекло протектор экрана для Samsung Galaxy Tab 4 10,1 SM-T530 T531 T535 10,1 ''планшет защитная пленка	121 продано	300,42 руб.	//aliexpress.ru/item/4001054839975.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-6&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001241675556	Ноутбук компьютер зарядное устройство Замена ноутбука адаптер 19V 3.42A 65W AC подходит для замены Acer блок питания зарядное устройство		278,46 руб.	//aliexpress.ru/item/4001241675556.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-7&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001444970756	Замена 1,8 м Магнитная USB-C Тип MagSafe 1 2 кабель для Apple Macbook Pro Air 30W 61W 87 Вт Зарядное устройство Мощность адаптер		858,89 - 874,58 руб.	//aliexpress.ru/item/1005001444970756.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-8&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000921169719	COOLCOLD легкая охлаждающая подставка для ноутбука пластиковая вертикальная подставка для ноутбука Складная подставка для планшета Кронштейн...	4123 продано	724,76 - 760,06 руб.	//aliexpress.ru/item/4000921169719.html?s=p&ad_pvid=2020092302325216452693735999600002083075_2&algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-9&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33029742237	Для Macbook Pro A1278 A1286 A1297, резиновые ножки снизу, с винтами, отвертка	1247 продано	130,99 руб.	//aliexpress.ru/item/33029742237.html?algo_pvid=7e438f11-c77e-4590-b0ca-502038595b44&algo_expid=7e438f11-c77e-4590-b0ca-502038595b44-10&btsid=0b8b036a16008535724595796efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
