id	description	number_of_orders	price	url
4000261967535	JASTER usb 2,0 флеш-накопитель 4 ГБ 16 ГБ флеш-накопитель s Флешка 32 Гб usb карта памяти 64 Гб OTG металлический usb флеш-накопитель для Micro usb2.0	59 продано	166,29 - 765,55 руб.	//aliexpress.ru/item/4000261967535.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-0&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32875001544	USB флеш-накопитель SHANDIAN, OTG высокоскоростной накопитель 64 ГБ 32 ГБ 16 ГБ 8 ГБ 4 ГБ, внешний накопитель, двухсторонний, флэшка с Micro USB	13935 продано	171 - 722,41 руб.	//aliexpress.ru/item/32875001544.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-1&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001145145258	ORICO 2,5 дюймов HDD чехол SATA 3,0 к USB 3,0 5 Гбит/с 4 ТБ HDD SSD корпус Поддержка UASP HD внешний жесткий диск коробка черный/белый	14855 продано	298,85 руб.	//aliexpress.ru/item/4001145145258.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-2&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001028890125	Высокоскоростная карта памяти class10, 8 ГБ, 16 ГБ, 32 ГБ, карта micro sd 64 ГБ, 128 ГБ, карта micro sd 32 ГБ, мини-карта TF 4 Гб с бесплатным адаптером	23949 продано	165,51 - 1 538,16 руб.	//aliexpress.ru/item/4001028890125.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-3&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32959923996	Внешний жесткий диск 320 г, 500 г, USB3.0, 1 ТБ, 2 ТБ, 750 г HDD, портативный внешний жесткий диск HD с логотипом на заказ	719 продано	1 129,50 - 5 459,23 руб.	//aliexpress.ru/item/32959923996.html?s=p&ad_pvid=202009222342005302787994740280001773622_1&algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-4&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001228548707	Micro sd карты памяти 8 ГБ 16 ГБ 32 ГБ высокая скорость 64 Гб класс 10 micro sd карта 128 ГБ 256 ГБ TF карта для телефона/планшетного ПК	4609 продано	152,96 - 3 073,95 руб.	//aliexpress.ru/item/4001228548707.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-5&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001069848831	Карта памяти Micro SD TF, 8 ГБ, 16 ГБ, 32 ГБ, 64 ГБ, класс 10, карта памяти Microsd, Высококачественная карта TF, карты Micro SD для смартфонов и ноутбуков	2090 продано	112,17 - 383,56 руб.	//aliexpress.ru/item/4001069848831.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-6&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32838987243	Многофункциональная USB флешка Biyetimi otg 2,0 Флешка 64 Гб cle usb флешка-Флешка 32 ГБ 16 ГБ 8 ГБ 4g Флешка для телефона	8468 продано	205,51 - 362,38 руб.	//aliexpress.ru/item/32838987243.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-7&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001180055046	USB флеш-накопитель наивысшего качества 16 ГБ 32 ГБ флеш-накопитель 64 Гб 128 Гб карта памяти Водонепроницаемая реальная емкость u-диск usb cle	125 продано	196,10 - 368,66 руб.	//aliexpress.ru/item/4001180055046.html?algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-8&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32957109200	Внешний жесткий диск KESU с логотипом на заказ, HDD, USB2.0, 60/ 160/250/320/ 500/750 г, 1/2 Тб, для ПК Mac, для планшета-телевизора	531 продано	941,25 - 5 270,98 руб.	//aliexpress.ru/item/32957109200.html?s=p&ad_pvid=202009222342005302787994740280001773622_2&algo_pvid=cef37182-49af-48a1-9fb4-55be88324460&algo_expid=cef37182-49af-48a1-9fb4-55be88324460-9&btsid=0b0a187916008433202703427eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
