id	description	number_of_orders	price	url
4001142845763	Аппарат для точечной сварки, портативный аппарат для точечной сварки аккумуляторов, печатная плата, сварочное оборудование для 18650 26650 32650 12 ...	49 продано	853,40 руб.	//aliexpress.ru/item/4001142845763.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-0&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001351443975	3 шт. алюминиевый радиатор с медными охлаждающими раковинами для Raspberry Pi 3/2 Модель B/B +		72,95 руб.	//aliexpress.ru/item/1005001351443975.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-1&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33038070482	USB контроллер, 2 шт., супер игровой контроллер, SNES USB, классический геймпад, игровой джойстик для raspberry pi	1649 продано	504,36 руб.	//aliexpress.ru/item/33038070482.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-2&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001462415430	WeAct STM32F401CEU6 STM32F401 V3.0 плата для развития микропитона PYBoard		230,61 руб.	//aliexpress.ru/item/1005001462415430.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-3&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001299605533	Чехол RETROFLAG Raspberry Pi 4 NESPi 4 с поддержкой безопасного отключения с SSD чехол охлаждающий вентилятор Радиатор для Raspberry Pi 4 Модель B	14 продано	3 052,78 - 4 961,15 руб.	//aliexpress.ru/item/1005001299605533.html?s=p&ad_pvid=202009230303015430031600221300000050093_1&algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-4&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000054878108	Официальный Оригинальный Raspberry Pi 4 Модель B макетная плата комплект RAM 2G 4G 8G 4 Core CPU 1,5 Ghz 3 Спидер чем Pi 3B +	4695 продано	3 253,58 - 7 967,65 руб.	//aliexpress.ru/item/4000054878108.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-5&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000324268644	DSTIKE D-duino-32 XS ESP32 TFT цветной ЖК-дисплей		1 490,31 руб.	//aliexpress.ru/item/10000324268644.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-6&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001092730193	ESP32 комплект макетной платы Wifi Bluetooth расширяемая Совместимость с Arduino ESP32 M5Stack	16 продано	2 242,52 руб.	//aliexpress.ru/item/4001092730193.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-7&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001220394306	Waveshare общая информация 2 дюймов IPS ЖК-дисплей Дисплей модуль, IPS Sn, 240x320 Разрешение, SPI, Интерфейс		814,18 руб.	//aliexpress.ru/item/4001220394306.html?algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-8&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000203086170	Nvidia Jetson Nano набор для разработки, маленький мощный компьютер для развития ии, Поддержка запуска нескольких нейронных сетей одновременно	62 продано	9 100,28 руб.	//aliexpress.ru/item/4000203086170.html?s=p&ad_pvid=202009230303015430031600221300000050093_2&algo_pvid=df5ce2d3-44d3-4e61-bd26-070b9d022b21&algo_expid=df5ce2d3-44d3-4e61-bd26-070b9d022b21-9&btsid=0b8b036a16008553810675461efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
