id	description	number_of_orders	price	url
1005001386558904	Funhouse Собранный настольный компьютер Intel Xeon E5-2650 8-ядерный/RX560 4G/8G/16G RAM 256G SSD дешевый игровой высокопроизводительный настольный компьютер		24 978,30 руб.	//aliexpress.ru/item/1005001386558904.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-0&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001386666607	Funhouse Собранный настольный компьютер Intel Xeon X5650 6 ядер двенадцать ниток LGA 1366/RX550/RX560 4G/8G/16G RAM 256G SSD для LOL		26 615,28 руб.	//aliexpress.ru/item/1005001386666607.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-1&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001022739385	IPASON дешевый игровой ПК G5420/9100F/GTX1650 4G/RX550 4G D4 16G RAM Поддержка DVI/HDMI/DP настольные компьютеры для игр CSGO/Fortnite	11 продано	33 042,42 - 53 310,56 руб.	//aliexpress.ru/item/4001022739385.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-2&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000561740441	Игровой мини-ПК IPASON, AMD Ryzen R3, 2200 ГБ, обновление 3200 ГБ, новое поколение, настольный компьютер Ryzen, 8 Гб DDR4, 120 ГБ SSD, офисный сборочный ПК	17 продано	28 213,83 - 30 566,94 руб.	//aliexpress.ru/item/4000561740441.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-3&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001293014393	"12 ""15"" 10 дюймов промышленный планшетный ПК панель ПК настольный компьютер с резистивным прикосновением Intel J1900 windows 10 pro все в одном ПК"	6 продано	17 577,76 - 37 759,62 руб.	//aliexpress.ru/item/4001293014393.html?s=p&ad_pvid=20200923044653636005094158430000255111_1&algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-4&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001260538030	IPASON мощный игровой компьютер Intel 10-го поколения Core I7 10700 GTX1660 Super 6G видеокарта высокая производительность Diy игровой настольный компьютер		93 229,56 руб.	//aliexpress.ru/item/4001260538030.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-5&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33010708868	IPASON сенсорный экран все в одном ПК 21,5 Дюймов отдельные части двухъядерного процессора Intel Core 4G DDR4 Оперативная память 240G SSD Узкие замшевые сап...		28 938,59 руб.	//aliexpress.ru/item/33010708868.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-6&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001291515045	Настольный компьютер Funhouse AMD A4 3300 H6410, 2 ГБ, 8 ГБ, DDR3 ОЗУ, 500 Гб в сборе, полный набор высококачественных игровых ПК PUBG E-sports DIY		10 926,29 - 21 907,49 руб.	//aliexpress.ru/item/1005001291515045.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-7&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001383155861	Материнская плата ASUS ROG STRIX Z490-A GAMING snowstorm + I9-10900K/I7-10700K		30 210,05 - 88 567,26 руб.	//aliexpress.ru/item/1005001383155861.html?algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-8&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32810984590	Сенсорный экран Haina, сенсорный экран 15 дюймов, RFID, Pos терминал с дисплеем заказчика		23 295,82 - 23 648,79 руб.	//aliexpress.ru/item/32810984590.html?s=p&ad_pvid=20200923044653636005094158430000255111_2&algo_pvid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499&algo_expid=1b2963b7-68c3-4ea1-947f-5bbb0ddda499-9&btsid=0b8b036a16008616128676918efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
