id	description	number_of_orders	price	url
4001174923562	Гибкий провод для видео экрана для ACER E1-521 531 571 V3-571 шлюз NV56 Q5WV1 ноутбук ЖК-светодиодный LVDS лента для показа кабеля DC02001FO10		369,44 руб.	//aliexpress.ru/item/4001174923562.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-0&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32830604040	Петля для ноутбука DELL Inspiron 15, 3521, 5537, 3531, 5537, 15R, 2521, 5521, 2528, 3537, 5535, M531R, 15,6 дюйма, AMOSZ000200, AMOSZ000100	16 продано	395,33 руб.	//aliexpress.ru/item/32830604040.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-1&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000354164284	"ЖК-дисплей Видео flex кабель для DELL Inspiron 3521 3537 3737 5521 5537 5737 15R 15,6 ""PN: DC02001SI00 DC02001N400 DC02001MG00"	55 продано	296,50 руб.	//aliexpress.ru/item/4000354164284.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-2&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32959676197	Бесплатная доставка, материнская плата MS91 с 2 памятями, для sony MBX-165, FZ25,FZ35,FZ17,FZ37, и т. Д., с 2 памятью, для Сони, для Сони, и т. Д., с 1., для Сони., С., дл...	19 продано	2 641,77 руб.	//aliexpress.ru/item/32959676197.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-3&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32957485494	Новый аккумулятор C21N1401 для Asus X455L X455LA X455LD X455LF X455LJ A556U Y483L	2 продано	1 564,83 руб.	//aliexpress.ru/item/32957485494.html?s=p&ad_pvid=20200923054809126804350607480000476090_1&algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-4&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000781202509	DC 12V/15V/16V/18V/19V/20V/24V 4-5A 96W Ноутбук AC универсальный адаптер питания зарядное устройство для ASUS DELL Lenovo Sony Toshiba ноутбука	148 продано	653,39 руб.	//aliexpress.ru/item/4000781202509.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-5&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32823595538	Новые петли для ноутбуков Asus N61 N61V N61S N61W N61VG N61VF N61VN N52 N52D N52J L & R, замена ноутбуков	72 продано	320,81 руб.	//aliexpress.ru/item/32823595538.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-6&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000627045060	Чехол-клатч для Asus A555 X555 Y583 W509 VM510 W519L W519 F555 K555 Y583 K555L Y583L X555D 15,6 дюйма, 1 шт.	10 продано	341,99 руб.	//aliexpress.ru/item/4000627045060.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-7&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001228488186	10 комплектов ручных монтажных комплектов, отвертка с шестигранной гайкой для материнской платы M.2 SSD для A-SUS	19 продано	76,87 руб.	//aliexpress.ru/item/4001228488186.html?algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-8&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32855735416	"Новый C21N1333 Аккумулятор для Asus Transformer Book Flip TP550LA TP550LD 15,6 ""R554LA"		1 713,86 руб.	//aliexpress.ru/item/32855735416.html?s=p&ad_pvid=20200923054809126804350607480000476090_2&algo_pvid=7dff0f24-be99-4c48-a1a3-2576bd814dca&algo_expid=7dff0f24-be99-4c48-a1a3-2576bd814dca-9&btsid=0b8b036a16008652887625714efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
