id	description	number_of_orders	price	url
4001066464327	"Закаленное стекло премиум-класса, защитная пленка для экрана, ЖК-экран для 10,1 ""BQ BQ-1084L Hornet Max pro 1084L 1085L планшета"	18 продано	375,72 руб.	//aliexpress.ru/item/4001066464327.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-0&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000691183701	Witblue 7 ''Новый сенсорный экран для Prestigio Smartkids PMT3997, сенсорная панель, дигитайзер, стеклянный датчик	51 продано	364,74 руб.	//aliexpress.ru/item/4000691183701.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-1&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000774341887	Сенсорный экран Kingvina, сенсорный экран для планшета 7 дюймов PRESTIGIO WIZE 1157 4G/PMT1157_4G_C_RU, сенсорная панель, дигитайзер, стекло	25 продано	423,57 - 452,59 руб.	//aliexpress.ru/item/4000774341887.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-2&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000121194014	"Новый дигитайзер сенсорного экрана Alcatel Tab 1T 8068 7,0 ""9009G 3G Alcatel 1T 8068, планшет, сенсорная панель, Сменный стеклянный датчик"	51 продано	418,07 руб.	//aliexpress.ru/item/4000121194014.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-3&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001214231918	«Капитан Америка» для 2019 флагманский 10,1 дюйма, разрешение Full HD IPS сенсорного экрана 2-в-1 для ноутбука	2 продано	18 777,85 - 24 001,76 руб.	//aliexpress.ru/item/4001214231918.html?s=p&ad_pvid=2020092306261414232980965288240000605793_1&algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-4&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001360746604	Креатив планшет для рисования 8,5 дюймов блокнот цифровой ЖК-дисплей графическая плата почерк доска объявлений для образования Бизнес		337,28 руб.	//aliexpress.ru/item/4001360746604.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-5&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000820758361	4,3 дюймов Автомобильный навигатор MP4 MP5 KD43G18-40NB-A1 KD43G18 A5 4,3 C430P T43P12 GPS резистивный сенсорный жидкокристаллический дисплей сенсорный экран 105*65 м...	11 продано	290,22 - 745,16 руб.	//aliexpress.ru/item/4000820758361.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-6&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33018459152	"Сменный сенсорный экран Witblue для планшета BQ 7084G 7 "", сенсорный экран, сенсорная панель, дигитайзер, стекло"	73 продано	331,79 руб.	//aliexpress.ru/item/33018459152.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-7&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000318050375	Для 7-дюймового PRESTIGIO WIZE 4227 3G PMT4227 _ 3G _ C PMT4227 планшет, емкостный сенсорный экран, панель, дигитайзер, Замена датчика	26 продано	371,80 руб.	//aliexpress.ru/item/4000318050375.html?algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-8&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000365083629	"8,0 ""ЖК-дисплей для Samsung Galaxy Tab An 8,0, SM-T290, SM-T295, T290, T295, ЖК-дисплей + пишущая машинка с сенсорным экраном"	9 продано	2 648,83 руб.	//aliexpress.ru/item/10000365083629.html?s=p&ad_pvid=2020092306261414232980965288240000605793_2&algo_pvid=f27fe90c-5324-4194-9b4e-6603b811e451&algo_expid=f27fe90c-5324-4194-9b4e-6603b811e451-9&btsid=0b8b036a16008675745456988efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
