id	description	number_of_orders	price	url
1005001459648425	Microsoft Office 2019 Pro Plus пожизненный ключ-активация телефона быстрая цифровая доставка Глобальный все язык для windows 10 pro	23 продано	282,38 руб.	//aliexpress.ru/item/1005001459648425.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-0&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001433602860	Лицензионная учетная запись Microsoft Office 365 Pro Plus на всех языках работает на 5 устройствах office 2019	321 продано	219,63 руб.	//aliexpress.ru/item/1005001433602860.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-1&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000281362777	USB 3,0 концентратор 2,0, мульти USB сплиттер, 4/7 портов, расширитель, несколько USB 3 Hab, USB3.0 концентратор с переключателем для ПК	739 продано	207,86 - 364,74 руб.	//aliexpress.ru/item/4000281362777.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-2&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32808029308	Концентратор USB 3.0 для ПК, USB-хаб с 3 и 6 высокоскоростными портами 2.0, устройство считывания карт SD и TF	11348 продано	140,41 - 352,19 руб.	//aliexpress.ru/item/32808029308.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-3&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000751864511	UPERFECT 4K Портативный монитор с сенсорным экраном, тяжести Сенсор автоматический поворот 15,6 ''тонкий 10 точек касания UHD 3840x2160 Дисплей	306 продано	27 746,34 - 29 209,98 руб.	//aliexpress.ru/item/4000751864511.html?s=p&ad_pvid=202009222237386748239006669700001753273_1&algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-4&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33002700281	GAOMON S620 6,5x4 дюймов 8192 уровень безбатарейная Ручка Поддержка Android Windows Mac OS система цифровой графический планшет для рисования электронная дос...	11569 продано	2 069,96 руб.	//aliexpress.ru/item/33002700281.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-5&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001244801029	HD 1080P Веб-камера мини компьютер ПК веб-камера с USB разъемом вращающиеся камеры для прямой трансляции видео вызова Конференции работы	1878 продано	815,75 - 962,43 руб.	//aliexpress.ru/item/4001244801029.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-6&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001296919261	4-портовый концентратор-адаптер Mini USB 2,0, высокоскоростной 4-портовый разветвитель-адаптер, usb-хаб для ПК, компьютера, ноутбука, черно-белый, Пр...	313 продано	86,29 - 142,76 руб.	//aliexpress.ru/item/4001296919261.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-7&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32970703182	Универсальный usb-хаб Kebidu с 4 портами USB 2,0 и кабелем, высокоскоростной мини-концентратор, разветвитель узора, адаптер для ноутбука, ПК	3579 продано	179,63 руб.	//aliexpress.ru/item/32970703182.html?algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-8&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000899669996	USB Type-C концентратор, Type-C к HDMI 4K VGA адаптер RJ45 Lan Ethernet SD TF-адаптер 3,0 Typec 3,5 мм разъем аудио-видео для MacBook Pro OTG	1593 продано	661,23 - 1 984,46 руб.	//aliexpress.ru/item/4000899669996.html?s=p&ad_pvid=202009222237386748239006669700001753273_2&algo_pvid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2&algo_expid=b3b0eff1-e7e9-495c-afad-4497d9cf79d2-9&btsid=0b0a119a16008394582934295eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
