id	description	number_of_orders	price	url
1005001342622259	Розничный ключ для Windows 10 pro/активация лицензии	25 продано	312,97 руб.	//aliexpress.ru/item/1005001342622259.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-0&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001390847826	WINDOWS 10 Домашняя/Лицензионная активация Windows 10 Домашняя Лицензионная Кнопка Быстрая доставка	6 продано	548,28 руб.	//aliexpress.ru/item/1005001390847826.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-1&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001444055763	Google Drive неограниченное хранение с вашей личной Gmail для неограниченного времени 100% гарантия доставки-оригинальный продукт	98 продано	312,97 руб.	//aliexpress.ru/item/1005001444055763.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-2&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000412155331	Активация WINDOWS 10 Pro/Лицензионная Активация	112 продано	312,97 руб.	//aliexpress.ru/item/10000412155331.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-3&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32775105760	4G LTE H.264 HDMI видео кодировщик с низким уровнем лантенси, прямой передатчик, Ip кодировщик, беспроводной, wowza, youtube, facebook		14 040,25 - 31 296,41 руб.	//aliexpress.ru/item/32775105760.html?s=p&ad_pvid=2020092300182019222190080823520001937790_1&algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-4&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001174635940	Aardar настольная память 8 ГБ 8 ГБ 4 ГБ 2 Гб 2 Гб 1600 МГц 1333 МГц широкая версия DDR3 для AMD совместимый компьютер ddr 3 RAM	468 продано	309,05 - 1 356,18 руб.	//aliexpress.ru/item/4001174635940.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-5&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33021094536	ANKOWALL DDR3 8 ГБ 4 ГБ памяти 1600 МГц 1333 240pin 1,5 V ОЗУ компьютера dimm	9613 продано	379,64 - 3 278,68 руб.	//aliexpress.ru/item/33021094536.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-6&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001189457111	Aardar 8 Гб DDR3 1333 МГц 1600 МГц 4 Гб 1333 МГц DDR3 2 Гб 1600 МГц оперативная память для настольных ПК 2 Гб 1333 МГц	274 продано	391,41 - 2 000,15 руб.	//aliexpress.ru/item/4001189457111.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-7&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32959105324	Модуль ОЗУ DDR3 для настольных ПК, память на 8 ГБ, 4 ГБ, 2 ГБ, PC3 1333 МГц, 1600 МГц, 1866 МГц, 1333 МГц, 12800 МГц, МГц 14900 МГц	3608 продано	342,78 - 2 248,80 руб.	//aliexpress.ru/item/32959105324.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-8&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32891290869	Видео кодировщик Unisheen 4K HDMI, UHD потоковое видео IP IPTV vmix Youtube Facebook Ustream Wowza Rtmp M3U8 Onvif		36 081,07 руб.	//aliexpress.ru/item/32891290869.html?s=p&ad_pvid=2020092300182019222190080823520001937790_2&algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-9&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32914705857	Адаптер Kebidumei для перезаписи VHS на DVD, портативное простое в использовании устройство для захвата аудио и видео с подключением через USB2.0 и по...	3144 продано	341,21 руб.	//aliexpress.ru/item/32914705857.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-10&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001273895612	H1111Z 4K Карта видеозахвата USB3.0 2,0 HDMI видео захватывающая коробка для PS4 игры DVD видеокамера камера запись в режиме реального времени	991 продано	583,58 - 709,86 руб.	//aliexpress.ru/item/1005001273895612.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-11&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000590713463	VIRIVI DDR3 4 ГБ 8 ГБ 1333 МГц 1600 SO-DIMM 1,35 V 1,5 V Тетрадь Оперативная память 204Pin памяти ноутбука основной комплект	647 продано	384,35 - 2 166,44 руб.	//aliexpress.ru/item/4000590713463.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-12&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32893259337	Модуль ОЗУ Kingston для настольных ПК, 1 ГБ, 2 ГБ, PC2 DDR2, 4 ГБ, DDR3, 8 ГБ, 667 МГц, 800 МГц, 1333 МГц, 1600 МГц	7753 продано	298,85 - 9 349,71 руб.	//aliexpress.ru/item/32893259337.html?algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-13&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32959485382	Видео кодировщик Unisheen H.264 VGA, Onvif, с низким Lantency, Wi-Fi, youtube, передача компьютерного монитора, ip, rtmp потоковое видео в реальном времени		14 040,25 руб.	//aliexpress.ru/item/32959485382.html?s=p&ad_pvid=2020092300182019222190080823520001937790_3&algo_pvid=dd8f5643-b559-4d38-b82d-6e5e1260e73c&algo_expid=dd8f5643-b559-4d38-b82d-6e5e1260e73c-14&btsid=0b0a187916008455006981831eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
