id	description	number_of_orders	price	url
4000905760051	XCY X31G безвентиляторный мини ПК i5 5200U 8 ГБ ОЗУ 128 Гб SSD 2x RS232 последовательные порты двойной NIC HDMI VGA 4xUSB3.0 WiFi Windows Linux Ubuntu	225 продано	19 530,84 - 22 668,33 руб.	//aliexpress.ru/item/4000905760051.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-0&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001268633012	CHUWI LarkBox 4K очень маленький мини-ПК Intel Celeron J4115 процессор windows 10 четырехъядерный процессор 6 Гб RAM 128G EMMC		17 255,38 руб.	//aliexpress.ru/item/4001268633012.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-1&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001359847145	CHUWI LarkBox самый маленький в мире 4K мини ПК Intel Celeron J4115 четырехъядерный 6 Гб RAM 128 ГБ ROM Windows 10 настольный компьютер HDMI USB-C	610 продано	17 333,82 руб.	//aliexpress.ru/item/4001359847145.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-2&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000522371045	Четырехъядерный мини ПК Intel Celeron J3455 Windows 10 4K HTPC DDR3L M.2 SSD HDMI VGA 2,4/5,0G WiFi Bluetooth4.0 4 * USB Type-C TV Box	39 продано	12 471,50 - 20 785,84 руб.	//aliexpress.ru/item/4000522371045.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-3&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32822539500	Мини-ПК Qotom E350D, двухъядерный процессор, 1,6 ГГц, низкий уровень мощности, маленький чехол, двойной дисплей 4USB		5 365,10 - 11 996,96 руб.	//aliexpress.ru/item/32822539500.html?s=p&ad_pvid=202009230336211404198638930250000126366_1&algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-4&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001452573331	P3T Мини ПК Win10 Linux Celeron J4115 8 Гб RAM 64 Гб/128 ГБ/256 ГБ/512 ГБ ROM USB3.0 BT4.2 WIFI HDMI VGA RJ45 маленький размер Мини компьютер		11 267,49 - 15 140,72 руб.	//aliexpress.ru/item/1005001452573331.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-5&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32897940317	XCY Mini PC Компьютер Intel Core i7 7500U i5 7200U Процессор Windows / 10 Linux Игровой ПК 4K UHD HTPC HDMI VGA WiFi Рабочий стол X26UL Win10 Linux Лучший миникомпьютерный компьютер Ком...	162 продано	13 262,93 - 38 976,18 руб.	//aliexpress.ru/item/32897940317.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-6&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32910111415	Мини ПК Intel Core i5 7200U 3317U 4200U i7 4500U Windows 10 USB * 6 Мини кулер для компьютера настольный мини-компьютер WIFI HDMI HD Graphics 4400	145 продано	13 398,63 - 26 845,89 руб.	//aliexpress.ru/item/32910111415.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-7&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001296744884	XCY Мини ПК палка Intel Celeron N4100 Четырехъядерный 4 Гб LPDDR4 128 ГБ eMMC HDMI 2,0 4K 60Hz 2,4G/5,0G WiFi Bluetooth 4,2 Windows 10	3 продано	12 460,52 - 14 672,45 руб.	//aliexpress.ru/item/4001296744884.html?algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-8&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32834181414	Мини-ПК Qotom OEM Q350PY с процессором Core i5, двойным Lan, 6 * USB несколькими последовательными портами RS485 VGA 11,5 Вт безвентиляторный POS компьютер X86	4 продано	13 934,36 - 23 472,31 руб.	//aliexpress.ru/item/32834181414.html?s=p&ad_pvid=202009230336211404198638930250000126366_2&algo_pvid=30708be0-0bb5-4d7f-b841-df085f1fcb76&algo_expid=30708be0-0bb5-4d7f-b841-df085f1fcb76-9&btsid=0b8b036a16008573812727109efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
