id	description	number_of_orders	price	url
4000465098842	Беспроводная оптическая мышь 2000DPI 2,4 ГГц, геймерская беспроводная мышь с usb-приемником, Mause для компьютера, ноутбука	102 продано	250,22 руб.	//aliexpress.ru/item/4000465098842.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-0&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32963887332	SeenDa Бесшумная беспроводная мышь 2,4G, бесшумные кнопки, эргономичная Бесшумная мышь для компьютера, ноутбука, мыши для настольного ноутбука, ...	1767 продано	368,66 - 590,64 руб.	//aliexpress.ru/item/32963887332.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-1&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32813701746	Беспроводная оптическая мышь Bts 2,4G с 6 кнопками, геймерская мышь с USB Приемником, беспроводная мышь 1600DPI 10 м, игровая мышь, мышь для ноутбука, к...	4960 продано	244,73 - 263,55 руб.	//aliexpress.ru/item/32813701746.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-2&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001020216103	2,4 GHz Беспроводная игровая мышь USB приемник Pro Gamer портативный эргономичный компьютер бесшумный ПК настольный ноутбук аксессуары	1208 продано	136,49 - 203,16 руб.	//aliexpress.ru/item/4001020216103.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-3&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000960838201	Портативная беспроводная клавиатура и мышь 2,4 ГГц, набор милых разноцветных милых универсальных настольных ноутбуков для девочек, хороший ...	6 продано	3 040,23 руб.	//aliexpress.ru/item/4000960838201.html?s=p&ad_pvid=202009230132066016540470044420001977947_1&algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-4&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001149637252	Игровая мышь с 6 кнопками, эргономичная Проводная USB компьютерная мышь, геймерская мышь, бесшумная оптическая мышь Mause 4000DPI для ПК и ноутбука	506 продано	369,44 руб.	//aliexpress.ru/item/4001149637252.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-5&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000955935039	Светодиодный перезаряжаемый беспроводной бесшумный USB-мышь с подсветкой, эргономичная оптическая игровая мышь, мышь для настольного ПК, но...	1840 продано	158,45 руб.	//aliexpress.ru/item/4000955935039.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-6&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001256486000	Оптическая Беспроводная игровая мышь 1600DPI 2,4 ГГц с 6 клавишами, компьютерная игровая мышь, беспроводная USB-мышь с питанием от аккумулятора дл...	47 продано	155,31 - 229,04 руб.	//aliexpress.ru/item/4001256486000.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-7&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001019514931	Беспроводная мышь Bluetooth RGB перезаряжаемая мышь беспроводная компьютерная Бесшумная Mause светодиодный эргономичная игровая мышь с подсветко...	3331 продано	572,60 - 868,30 руб.	//aliexpress.ru/item/4001019514931.html?algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-8&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000691130187	Havit игровая клавиатура мышь комбинированная Радуга светодиодный с подсветкой 104 клавиши клавиатура, 3200DPI 6 кнопок мышь для Windows PC Gamer рабочего...	35 продано	1 975,84 - 3 952,45 руб.	//aliexpress.ru/item/4000691130187.html?s=p&ad_pvid=202009230132066016540470044420001977947_2&algo_pvid=4cfdb195-fad4-4c36-8140-f8fd6dda863e&algo_expid=4cfdb195-fad4-4c36-8140-f8fd6dda863e-9&btsid=0b0a187916008499266214349eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
