id	description	number_of_orders	price	url
4001146690908	Ноутбук AKPAD 15,6 дюйма N3050, четырехъядерный, 4 Гб ОЗУ 64 Гб eMMC 128 ГБ 256 ГБ SATA SSD светильник, тонкий ноутбук, офисный, учебный		23 614,28 - 27 228,66 руб.	//aliexpress.ru/item/4001146690908.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-0&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001308607129	15,6 дюймов 12G Оперативная память 1 ТБ 512 ГБ 256 ГБ 128 Гб SSD Встроенная память с подсветкой клавиатуры IPS 1920*1080 Экран ноутбук	96 продано	21 805,52 - 28 864,86 руб.	//aliexpress.ru/item/4001308607129.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-1&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001359557503	"CHUWI GemiBook 13 ""2K IPS экран LPDDR4X 12 Гб 256 ГБ SSD Intel Celeron Quad Core Windows 10 ноутбук с клавиатурой с подсветкой"	954 продано	27 452,21 - 28 550,33 руб.	//aliexpress.ru/item/4001359557503.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-2&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001241774485	"2020 хит продаж 14-дюймовый ноутбук с подсветкой и полной клавиатурой J3455/N3450 8 Гб Ноутбук 1080p HD 128G SSD 16:9 14 ""ноутбук ПК"	16 продано	25 832,48 руб.	//aliexpress.ru/item/4001241774485.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-3&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000344088128	Ноутбук 15,6 дюймов 8G Оперативная память 128G 256G 512G 1 ТБ SSD Встроенная память Тетрадь компьютер intel Core Quad Windows 10 и ультратонких ноутбуках, для студ...	813 продано	18 434,29 - 24 630,82 руб.	//aliexpress.ru/item/10000344088128.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-4&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000598196013	Портативный ноутбук J4105, 11,6-дюймовый мини-ноутбук 8 ГБ ОЗУ 60 Гб 128 ГБ 256 ГБ 512 Гб SSD, офисный ноутбук, студенческий обучающий мини-нетбук	36 продано	15 925,09 - 18 972,37 руб.	//aliexpress.ru/item/4000598196013.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-5&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001015796390	15,6-дюймовый студенческий ноутбук, 4 Гб ОЗУ 64 Гб ПЗУ, для Intel Celeron N3050, Windows 10, компьютер с Bluetooth камерой, для игрового нетбука	198 продано	23 275,43 - 26 985,50 руб.	//aliexpress.ru/item/4001015796390.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-6&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000985163704	CHUWI HeroBook Pro 14,1 дюймов 1920*1080 IPS экран Intel Gemini lake N4000 двухъядерный Windows 10 8 Гб RAM 256 ГБ SSD ноутбук	123 продано	20 874,47 - 22 498,12 руб.	//aliexpress.ru/item/4000985163704.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-7&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001424403027	14 дюймов 1080P ноутбук 4 Гб RAM 64 Гб EMMC Atom Z8350 четырехъядерный процессор Windows 10 система ноутбук компьютер (EU Plug)		12 202,46 руб.	//aliexpress.ru/item/1005001424403027.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-8&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000342152491	Core i7 ноутбук 15,6 inch 8G/16G DDR4 Оперативная память 128 г/256 г/512 г/1 ТБ SSD Тетрадь компьютер металлический корпус IPS ноутбук клавиатура с подсветкой игр...	373 продано	28 146,37 - 40 231,18 руб.	//aliexpress.ru/item/10000342152491.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-9&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000666477239	2020 Новое поступление CHUWI HeroBook Pro 14,1 дюймов 1920*1080 IPS экран Intel N4000 процессор DDR4 8 Гб 256 ГБ SSD Windows 10 ноутбук	2632 продано	23 306,02 - 25 099,09 руб.	//aliexpress.ru/item/4000666477239.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-10&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001273460868	"15,6 ""ультрабук быстрый процессор Intel 4 ядра 12 Гб RAM 128G SSD + 750G HDD клавиатура с подсветкой арабский AZERTY испанская Русская клавиатура"		24 547,68 - 32 077,64 руб.	//aliexpress.ru/item/4001273460868.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-11&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001395831870	H7 20GB DDR4 RAM 1 ТБ SSD ультрабук металлический компьютер с 2,4G/5,0G Bluetooth Ryzen R7 2700U windows 10 Pro Портативный игровой ноутбук		32 204,71 - 44 943,68 руб.	//aliexpress.ru/item/1005001395831870.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-12&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33055964209	"15,6 ""игровой ноутбук Windows 7 /10 8 Гб RAM 128 ГБ HDD DVD Быстрый ПК металлический бизнес студент арабский AZERTY испанская Русская клавиатура"		23 809,59 - 30 925,40 руб.	//aliexpress.ru/item/33055964209.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-13&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001154219193	"Новейший ноутбук Teclast F7S 14,1 ""1920x1080 IPS ноутбук 8 ГБ ОЗУ 128 Гб ПЗУ ноутбуки Windows 10 Intel Apollo Lake двойной Wifi Компьютер"	778 продано	19 290,83 руб.	//aliexpress.ru/item/4001154219193.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-14&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000328130577	Ноутбук 15,6 дюйма, 8 ГБ ОЗУ 128 ГБ/256 ГБ/512 ГБ/1 ТБ M2 SSD ПЗУ, студенческий игровой офисный компьютер с клавиатурой с подсветкой 1920*1080, Windows 10	13 продано	20 320,70 - 29 419,41 руб.	//aliexpress.ru/item/10000328130577.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-15&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001268685843	Machenike T90 новейший игровой ноутбук i7 10750H GTX1650 компьютерные ноутбуки 16 Гб RAM 512G SSD 1T HDD 15,6 ''6 мм Border IPS ноутбук	69 продано	68 314,01 - 77 873,14 руб.	//aliexpress.ru/item/4001268685843.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-16&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32839694438	Электронная книга, Ультратонкий алюминиевый ноутбук 14 дюймов 8 ГБ DDR3 64 Гб SSD бизнес-ноутбук WINDOWS 10 Wifi камера intel HD ультрабук	1 продано	21 670,61 руб.	//aliexpress.ru/item/32839694438.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-17&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32757799577	2020 Новый дешевый ультрабук windows 10 Z8300 Четырехъядерный 4 ГБ ОЗУ 64 Гб ПЗУ 14,1 дюймов windows ноутбук планшет школьный компьютер ПК		14 259,87 руб.	//aliexpress.ru/item/32757799577.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-18&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32951183090	11,6 дюймовый ноутбук pc 8 ГБ, 64 ГБ, офисах на компьютерных столах и Bluetooth на базе Windows 10		15 767,43 руб.	//aliexpress.ru/item/32951183090.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-19&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001207655091	Teclast F7 Plus ноутбук 14,1 дюймов 8 Гб 256 ГБ SSD Intel Celeron N4100 Windows 10 1920*1080 WIFI узкая рамка ноутбук с подсветкой		25 437,16 руб.	//aliexpress.ru/item/4001207655091.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-20&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001031191552	15,6-дюймовый студенческий ноутбук 8 ГБ ОЗУ 64 Гб 128 ГБ 256 ГБ 512 ГБ 1T SSD ноутбук J3455 четырехъядерный ультрабук с веб-камерой Bluetooth WiFi		16 958,11 - 23 091,89 руб.	//aliexpress.ru/item/4001031191552.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-21&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000033673478	CHUWI LapBook Pro 14,1 дюймов 1920*1080 Intel Gemini-Lake N4100 четырехъядерный процессор 8 Гб 256 Гб Windows ноутбук клавиатура с подсветкой двухдиапазонный Wifi	122 продано	27 177,68 - 28 312,66 руб.	//aliexpress.ru/item/4000033673478.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-22&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000549100005	Intel i7 6500U 14 дюймов Win10 ноутбук N145 ноутбук 8 Гб RAM 128G/256G/512G SSD сканер отпечатков пальцев компьютер HDMI Type-C	14 продано	23 353,87 - 40 457,08 руб.	//aliexpress.ru/item/4000549100005.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-23&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001027074606	Celeron J4105 15,6 дюйма Windows 10 Pro 1920*1080 металлическая стеклянная панель для ноутбука 8 Гб Оперативная память 128 Гб/256 ГБ/512 ГБ/1 ТБ HDMI Тетрадь	33 продано	35 758,69 - 46 474,77 руб.	//aliexpress.ru/item/4001027074606.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-24&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001192765090	Machenike F117-FPS RTX2070 супер игровой ноутбук 2020 i7 10875H 32G 1TSSD 2THDD 17,3 ''144 Гц механическая клавиатура RGB Face ID WiFi6	2 продано	179 807,64 - 202 293,21 руб.	//aliexpress.ru/item/4001192765090.html?algo_pvid=6cb0a377-9ca2-4031-841e-d90656479ff2&algo_expid=6cb0a377-9ca2-4031-841e-d90656479ff2-25&btsid=0b0a119a16008409797861727eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
