id	description	number_of_orders	price	url
33038751793	Верхняя роликовая Шестерня 6LA84182000 для TOSHIBA E-Studio 163 182 212 242 195 223 225 243 245 202L 203L 232 282 233 283 230 280		105,90 руб.	//aliexpress.ru/item/33038751793.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-0&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32868956765	Нить для 3D-принтера dikale, пла-нить для 3D-принтера диаметром 3 м x 1, 75 мм	132 продано	89,42 руб.	//aliexpress.ru/item/32868956765.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-2&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001164054746	1 шт., гибкий мини-вентилятор USB для охлаждения ноутбуков, настольных ПК, портативный вентилятор с низким уровнем шума и гибким гусиным ворот...	49 продано	107,46 - 161,59 руб.	//aliexpress.ru/item/4001164054746.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-3&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001050355217	Ламинатор для документов A4, ламинатор для фотостудии, блистерной упаковки, рулон пластиковой пленки	56 продано	1 855,04 руб.	//aliexpress.ru/item/4001050355217.html?s=p&ad_pvid=202009222159386373250636056680001606958_1&algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-4&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001265723188	USB 2,0 KVM переключатель для клавиатуры, мыши, сканера, принтера, монитора, 2 шт., обмен 4 устройствами, usb-переключатель KVM, концентратор	5 продано	251,79 - 970,27 руб.	//aliexpress.ru/item/4001265723188.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-5&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001042681659	Высококачественный ручной измельчитель бумаги А4, файл для документов ручной работы, прямая режущая машина для офисных файлов и документов ...	7 продано	543,57 - 1 367,16 руб.	//aliexpress.ru/item/4001042681659.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-6&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000903586958	Черный тонер-порошок ASW 500 г, совместимый с Brother TN1000 TN1050 TN1030 TN1060 TN1070 tone 1112 1202R		1 186,76 - 2 164,08 руб.	//aliexpress.ru/item/4000903586958.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-7&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32987698127	10 метров PLA 1,75 мм нить, материалы для печати, пластик для 3D-принтера, экструдер, аксессуары для ручек, черный, белый, красный, цветная Радуга	1106 продано	93,35 - 120,01 руб.	//aliexpress.ru/item/32987698127.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-8&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000348129075	Yidimu прототип SLA/ЖК-дисплей/DLP Смола 3D-принтеры большой 10,1 дюймов принтеры 405nm матрица УФ машина impressora	24 продано	78 140,61 - 102 554,16 руб.	//aliexpress.ru/item/4000348129075.html?s=p&ad_pvid=202009222159386373250636056680001606958_2&algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-9&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001289459349	Гибкий USB кулер горячая Распродажа модный гибкий USB мини вентилятор портативный Съемный охлаждающий вентилятор для ПК ноутбука внешний акк...		99,62 - 102,76 руб.	//aliexpress.ru/item/4001289459349.html?algo_pvid=7e999a53-502a-465a-bcc7-8ff145e8b6b6&algo_expid=7e999a53-502a-465a-bcc7-8ff145e8b6b6-10&btsid=0b0a119a16008371784633825eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
