id	description	number_of_orders	price	url
4000465904819	Мягкая нейлоновая щетка для очистки пыли для клавиатуры сотового телефона для печатной платы планшета	27 продано	149,04 руб.	//aliexpress.ru/item/4000465904819.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-0&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001215491519	Мини USB Ручной пылесос для клавиатуры многоцветный высокоэффективный компьютерный пылесос Многофункциональный компьютерный пылесос		162,37 руб.	//aliexpress.ru/item/4001215491519.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-1&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001350052329	5 шт. 120 мм термостойкий черный ПВХ ПК пылезащитный чехол-пылезащитный Защитный чехол для компьютера		100,40 руб.	//aliexpress.ru/item/1005001350052329.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-2&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001245439189	Многоразовая гелевая губка для чистки автомобиля, артефакт, Чистка автомобиля, с клавиатурой и дисплеем		174,92 руб.	//aliexpress.ru/item/4001245439189.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-3&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000196792576	10 шт 50 мл многоразовая дорожная бутылка с брелоком, откидная крышка прозрачный пластиковый пустой контейнер для спиртовой антисептик для р...	469 продано	621,23 - 665,94 руб.	//aliexpress.ru/item/10000196792576.html?s=p&ad_pvid=202009230521303241441690132400000375730_1&algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-4&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001346378415	Автомобильный очиститель для клавиатуры, клей, гелевая внутренняя панель, вентиляционное отверстие, чистящий инструмент для удаления гряз...		58,83 - 137,27 руб.	//aliexpress.ru/item/1005001346378415.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-5&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001170889045	4 в 1 Магическая Компьютерная камера для ноутбука ЖК-СВЕТОДИОДНЫЙ монитор для чистки телевизора плазменный экран чистящая ткань наборы кист...	20 продано	101,19 - 254,14 руб.	//aliexpress.ru/item/4001170889045.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-6&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001176525715	Домашняя Чистка офиса Чистка артефакт удаление пыли клей удобная чистка гель многоразовая клавиатура дисплей Чистка TXTB1	258 продано	103,54 - 192,18 руб.	//aliexpress.ru/item/4001176525715.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-7&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001193797315	1 шт., usb-очиститель для клавиатуры, мини-компьютер, вакуумная USB клавиатура, щетка для компьютера, набор для вакуумной очистки, инструмент для...	294 продано	88,64 - 215,71 руб.	//aliexpress.ru/item/4001193797315.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-8&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001283014835	Чехол для защиты от пыли для компьютера, чехол-сетка из ПВХ для защиты колонок, вентиляторов, кулер, чехол для защиты корпуса от пыли, чехол-с...	36 продано	187,47 руб.	//aliexpress.ru/item/4001283014835.html?s=p&ad_pvid=202009230521303241441690132400000375730_2&algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-9&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000785783462	Жесткий диск USB 3,0 SATA 3,0 HDD, корпус для внешнего жесткого диска, инструмент, 6 Гбит/с, поддержка 3 ТБ, протокол UASP	69 продано	181,98 - 575,73 руб.	//aliexpress.ru/item/4000785783462.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-10&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001268147599	Мини портативный очиститель для клавиатуры USB ноутбук компьютерная клавиатура пылесос щетка для очистки пыли предназначена для очистки ко...	102 продано	92,56 - 176,49 руб.	//aliexpress.ru/item/4001268147599.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-11&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000401963074	Портативный мини USB Ручной пылесос для ПК, оборудование для очистки клавиатуры, Usb пылесос, Прямая поставка	157 продано	83,93 - 158,45 руб.	//aliexpress.ru/item/4000401963074.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-12&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001243589540	1 комплект, портативное устройство для очистки экрана из микрофибры, устройство для очистки, спрей, портативные волшебные очки для телевизо...	188 продано	283,16 - 287,87 руб.	//aliexpress.ru/item/4001243589540.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-13&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001267852162	Мини-пылесос Keyborad, USB Ручной пылесос с клавиатурой, портативный компьютерный очиститель клавиатуры, набор инструментов для очистки	34 продано	92,56 - 174,92 руб.	//aliexpress.ru/item/4001267852162.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-15&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000991302964	2020 Горячая продажа мини USB ручная Клавиатура Пылесос портативный ноутбук компьютерная клавиатура пылесос пыль Чистка черный	145 продано	121,58 - 201,59 руб.	//aliexpress.ru/item/4000991302964.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-16&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001021983228	USB-очиститель для клавиатуры, 1 шт., очиститель для ноутбука, компьютера, набор для вакуумной очистки, инструмент для удаления пыли, щетка для ...	73 продано	80,01 - 244,73 руб.	//aliexpress.ru/item/4001021983228.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-17&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001238396691	Новейший 2 в 1 очиститель экрана телефона спрей компьютер мобильный телефон инструмент для удаления пыли микрофибра ткань Набор для очистки...	113 продано	90,21 - 248,65 руб.	//aliexpress.ru/item/4001238396691.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-18&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001391693092	2020 120 мм пылезащитный чехол для компьютера охлаждающий вентилятор пылезащитный фильтр сетчатый предохранитель чехол		10,99 руб.	//aliexpress.ru/item/1005001391693092.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-20&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000127857722	Новинка, модный мини USB пылесос для клавиатуры, ПК ЩЕТКА для ноутбука, набор для очистки пыли для ноутбуков, настольных компьютеров, клавиату...	1642 продано	163,15 руб.	//aliexpress.ru/item/4000127857722.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-21&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001325765641	Волшебный гель для очистки экрана очиститель для клавиатуры чистящий грязевой коврик для ноутбука чистящий инструмент для компьютера клей...		120,01 - 268,26 руб.	//aliexpress.ru/item/1005001325765641.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-22&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000946580025	Balisong-бабочка, нож для тренера, тренировочный инструмент, черный металл, тренировка 2020	167 продано	121,58 руб.	//aliexpress.ru/item/4000946580025.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-23&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001179246942	Щетка для чистки клавиатуры ПК, ноутбук, компьютер, щетка для очистки 2 в 1, очиститель углов для туалета, кухонные чистящие бытовые инструмен...		260,42 - 563,97 руб.	//aliexpress.ru/item/4001179246942.html?s=p&ad_pvid=202009230521303241441690132400000375730_5&algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-24&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000012743718	1 шт. клавиатура clea мини USBComputer пылесос щетка ПК ноутбук cleane Набор для очистки пыли инструмент для очистки дома	29 продано	84,72 - 200,02 руб.	//aliexpress.ru/item/4000012743718.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-26&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310006571	Универсальный чистящий клей для очистки пыли липкий гель-клавиатура протрите смесь губка для ноутбука продукт инструмент для домашней очи...		25,10 руб.	//aliexpress.ru/item/1005001310006571.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-27&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001308932030	Высокая четкость Сенсорная панель защитная пленка наклейка протектор для ноутбука		51,77 - 58,83 руб.	//aliexpress.ru/item/1005001308932030.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-28&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001414705713	Gtx1050Ti 4G Ddr5 128Bit компьютерная игровая видеокарта Geforce 4Gb Ddr5 128Bit Hdmi Directx 12 видеокарта		2 608,04 - 4 395,62 руб.	//aliexpress.ru/item/1005001414705713.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-30&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001351833063	Чехол для компьютера 500x400x 3/5 мм, сетчатый фильтр для ПК, вентилятор, кулер, пылезащитный чехол, губка		82,36 - 131,78 руб.	//aliexpress.ru/item/4001351833063.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-31&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001018229313	Очиститель воздуха автомобильный ионизатор очиститель озона кислородный бар очиститель воздуха свежая Авто зажигалка мощность 12 в мини ав...	23 продано	140,41 руб.	//aliexpress.ru/item/4001018229313.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-32&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001271245128	Мини-пылесос USB для салона автомобиля, вентиляционное отверстие, щетка для чистки инструментов, набор для ПК, ноутбука, клавиатуры, пылесбор...		85,50 - 259,63 руб.	//aliexpress.ru/item/1005001271245128.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-33&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001469860469	Alldocube 6,98 дюйма 2 гб озу + 16 гб пзу четырехъядерный процессор IPS высокой четкости Sn IPlay 7T планшет Android 9,0 2 миллиона пикселей камера		4 562,69 руб.	//aliexpress.ru/item/1005001469860469.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-36&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000344819166	Палка для очистки IQOS, ватные тампоны для влажного спирта с двойной головкой 2,4 PLUS и IQOS 3,0 80 шт., LIL/LTN/HEETS/GLO для IQOS	554 продано	312,97 руб.	//aliexpress.ru/item/4000344819166.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-37&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001094030065	DC 3v-6v до 400kV 400000V Повышающий Модуль питания высоковольтный генератор		206,29 руб.	//aliexpress.ru/item/4001094030065.html?s=p&ad_pvid=202009230521303241441690132400000375730_8&algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-39&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000001956437	Универсальный мини-пылесос USB для компьютеров, ноутбуков, клавиатуры, 6 цветов, 1 шт.	34 продано	98,05 - 214,92 руб.	//aliexpress.ru/item/4000001956437.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-40&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001270416855	4 в 1 Набор для очистки ЖК-экрана для компьютера, телевизора, мобильный телефон, камера для ноутбука, новейшая очистка экрана, набор партнеров	68 продано	135,70 - 269,04 руб.	//aliexpress.ru/item/4001270416855.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-41&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000849394911	Сменный охлаждающий вентилятор для процессора, Смазывающий масляный синтетический лубрикант для компьютерного вентилятора типа шприца	3 продано	80,01 - 168,64 руб.	//aliexpress.ru/item/4000849394911.html?algo_pvid=bef261bf-3109-4fe5-abbd-38e00e6b048e&algo_expid=bef261bf-3109-4fe5-abbd-38e00e6b048e-42&btsid=0b8b036a16008636899407221efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
