id	description	number_of_orders	price	url
1005001333015634	2020 супер закаленное 10 дюймовый планшет Octa Core Android 9 Pie 4 Гб Оперативная память 64 Гб Встроенная память 5.0MP Камера, 4G, FDD, LTE, 5G Wi-Fi роутер для Медиа ...	218 продано	6 998,95 - 8 297,87 руб.	//aliexpress.ru/item/1005001333015634.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-0&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001066852769	2020 Новый 10-дюймовый планшетный ПК Octa Core Android 9,0 OS с двумя сим-картами WI-FI GPS Глобальный планшеты 10,1 64 Гб Встроенная память GPS 10 дюймов Планшеты	274 продано	6 823,25 - 8 195,90 руб.	//aliexpress.ru/item/4001066852769.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-1&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001354192131	4 ГБ Android 4,4 Wi-Fi планшетный ПК красивые 7 дюймов пятиточечный мультитач Дисплей-специальное детское издание	49 продано	2 082,51 - 2 474,70 руб.	//aliexpress.ru/item/1005001354192131.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-2&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001042469114	Новый планшетный ПК 10,1 дюймов Android 9,0 планшеты Восьмиядерный Google Play 3g 4g LTE телефонный звонок GPS WiFi Bluetooth закаленное стекло 10 дюймов	1275 продано	6 708,73 - 7 774,69 руб.	//aliexpress.ru/item/4001042469114.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-3&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001138441589	Ветвью ALLDOCUBE и iPlay20 10,1 дюймов Android 10 планшет 4 Гб Оперативная память 64 Гб Встроенная память SC9863A Планшеты ПК 1920 * 1200IPS iplay 20	593 продано	9 967,01 - 10 678,43 руб.	//aliexpress.ru/item/4001138441589.html?s=p&ad_pvid=202009222319506866076600353740001828363_1&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-4&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000820283245	Perkbox M10 планшет 10 дюймов Восьмиядерный 6 Гб RAM 64 Гб ROM память 1280x800 IPS 4G FDD LTE телефон WiFi Bluetooth планшет 10,1	69 продано	8 799,86 - 10 399,98 руб.	//aliexpress.ru/item/4000820283245.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-5&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001179998753	Планшеты 10,1 дюйма с 4G LTE, Android 9,0, Восьмиядерный планшетный ПК, бренд CE, Google Play, две SIM-карты, GPS, Wi-Fi, Bluetooth, Новое поступление 2020	167 продано	6 459,30 - 7 358,19 руб.	//aliexpress.ru/item/4001179998753.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-6&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000725691544	Планшеты Новые 10,1 дюймов планшетный ПК с системой андроида и 9,0 Octa Core 3G/4G Телефонный звонок 6 ГБ/64 Гб Встроенная память Bluetooth 4,0 Wi-Fi 2.5D Сталь Экр...	55 продано	6 351,06 - 6 925,22 руб.	//aliexpress.ru/item/4000725691544.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-7&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001309636360	Планшетный ПК 10 дюймов HD Дисплей Android Телефонный звонок Планшеты с двумя сим-картами со съемной-клавиатура черная штепсельная вилка европей...		4 154,82 руб.	//aliexpress.ru/item/1005001309636360.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-8&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000829838234	Alldocube KNote X Pro планшет с 13,3-дюймовым дисплеем, четырёхъядерным процессором Gemini lake N4100, ОЗУ 8 Гб, ПЗУ 128 ГБ, 2560 X 1440IPS	31 продано	28 236,58 - 31 766,25 руб.	//aliexpress.ru/item/4000829838234.html?s=p&ad_pvid=202009222319506866076600353740001828363_2&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-9&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32979401894	Летняя распродажа двойной Системы 10,1 дюймовый 2Гб DDR3 + 64 Гб памяти на носителе eMMC Android 5,1 + Windows 10 Домашняя 64-разрядная Операционная HDMI	8 продано	11 059,64 - 11 624,38 руб.	//aliexpress.ru/item/32979401894.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-10&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001344414243	2020 новый планшетный ПК с системой андроида ПК Andorid8.1 Восьмиядерный 10,1 дюймов планшет core 6 ГБ Оперативная память 128 Гб Встроенная память WI-FI зе...	37 продано	7 004,44 руб.	//aliexpress.ru/item/1005001344414243.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-11&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001290936197	10,1 дюймов планшет для детей 2.5D Sn Android Quad Core Dual Камера Wi-Fi игра для обучения, подарок для мальчиков и девочек, черная вилка американского станд...		5 008,21 руб.	//aliexpress.ru/item/1005001290936197.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-12&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001387263318	2021 Новые поступления 10,1 дюймов 6G + 128GB планшетный ПК Android 9,0 большой экран 4G LTE телефонный звонок Bluetooth GPS планшеты с поддержкой зума		7 059,34 руб.	//aliexpress.ru/item/1005001387263318.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-13&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001227459725	Alldocube X Neo Snapdragon 660, 4 Гб ОЗУ 64 Гб ПЗУ, 10,5 дюймов, Super Amoled, Android 9,0, двойной 4G LTE планшет	192 продано	19 005,31 - 20 981,93 руб.	//aliexpress.ru/item/4001227459725.html?s=p&ad_pvid=202009222319506866076600353740001828363_3&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-14&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001014597557	HD планшетный ПК 16G, двойная камера, GPS, моноблок, мобильный телефон, беспроводной, bluetooth, звонок, MP3, видео плеер, MP4, android 9,0, звуковой компьютер	9 продано	6 195,75 руб.	//aliexpress.ru/item/4001014597557.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-15&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000244289163	"Новый оригинальный Apple iPad 2019 7-го поколения 10,2 ""Retina дисплей Поддержка Apple карандаш и смарт-клавиатура IOS планшет Bluetooth"	34 продано	10 902,76 - 68 946,22 руб.	//aliexpress.ru/item/4000244289163.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-16&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000098061005	10,1-дюймовый планшет с восьмиядерным процессором, ОЗУ 6 ГБ, ПЗУ 64 ГБ, Android 7,0, Wi-Fi, 3G/4G	261 продано	6 346,35 - 6 768,34 руб.	//aliexpress.ru/item/4000098061005.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-17&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001045127838	Новый оригинальный 10,1-дюймовый ноутбук, четырёхъядерный Android ноутбук, планшет, ноутбук Android 6,0 Allwinner 1,5 ГГц WiFi Bluetooth мини нетбук	7 продано	7 088,37 руб.	//aliexpress.ru/item/4001045127838.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-18&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000919545943	ALLDOCUBE M5XS планшет с 10,1-дюймовым дисплеем, 10-ядерным процессором Google Play, ОЗУ 3 ГБ, ПЗУ 32 ГБ, 2,4G +, Wi-Fi	39 продано	9 215,58 - 10 775,69 руб.	//aliexpress.ru/item/4000919545943.html?s=p&ad_pvid=202009222319506866076600353740001828363_4&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-19&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001389123714	G701 10,1-дюймовый популярный планшетный ПК		7 176,22 руб.	//aliexpress.ru/item/1005001389123714.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-20&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000193674517	"Teclast P20HD 10,1 ""Android 10 планшет 1920x1200 SC9863A Восьмиядерный 4 Гб RAM 64 Гб ROM 4G сеть AI высокоскоростные планшеты ПК двойной Wifi"	1928 продано	9 788,17 - 10 014,07 руб.	//aliexpress.ru/item/4000193674517.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-21&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001220656280	Нетбук, новый 10,1-дюймовый Hd легкий и ультратонкий 4 Гб + 64 Гб ноутбук Lapbook Intel N3350 64-битный четырехъядерный нетбук 2020		10 999,24 - 11 940,48 руб.	//aliexpress.ru/item/4001220656280.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-22&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001299119465	2020 новый 10 дюймов 6G + 128GB Android 9,0 двойная карта Двойная камера задняя WiFi вызов мобильный телефон планшет дети планшет подарок планшет		7 027,97 руб.	//aliexpress.ru/item/4001299119465.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-23&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001319935027	WeCool A61 Детский планшетный ПК 7 дюймов Android планшет четырехъядерный 8 ГБ 1024x600 экран детские образовательные игры Xmax подарок на день рождения р...		3 881,86 руб.	//aliexpress.ru/item/1005001319935027.html?s=p&ad_pvid=202009222319506866076600353740001828363_5&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-24&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000908403442	Планшет с клавиатурой, 11,6 дюйма, android, планшет 2 в 1, 10 ядер, игровая пленка, музыкальные планшеты, gps, Wi-Fi, 4G, sim-карта, телефонные звонки	145 продано	12 746,03 - 21 322,35 руб.	//aliexpress.ru/item/4000908403442.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-25&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001272932887	Горячая Распродажа, 10,1 дюйма десять ядер, 6 ГБ + 128 Гб, Android 9,0, WiFi планшеты, две SIM-карты, двойная камера, 8,0 МП, IPS, Bluetooth, 4G, WiFi планшеты	143 продано	7 027,97 руб.	//aliexpress.ru/item/4001272932887.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-26&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001359505142	CHUWI HiPad X 10,1 дюймов Android 10 планшетный ПК Helio MT6771 Восьмиядерный LPDDR4X 6 ГБ 128 ГБ UFS 2,1 планшет 4G LTE GPS		16 471,01 - 20 588,96 руб.	//aliexpress.ru/item/4001359505142.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-27&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001063560209	Горячее предложение ультра тонкий планшетный ПК 10 дюймов Octa Core 6 ГБ Оперативная память 32GB Встроенная память 2.5D закаленное Стекло 5,0 м Камера ...	334 продано	7 224,85 - 8 330,81 руб.	//aliexpress.ru/item/4001063560209.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-28&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001369828641	2020 игровой планшет 10,1 дюймов Стекло тела 4G телефон, планшет на OC android Dual usb слот Поддержка геймпад 13MP Камера 8-ядерный 4 Гб Оперативная память		10 196,04 - 15 529,77 руб.	//aliexpress.ru/item/1005001369828641.html?s=p&ad_pvid=202009222319506866076600353740001828363_6&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-29&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001364356175	Новинка 2020, Google Play, Android 8,0, OS, 10,1 дюймов, планшет, Восьмиядерный, 6 ГБ ОЗУ 128 Гб ПЗУ, 2.5D стекло, WIFI, планшеты, две sim-карты, 3G, 4GLTE		6 918,16 руб.	//aliexpress.ru/item/1005001364356175.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-30&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000349193694	Teclast M16 11,6-дюймовый Android-Планшет Helio X27, десятиядерный, 4 Гб ОЗУ, 128 Гб ПЗУ, 4G, сетевые планшеты, ПК, 8,0 МП, док-станция Type-C HDMI, 7500 мАч	333 продано	13 594,72 - 15 294,46 руб.	//aliexpress.ru/item/4000349193694.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-31&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32935087159	10,1 дюймов ноутбук 1280*800 WIN10 1068 Нетбуки Intel Z8350 / N3350 двухъядерный планшетный ПК 2 ГБ 32 ГБ/4 ГБ, 64 ГБ, BT HDMI Тетрадь компьютер	22 продано	10 792,17 руб.	//aliexpress.ru/item/32935087159.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-32&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001354763170	2020 Новая глобальная версия 10-дюймовый четырехъядерный планшет ПК 6G + 128 Гб Встроенная память Закаленное HD Экран WI-FI GPS Netfilx Google бледный		7 027,97 руб.	//aliexpress.ru/item/4001354763170.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-33&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001034341213	2020 глобальная версия 4G телефонный планшет 10,1 дюйма 2.5d стекло планшетный ПК 8-ядерный 4 Гб Оперативная память планшетный ПК с системой андрои...	15 продано	9 477,56 - 13 511,58 руб.	//aliexpress.ru/item/4001034341213.html?s=p&ad_pvid=202009222319506866076600353740001828363_7&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-34&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000619318391	Планшеты Новый 2.5D Сталь Экран 10,1 inch планшет 3G/4g Телефонный звонок Android 9,0 Octa Core 6 Гб 64 Гб Встроенная память Bluetooth 4,0 Wi-Fi планшетный ПК	122 продано	6 474,20 - 7 070,33 руб.	//aliexpress.ru/item/4000619318391.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-35&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001313864648	Новые детские Планшеты 10,1 дюймов 3G Телефонный звонок Android 6,0 4 ядра 2 ГБ + 16 Гб планшет 4 ядра двойной Камера, подарки для мальчиков и девочек, шт...		4 492,88 руб.	//aliexpress.ru/item/1005001313864648.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-36&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000785799811	Детский планшет Veidoo, 10,1 дюйма, Android, планшетный ПК для детей, с Wi-Fi, четырехъядерным ядром, контролем родителей, IPS экраном, защитой глаз	3 продано	6 971,49 руб.	//aliexpress.ru/item/4000785799811.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-37&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001293578385	Новейший планшетный ПК 10 дюймов Android 9,0 Google Play 4G L телефонные звонки планшеты WiFi Bluetooth GPS 2.5D Закаленное стекло 10-дюймовый планшет		6 303,21 - 6 867,96 руб.	//aliexpress.ru/item/1005001293578385.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-38&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001291034310	Teclast P20HD 10,1-дюймовый планшет на Android 10,0, ОЗУ 4 Гб, ПЗУ 64 ГБ, 1920 × 1200, 6000 мАч	15 продано	10 196,04 - 11 764,79 руб.	//aliexpress.ru/item/4001291034310.html?s=p&ad_pvid=202009222319506866076600353740001828363_8&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-39&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001043399927	Планшет с 10-дюймовым дисплеем, четырёхъядерным процессором, ОЗУ 2 Гб, ПЗУ 32 ГБ, 1280x800, 3G, Android 9,0	209 продано	6 286,74 - 7 648,41 руб.	//aliexpress.ru/item/4001043399927.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-40&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001364365103	Планшет 2020, 2.5D экран, 10,1, планшет Mutlti Touch, Android 8,0, Восьмиядерный, ОЗУ 6 Гб ПЗУ, 128 ГБ, камера, Wifi, 10,1 дюймов, планшет, 4G FDD	7 продано	6 967,57 руб.	//aliexpress.ru/item/1005001364365103.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-41&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001113250426	Быстро Octa Core Процессор, 10 дюймов, планшет, 4 Гб Оперативная память 32GB Встроенная память, 1280*800 IPS Дисплей, Android 9 Pie, 5.0MP камерами Wi-Fi, 5000 мА/ч, Батар...	4 продано	7 378,58 - 8 915,95 руб.	//aliexpress.ru/item/4001113250426.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-42&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001062439052	10-дюймовый планшет с четырёхъядерным процессором Google Market Play, ОЗУ 32 ГБ, ПЗУ 32 ГБ, 4G, двумя слотами для sim-карт	2 продано	8 160,60 - 8 814,77 руб.	//aliexpress.ru/item/4001062439052.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-43&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001443394757	WeCool Q738 7 дюймов Android 9,0 1 ГБ/16 ГБ A50 чип Дети планшетный ПК с родителей контроль приложение и Дети Обучающие игры планшеты		4 940,76 руб.	//aliexpress.ru/item/1005001443394757.html?s=p&ad_pvid=202009222319506866076600353740001828363_9&algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-44&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001076140037	Оригинальный 10-дюймовый планшет Google 3G, Android 9,0, две SIM-карты, Wi-Fi, GPS 10,1, 2.5D стальной экран, бесплатные подарки	1 продано	6 339,29 - 8 912,03 руб.	//aliexpress.ru/item/4001076140037.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-45&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001464094835	2021 новейший планшет 10,1 дюймов 6 ГБ + 128 Гб большой памятью 4G планшета звонка Wifi Full Экран Android с 10-ядерный 4G Две сим-карты.		7 177 руб.	//aliexpress.ru/item/1005001464094835.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-46&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000966369502	ANRY планшетный ПК 11,6 дюймов Deca Core 4 + 128 Гб MTK6797T X25 8000 мАч Android 8,1 двойной Wifi IPS 1920*1080 13MP 4G Телефонный звонок планшет	9 продано	16 979,28 - 18 092,31 руб.	//aliexpress.ru/item/4000966369502.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-47&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000076441365	Новый 2 в 1 планшет ноутбук 11,6 дюймов k20 Android 10 core 4G LTE две sim-карты камера вызова 13,0 МП TYPE-C с клавиатуры для планшетов	6 продано	13 105,28 - 21 923,17 руб.	//aliexpress.ru/item/4000076441365.html?algo_pvid=2c69cbae-f511-4440-8d4b-ae6c8e33d427&algo_expid=2c69cbae-f511-4440-8d4b-ae6c8e33d427-48&btsid=0b0a119a16008419903198611eadee&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
