id	description	number_of_orders	price	url
32825110690	Новый оригинальный светодиодный драйвер T315HW07 V8 BD 31T14-D06	9 продано	876,15 руб.	//aliexpress.ru/item/32825110690.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-0&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001277322699	Windows 10 Pro key 64/32 bit все языки Бесплатная онлайн доставка Мгновенная доставка	1098 продано	296,50 руб.	//aliexpress.ru/item/1005001277322699.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-2&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000392246931	VFD инвертор 18.5KW 3 PH 380V вход и 3 PH 380V Выход SHZK ZK880 Векторный Преобразователь частоты управления для двигателя		24 321,78 руб.	//aliexpress.ru/item/10000392246931.html?s=p&ad_pvid=202009230408173983086615460040000196499_1&algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-4&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001100919260	ЖК-подсветка для LG Innotek, 42 дюйма, 7030pкг, 60ea, 74,42t23. 001-2-DS1, 60LED, 525 мм, 100% новый	10 продано	745,16 руб.	//aliexpress.ru/item/4001100919260.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-6&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32836053885	Seagate HDD PCB Логическая плата/100687658 REV C , 100687658 REV B / 1332 / ST3000DM001 , ST1000DM003 , ST2000DM001	191 продано	392,19 руб.	//aliexpress.ru/item/32836053885.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-8&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000993816127	Wecon новая модель PI HMI 7 дюймов с бесплатным программным обеспечением	134 продано	3 921,86 руб.	//aliexpress.ru/item/4000993816127.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-12&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000402508445	VFD инвертор 3 кВт 1 PH 220 В вход и 3 PH выход SHZK ZK880 Векторный Преобразователь частоты управления для двигателя		12 408,75 - 12 655,83 руб.	//aliexpress.ru/item/10000402508445.html?s=p&ad_pvid=202009230408173983086615460040000196499_3&algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-14&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32811743279	HDD PCB/логическая плата Seagate/100532367 REV A , 100532367 REV B , 100532367 REV C / 2364 , ST3160318AS , ST3500418AS	71 продано	392,19 руб.	//aliexpress.ru/item/32811743279.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-15&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000391786266	VFD инвертор 3 кВт 3 PH 380 В вход и 3 PH 380 В выход SHZK ZK880 Векторный Преобразователь частоты управления для двигателя		8 312,77 руб.	//aliexpress.ru/item/10000391786266.html?s=p&ad_pvid=202009230408173983086615460040000196499_4&algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-19&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32922610708	Жесткая печатная плата драйвера Jia Yuan Sheng / 100725482 M8U_REV07 R00 / ST1000LM025, ST500LM012, ST1000LM024		1 255 руб.	//aliexpress.ru/item/32922610708.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-20&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32693547456	HENRYLIAN оригинальный 100% рабочий W2242TT C2242SP C222WT P-002H блок питания AIP-0172 W2242T пластина высокого давления	2 продано	1 053,42 руб.	//aliexpress.ru/item/32693547456.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-21&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000494251586	495 мм светодиодный газа 48 Светодиодный s для Hisense светодиодный 39K300J Haier LE39A720 LE39A700K V390HJ1-LE1 4A-D074762 V390HK1-LS5-TREM4 E117098	2 продано	622,80 - 25 366,56 руб.	//aliexpress.ru/item/4000494251586.html?algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-23&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000399551713	Мини VFD инвертор 0,75 кВт-3 кВт 1PH 220 В вход и 3 PH 220 В выход SHZK HS350 Векторный Преобразователь частоты управления для двигателя		4 195,61 - 6 743,24 руб.	//aliexpress.ru/item/10000399551713.html?s=p&ad_pvid=202009230408173983086615460040000196499_5&algo_pvid=e31abff2-a39c-4407-affb-b132de4d0a3c&algo_expid=e31abff2-a39c-4407-affb-b132de4d0a3c-24&btsid=0b8b036a16008592969786034efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
