id	description	number_of_orders	price	url
4001347484113	Microsoft офисные 365 Pro Plus 2019 пожизненную учетную запись 5 шт./5 Mac & 5 ТБ Быстрая доставка цифровом формате	16 продано	312,97 руб.	//aliexpress.ru/item/4001347484113.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-0&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001347428421	1 ключ для 1 Пользователя WINDOWS 10 Pro🔑Лицензионный ключ✔️ Быстрая доставка	23 продано	312,97 руб.	//aliexpress.ru/item/4001347428421.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-1&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001442555797	Windows 10 профессиональный ключ-цифровая Лицензия Microsoft 32/64 бит 2019 оригинальная Windows 10 pro	17 продано	282,38 руб.	//aliexpress.ru/item/1005001442555797.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-2&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001444153148	Google Drive неограниченное хранение с вашей личной Gmail для неограниченного времени 100% гарантия доставки-оригинальный продукт	8 продано	312,97 руб.	//aliexpress.ru/item/1005001444153148.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-3&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001337077158	Microsoft Office 365 Pro Plus 2019 пожизненная учетная запись 5 ПК/5 Mac и 5 ТБ Быстрая доставка гарантированный продукт!	195 продано	783,59 руб.	//aliexpress.ru/item/1005001337077158.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-4&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001347483117	Windows 10 Pro лицензионный ключ оригинальная WINDOWS 10 Pro цифровая доставка быстрая доставка	10 продано	312,97 руб.	//aliexpress.ru/item/4001347483117.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-5&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001365730278	Microsoft Office 2019 Pro Plus 2019 пожизненный ключ не аккаунт-активация телефона Быстрая доставка цифровая доставка-Личная электронная почта	3 продано	626,72 руб.	//aliexpress.ru/item/1005001365730278.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-6&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001438492851	Учетная запись Microsoft Office 365 5 PC-ТБ OneDrive Mail account (все языки, срок службы) xiaomi	27 продано	690,25 руб.	//aliexpress.ru/item/1005001438492851.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-7&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001337075218	Универсальный многоязычный ключ для активации Кода Windows 10 Pro 32/64 Bit	112 продано	626,72 руб.	//aliexpress.ru/item/1005001337075218.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-8&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001327703650	Microsoft Office 365 Pro Plus 2019 для вашего имени (NAMESURNAME@XXX.XXX) пожизненная учетная запись 5 Pc / 5 Mac и 5 ТБ Быстрая доставка	42 продано	1 018,90 руб.	//aliexpress.ru/item/1005001327703650.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-9&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001442520942	Microsoft Office 365 Account 5 device-5 TB OneDrive Mail Account (все языки, 1 год) xiaomi		392,19 руб.	//aliexpress.ru/item/1005001442520942.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-10&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001337002826	Учетная запись Office 365 Pro Plus на всех языках работает на 5 устройствах microsoft office 2019	23 продано	626,72 руб.	//aliexpress.ru/item/1005001337002826.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-11&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001324094648	Avast Премиум безопасность 2020 антивирусный ПК пожизненный лицензионный ключ	12 продано	1 567,96 руб.	//aliexpress.ru/item/1005001324094648.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-12&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001442662854	Microsoft Visio 2016 профессиональная цифровая лицензия		3 839,50 руб.	//aliexpress.ru/item/1005001442662854.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-13&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001172462241	Новый Серверный корпус NAS 4 Bays с горячей заменой, 200 Вт 80PLUS, улучшенный источник питания, 2020		8 000,59 руб.	//aliexpress.ru/item/4001172462241.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-14&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001357183201	Лицензионный ключ Microsoft Visio 2019	1 продано	3 921,86 руб.	//aliexpress.ru/item/1005001357183201.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-15&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001347255451	Avast Premium Security 2020 Быстрая доставка 2 года + Avast Cleanup		1 960,93 руб.	//aliexpress.ru/item/4001347255451.html?algo_pvid=edc5ca6a-9a0e-4462-a513-393f5b215662&algo_expid=edc5ca6a-9a0e-4462-a513-393f5b215662-16&btsid=0b8b036a16008623584438011efa67&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
