id	description	number_of_orders	price	url
1005001375803205	2-разрядный ПК Компьютер Материнская плата печатная плата для отладки открытка анализатор PCI тестер материнской платы диагностики Дисплей ...		88,64 - 135,70 руб.	//aliexpress.ru/item/1005001375803205.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-0&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000414075718	USB Bluetooth адаптеры BT 5,0 USB беспроводной компьютерный адаптер аудио приемник передатчик Dongles наушники для ноутбука BLE Mini Sender	15498 продано	212,57 - 230,61 руб.	//aliexpress.ru/item/4000414075718.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-1&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32686102148	Беспроводной usb-адаптер Bluetooth 5,0 для компьютера Bluetooth Dongle USB Bluetooth 4,0 ПК адаптер Bluetooth приемник передатчик	16458 продано	192,96 - 698,10 руб.	//aliexpress.ru/item/32686102148.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-2&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000543962520	USB Bluetooth 5,0 адаптер Bluetooth ключ 5,0 передатчик Bluetooth приемник Мини аудио адаптер для компьютера ПК Ноутбук Музыка	7614 продано	174,14 - 258,85 руб.	//aliexpress.ru/item/4000543962520.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-3&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1679510370	2020 Горячая распродажа! VONTES VAP11N 300 Мбит/с, мини беспроводной мост-ретранслятор, точка доступа	27 продано	1 331,87 руб.	//aliexpress.ru/item/1679510370.html?s=p&ad_pvid=202009230101433253150433709800002013541_1&algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-4&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000035968301	USB Bluetooth 5,0 передатчик приемник 3 в 1 адаптер EDR Dongle 3,5 мм AUX для ТВ, ПК, наушников, дома, стерео, Hi-Fi аудио	7701 продано	230,61 - 317,68 руб.	//aliexpress.ru/item/4000035968301.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-5&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001080327209	Тестер телефонных кабелей с дисплеем, оптоволоконный инструмент для проверки DTMF Определитель вызова автоматическая машина обнаружения	5 продано	608,68 - 1 049,49 руб.	//aliexpress.ru/item/4001080327209.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-6&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000615613730	USB Bluetooth 5,0 Bluetooth адаптер приемник беспроводной Bluetooth Dongle 4,0 для ПК компьютера мини музыкальный bluetooth-передатчик	2265 продано	180,41 - 705,15 руб.	//aliexpress.ru/item/4000615613730.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-7&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001414673414	USB Bluetooth 5,0 адаптер беспроводной стерео приемник аудио для ПК ноутбука тв для Win8 / Win10 системы V5 Bluetooth 5,0 адаптер #98		87,85 - 167,86 руб.	//aliexpress.ru/item/1005001414673414.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-8&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33017523926	Портативный WI-FI роутер	272 продано	2 369,59 - 3 179,85 руб.	//aliexpress.ru/item/33017523926.html?s=p&ad_pvid=202009230101433253150433709800002013541_2&algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-9&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32826266778	Тестер сетевого кабеля kebidumei RJ45 RJ11Cat5 Cat6 LAN, тестер сетевого кабеля, детектор телефонной линии, набор инструментов для отслеживания	512 продано	312,97 руб.	//aliexpress.ru/item/32826266778.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-10&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000595470100	5,0 Bluetooth аудио приемник передатчик Mini Bluetooth стерео AUX USB 3,5 мм Jack для ТВ ПК наушники автомобильный набор, свободные руки, Беспроводной адаптер	6060 продано	378,86 руб.	//aliexpress.ru/item/4000595470100.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-11&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000203567475	Адаптер USB Bluetooth 5,0, передатчик, bluetooth-приемник, аудио bluetooth-ключ, беспроводной usb-адаптер для компьютера, ПК, ноутбука	5614 продано	117,66 - 185,90 руб.	//aliexpress.ru/item/4000203567475.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-12&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000990783458	LUCBIT miner hosting сервис		77,66 руб.	//aliexpress.ru/item/4000990783458.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-13&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33062066064	Wi-Fi-роутер KuWFi с широким охватом, 150 Мбит/с, 4G, роутеры LTE для любой погоды, усилитель Wi-Fi, внешний усилитель, удлинитель для ip-камеры	39 продано	2 847,27 - 3 157,88 руб.	//aliexpress.ru/item/33062066064.html?s=p&ad_pvid=202009230101433253150433709800002013541_3&algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-14&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001070776717	HIKVISON NAS сети-облако хранения мобильного-сеть H90 Смарт USB USB2.0 дистанционной поддержки 2,5 дюймов HDD (не включает Hdd)	270 продано	3 077,88 руб.	//aliexpress.ru/item/4001070776717.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-15&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001064420962	USB Bluetooth 5,0 Bluetooth 5,0 адаптер приемник беспроводной Bluethooth Ключ 4,0 Музыка Мини Bluthooth передатчик для ПК компьютера	933 продано	220,41 - 716,92 руб.	//aliexpress.ru/item/4001064420962.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-16&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001205781346	Аудио Bluetooth приемник 3,5 мм Беспроводной автомобильный Bluetooth адаптер в автомобиле MP3 вспомогательный конвертер для телефона	385 продано	146,68 руб.	//aliexpress.ru/item/4001205781346.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-17&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000315635975	Профессиональный тестер сетевого кабеля RJ45 RJ11 RJ12 CAT5 UTP LAN, тестер кабеля, детектор, удаленные тестовые инструменты, сеть	1239 продано	289,44 руб.	//aliexpress.ru/item/4000315635975.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-18&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32401431234	ТВ-приставка Ugreen, USB Ethernet USB 3,0 2,0 к RJ45 хаб для Xiaomi Mi Box 3/S телеприставка, Ethernet адаптер, сетевая карта USB Lan	4262 продано	1 050,28 - 2 031,53 руб.	//aliexpress.ru/item/32401431234.html?s=p&ad_pvid=202009230101433253150433709800002013541_4&algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-19&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001081123778	USB Bluetooth 5,0 передатчик приемник Mic 3 в 1 адаптер EDR ключ 3,5 мм AUX для ТВ ПК наушники домашние стерео автомобильные HIFI аудио	1004 продано	240,02 - 265,91 руб.	//aliexpress.ru/item/4001081123778.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-20&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001214045684	4g маршрутизатор 4G беспроводной маршрутизатор 4G wifi маршрутизатор 4g lte маршрутизатор 150 Мбит/с мобильный wifi широкополосный Hotspot PK huawei E5573 E5577	29 продано	1 881,71 руб.	//aliexpress.ru/item/4001214045684.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-21&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001297705273	ANDDEAR Белый беспроводной WiFi в стене AP высокое качество гостиничные номера Wi-Fi покрытие мини настенное крепление AP маршрутизатор точка доступ...		1 153,81 руб.	//aliexpress.ru/item/4001297705273.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-22&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000533041206	10/100/1000 Мбит/с, 8 портов, гигабитный сетевой коммутатор, гигабитный Ethernet сетевой коммутатор, RJ45 Lan концентратор, высокопроизводительный Ethernet, ...	556 продано	722,41 - 1 309,12 руб.	//aliexpress.ru/item/4000533041206.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-23&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001274587852	USB 2,0 четырехпортовый usb-хаб высокоскоростной разветвитель для ноутбука алюминиевый концентратор адаптер для планшета 4 порта		307,48 руб.	//aliexpress.ru/item/4001274587852.html?s=p&ad_pvid=202009230101433253150433709800002013541_5&algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-24&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32954421718	2,4G 300 Мбит/с беспроводной маршрутизатор потолочный AP Точка доступа повторитель 8M Flash 64M Ram английский интерфейс управления Поддержка Openwrt	33 продано	1 239,31 руб.	//aliexpress.ru/item/32954421718.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-25&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32929576606	S105C Mini 5 портов 10/100 Мбит/с LAN Hub Настольный сетевой коммутатор Ethernet	177 продано	422 руб.	//aliexpress.ru/item/32929576606.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-26&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000807559349	3G 150 Мбит/с 4g LTE USB модем адаптер Беспроводная USB Сетевая карта универсальный беспроводной модем белый 4G WiFi роутер для ноутбука	270 продано	783,59 - 1 480,90 руб.	//aliexpress.ru/item/4000807559349.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-27&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001327028338	Используется разблокированный Huawei E367 E367u-2 3G usb 3g модем антенна e367u мобильный широкополосный 3g ключ		862,03 - 940,47 руб.	//aliexpress.ru/item/4001327028338.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-28&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32923632679	KuWfi беспроводной маршрутизатор высокой мощности 3000 МВт WiFi усилитель сигнала 2,4 ГГц 35dBm WiFi усилитель сигнала для FPV RC Quadcopter	9 продано	4 885,85 руб.	//aliexpress.ru/item/32923632679.html?s=p&ad_pvid=202009230101433253150433709800002013541_6&algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-29&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32881558805	Сетевой кабель LAN Ethernet от 1 до 2 путей RJ45 гнездовой сетевой адаптер разъём разветвитель для док-станций для ноутбуков Прямая поставка	51 продано	141,98 руб.	//aliexpress.ru/item/32881558805.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-30&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001097686145	USB Bluetooth 5,0 Bluetooth адаптер приемник 5,0 Bluetooth ключ 5,0 4,0 адаптер для ПК ноутбука 5,0 BT передатчик	1494 продано	148,25 - 272,97 руб.	//aliexpress.ru/item/4001097686145.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-31&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000131734781	OULLX RJ45 Кабельный тестер lan Кабельный тестер RJ45 RJ11 RJ12 CAT5 UTP LAN Кабельный тестер Сетевой Инструмент Ремонт сети	2912 продано	351,40 руб.	//aliexpress.ru/item/4000131734781.html?algo_pvid=00400930-c562-43a2-a8d9-c4745da24349&algo_expid=00400930-c562-43a2-a8d9-c4745da24349-32&btsid=0b0a187916008481029165406eab0e&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
