id	description	number_of_orders	price	url
32983891630	Светодиодная лента RGB для пультов дистанционного управления, 5, 12, 24 В, 3, 11, 17, 24 В	173 продано	102,03 - 180,33 руб.	//aliexpress.ru/item/32983891630.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-0&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001036148748	Умный переключатель, звуковой светильник с голосовым звуком, датчик задержки времени, интеллектуальный автоматический выключатель, аксесс...	26 продано	111,52 руб.	//aliexpress.ru/item/4001036148748.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-1&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32850474195	Диммер, Светодиодная лента RGB, контроллер постоянного тока 12 В 24 В, мини-диммер, Одноцветный контроллер для 5050 3528 5730, светодиодный светильник	595 продано	38,76 руб.	//aliexpress.ru/item/32850474195.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-2&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000851226389	10 шт., контакт разъема питания постоянного тока 2,1x5,5 мм, гнездовой разъем + штекер-переходник, монтажное гнездо для печатной платы, diy-адаптер,...	488 продано	22,15 - 125,76 руб.	//aliexpress.ru/item/4000851226389.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-3&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001386894253	Светильник для зубной трубки, светильник, ing кольцо с фотографией, заполняющий светильник, беспроводной светодиодный светильник, отверждаю...		1 572,29 руб.	//aliexpress.ru/item/1005001386894253.html?s=p&ad_pvid=202009240418293159317872938000003223455_1&algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-4&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000012023591	2/10/20 шт., компактный проводной соединительный разъем, универсальный клеммный блок с проводником, с разделителем Threader, с разъемом для проводк...	1571 продано	46,67 - 596,33 руб.	//aliexpress.ru/item/4000012023591.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-5&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33050879698	1-100 шт. 222-412 413 415 компактный провод, соединительный провод, Клеммная колодка проводника с рычагом 0,08-2,5 мм2, PCT-212 213	914 продано	31,64 - 2 790,25 руб.	//aliexpress.ru/item/33050879698.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-6&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001074666105	Интеллектуальный Bluetooth 4,0 диммер RGB контроллер, мини-Музыка RGB Светодиодная лампа для телефона APP Аксессуары Инструмент APP светильник 5-24 В пос...	150 продано	76,72 - 157,39 руб.	//aliexpress.ru/item/4001074666105.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-7&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001272894697	3 шт./пакет завод светильник led 220V 20W 30W 50W 3000K/6000K/полный ассортимент 380-840nm водителя COB светодиодные чипы светильник для сада	168 продано	284,72 - 450,81 руб.	//aliexpress.ru/item/4001272894697.html?algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-8&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001386906646	Светильник для зубной трубки, светильник, ing кольцо с фотографией, заполняющий светильник, беспроводной светодиодный светильник для отверж...		1 660,87 руб.	//aliexpress.ru/item/1005001386906646.html?s=p&ad_pvid=202009240418293159317872938000003223455_2&algo_pvid=de5ccce7-4038-42d3-b2d9-948fa774c5e0&algo_expid=de5ccce7-4038-42d3-b2d9-948fa774c5e0-9&btsid=0b8b035916009463093916651ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
