id	description	number_of_orders	price	url
33043989183	Светодиодный светильник E27 B22 RGBW, 4 Вт 7 Вт 10 Вт 15 Вт 110 В 220 В, меняемый цветной RGB светодиодный светильник с ИК-пультом дистанционного управлени...	5890 продано	152,65 - 306,87 руб.	//aliexpress.ru/item/33043989183.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-0&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000423949575	E27 Bluetooth RGB светодиодный светильник E14, светодиодный светильник с ИК-пультом дистанционного управления, лампа для домашнего декора, умный IC с...	3754 продано	79,09 - 385,96 руб.	//aliexpress.ru/item/4000423949575.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-2&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001109358386	Светодиодный светильник B22 с байонетной лампадой, теплый белый шар, светильник 21 Вт 18 Вт 15 Вт 12 Вт 9 Вт 6 Вт 3 Вт, холодный белый свет, AC 110 В 220 в 240...	475 продано	77,51 - 162,14 руб.	//aliexpress.ru/item/4001109358386.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-3&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33008020222	Светодиодный светильник E27 E14, 5 Вт, 7 Вт, 16 цветов, переменный светодиодный светильник 110 В, 220 В, светодиодный светильник RGB, точечный светильни...	1277 продано	87 - 272,86 руб.	//aliexpress.ru/item/33008020222.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-5&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001169956863	E27 умная управляемая лампа Led RGB светильник с регулируемой яркостью 5 Вт 10 Вт 15 Вт Светодиодная лампа RGBW цветная меняющаяся лампа Светодиодна...	858 продано	153,44 - 310,03 руб.	//aliexpress.ru/item/4001169956863.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-6&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001197119550	10 шт. G4 базовые галогенные лампы JC типа лампы 2-контактный 20 Вт DC/AC 12 в теплый белый	346 продано	61,69 руб.	//aliexpress.ru/item/4001197119550.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-7&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32980896861	Светодиодный светильник E14 E27, светодиодный, 220 В, 230 В, 240 в, 20 Вт, 18 Вт, 15 Вт, 12 Вт, 9 Вт, 6 Вт, 3 Вт	6055 продано	79,88 - 147,90 руб.	//aliexpress.ru/item/32980896861.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-8&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32744883866	110 В 220-240 В 380 В Зеленая кнопка индикатор лампы неоновая лампа байонетная лампа B9		220,66 руб.	//aliexpress.ru/item/32744883866.html?s=p&ad_pvid=202009232249153092581163682360002852999_2&algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-9&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32884777814	Светодиодные лампы E27, цветные, 110/220 В, 5/10/15 Вт + инфракрасный пульт дистанционного управления с функцией запоминания	9385 продано	207,22 - 363,02 руб.	//aliexpress.ru/item/32884777814.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-10&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000553057879	E27 Светодиодный светильник в форме свечи E14, лампа-кукуруза 2835 SMD, энергосберегающий светильник s, лампа 220 В, светильник светодиодный, лампочк...	146 продано	84,63 - 156,60 руб.	//aliexpress.ru/item/4000553057879.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-11&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000097679526	Светодиодный портативный светильник 12 В постоянного тока, 3 Вт 6 Вт 9 Вт 12 Вт 15 Вт 18 Вт SMD2835 Холодный/теплый белый для палаточного лагеря Наружн...	1985 продано	119,43 - 315,57 руб.	//aliexpress.ru/item/4000097679526.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-12&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000991714016	GU10 RGB светодиодный светильник E27 E14 5 Вт ИК пульт дистанционного управления AC 85-265 в атмосферное освещение 16 цветов Сменные декоративные огни ...	21 продано	122,59 - 246,76 руб.	//aliexpress.ru/item/4000991714016.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-16&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000469446537	Радужный светодиодный неоновый светильник, USB 12 В, фламинго, единорог, свадебный бар, магазин, окно, комната, домашний декор, лампа для рождес...	466 продано	675,42 - 805,13 руб.	//aliexpress.ru/item/4000469446537.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-17&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001226856315	1 м 2 м 3 м 4 м 5 м светодиодный ТВ-светильник 5 в USB Bluetooth RGB неоновый светильник с подсветкой умный светодиодный светильник в полоску для телевиз...	332 продано	79,88 - 896,08 руб.	//aliexpress.ru/item/4001226856315.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-18&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001390291119	УФС-стерилизатор светильник лампа с озоном	2 продано	540,18 - 597,92 руб.	//aliexpress.ru/item/1005001390291119.html?s=p&ad_pvid=202009232249153092581163682360002852999_4&algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-19&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001452231756	Умная лампа с регулируемой яркостью 9 Вт B22 E27, WiFi, светодиодный светильник, лампа Tuya/Smart Life App Control Wake up, умная лампа, волшебная лампа		151,86 - 576,56 руб.	//aliexpress.ru/item/1005001452231756.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-20&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001316082165	Светодиодный неоновый светильник, стойка для одежды с питанием от USB, светодиодный неоновый светильник, вешалка для спальни		710,22 руб.	//aliexpress.ru/item/1005001316082165.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-21&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32956390662	110 В 220 в E27 светодиодные лампы RGB Lampadas светодиодные лампы для дома 5050SMD Ampoule светодиодный светильник 24 клавиши ИК пульт дистанционного управл...	1230 продано	203,26 - 326,64 руб.	//aliexpress.ru/item/32956390662.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-23&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000754159307	Винтажный светодиодный светильник Эдисона E14, E27, 4 Вт, 220 В, C35, A60, T45, ST64, T185, T225, G80, G95, G125	977 продано	139,20 - 535,44 руб.	//aliexpress.ru/item/4000754159307.html?s=p&ad_pvid=202009232249153092581163682360002852999_5&algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-24&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001394934919	Цветная цветная светодиодная лампа E27 лампа LED бар светильник 3 Вт лампа KTV вечерние домашний декор Светодиодная лампа светодиодный цветной ...		30,06 - 128,13 руб.	//aliexpress.ru/item/1005001394934919.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-26&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000204515076	10 шт./компл. цветной маленький светодиодный светильник, бумажные шарики, декоративный фонарь, встроенный аккумулятор, для свадьбы, дня рожде...	263 продано	93,33 руб.	//aliexpress.ru/item/4000204515076.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-27&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33048156490	Неоновый светильник RGB RGBW RGBWW E27 Беспроводная Светодиодная лампа с Bluetooth AC 85-265V музыкальное управление умная лампа для дома праздничный Декор...	522 продано	71,98 - 373,30 руб.	//aliexpress.ru/item/33048156490.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-28&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32977331904	1X5 Вт 7 Вт Светодиодная свеча лампа E14 220 В энергосберегающий прожектор теплый/холодный белый chandlier хрустальная лампа Ampoule Bombillas Home Lig	25 продано	70,39 - 129,71 руб.	//aliexpress.ru/item/32977331904.html?s=p&ad_pvid=202009232249153092581163682360002852999_6&algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-29&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000070294681	20 Вт/30 Вт/50 Вт полный спектр светодиодный завода светать светильник лампы для r комнатное растение рост рассады и цветок роста растений фито...	31 продано	95,70 - 124,17 руб.	//aliexpress.ru/item/4000070294681.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-30&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000603362977	CHIZAO светодиодный светильник с динамическим эффектом пламени, лампа с несколькими режимами, креативный кукурузный светильник, декоративный...	4214 продано	131,29 - 352,74 руб.	//aliexpress.ru/item/4000603362977.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-31&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32915006636	Белое/теплое белое светодиодное освещение матрица COB Интегрированная Лампа чип DIY светодиодный прожектор Прожекторы наружная Высокая мощн...	265 продано	97,28 - 146,32 руб.	//aliexpress.ru/item/32915006636.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-32&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000158675708	Светодиодная лампа E27 E14 RGB, 3 Вт, 5 Вт, 10 Вт, 15 Вт, диммируемая, 16 меняющих цвет волшебных ламп, Gu10, AC 220 В, 110 В, RGB белый, ИК-пульт дистанционного упр...	1144 продано	184,28 - 314,78 руб.	//aliexpress.ru/item/4000158675708.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-33&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000756775657	E27 E14 Ретро Эдисон светодиодный лампы накаливания 220V-240V светильник лампочка C35 G45 A60 ST64 G80 G95 G125 Стекло лампы Винтаж Свеча светильник	2906 продано	79,09 - 348,79 руб.	//aliexpress.ru/item/4000756775657.html?s=p&ad_pvid=202009232249153092581163682360002852999_7&algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-34&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000267467115	Эдисон Мерцающий СВЕТОДИОДНЫЙ светильник в форме свечи E14 E27, эмуляционный Fire светильник, винтажный 3 Вт AC220 в, Ретро Декор, энергосберегающая...	1026 продано	104,40 руб.	//aliexpress.ru/item/4000267467115.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-36&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33015493971	Авто Led USB Led окружающий светильник DJ RGB Мини Красочный музыкальный звуковой светильник USB-C интерфейс Apple интерфейс Праздничная Вечеринка кар...	699 продано	117,85 - 161,35 руб.	//aliexpress.ru/item/33015493971.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-38&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001265634596	Затемнения янтарного мяч для гольфа лампы 4 Вт 6 Вт 8 Вт Светодиодный светильник E27 E26 Винтаж Ретро Style110V 220V нити промышленные люстры лампы	120 продано	69,60 - 333,76 руб.	//aliexpress.ru/item/4001265634596.html?s=p&ad_pvid=202009232249153092581163682360002852999_8&algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-39&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001316864068	Светодиодный неоновый светильник, знак Hello Good Vibes, с питанием от USB, Радужный настенный светодиодный неоновый светильник s для игровой комнат...	60 продано	710,22 руб.	//aliexpress.ru/item/4001316864068.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-40&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001276567588	Алюминиевый Ультрафиолетовый фонарь 365nm фонарь blacklight длина волны 395nm фонарик uv лампа AAA черный	13 продано	135,25 руб.	//aliexpress.ru/item/4001276567588.html?algo_pvid=e816d27c-7cfa-418d-811f-90293d150229&algo_expid=e816d27c-7cfa-418d-811f-90293d150229-41&btsid=0b8b15ea16009265549676619e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
