id	description	number_of_orders	price	url
4000192600813	Litwod милый светодиодный мини-светильник Z90 с USB, гибкая яркая компьютерная лампа для портативного компьютера, ноутбука, чтения книг, светильн...	4 продано	78,30 руб.	//aliexpress.ru/item/4000192600813.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-0&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001286602687	1 шт. складной супер яркий USB светодиодный светильник для книг портативный светильник для чтения настольная лампа для питания компьютера но...	1234 продано	13,45 - 41,13 руб.	//aliexpress.ru/item/1005001286602687.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-1&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32985063530	Мини Портативная Светодиодная лампа USB 5 в 1,2 Вт, супер яркий книжный светильник, лампа для чтения для внешнего аккумулятора, ПК, ноутбука, ноу...	3760 продано	45,09 - 47,46 руб.	//aliexpress.ru/item/32985063530.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-2&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33053519704	Мини Творческий USB светодиодный книжный светильник, летняя Гибкая Складная USB Светодиодная лампа, внешний аккумулятор для компьютера, ноутб...	71 продано	68,02 руб.	//aliexpress.ru/item/33053519704.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-3&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001066803478	Baseus книжный светильник USB Led Перезаряжаемый мини-светильник на прищепке, Настольный светильник, гибкий Ночной светильник, лампа для чтения, ...	687 продано	866,82 - 1 083,52 руб.	//aliexpress.ru/item/4001066803478.html?s=p&ad_pvid=20200924014817792622030807200002998363_1&algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-4&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001291146095	1 шт., Гибкая мини-подсветка, светодиодная подсветка для книг, переносные дорожные уличные фонари для чтения, подарок для детей 2020, Новинка		52,20 - 139,20 руб.	//aliexpress.ru/item/4001291146095.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-5&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32834061287	Светодиодный книжный светильник, гибкий и яркий мини-светильник с клипсой, лампа для чтения книг, для путешествий, спальни, для чтения книг, ...	5181 продано	421,55 руб.	//aliexpress.ru/item/32834061287.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-6&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001272502033	ZIYLCO 1 шт. USB подсветка для клавиатуры светодиодный портативный супер яркий свет для внешнего аккумулятора компьютера ПК ноутбука настольног...	428 продано	32,43 - 47,46 руб.	//aliexpress.ru/item/4001272502033.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-7&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32693553747	Цветная ПВХ 5 в 5 Вт лампочка USB светильник, переносная лампа, светодиодный 5730 для походов, кемпинга, кемпинга, путешествий, работы с внешним а...	2353 продано	123,38 руб.	//aliexpress.ru/item/32693553747.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-8&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33043590370	Светодиодный настольный светильник FUMAT s, мини-светильник для чтения с защитой глаз, гибкая складная прикроватная Настольная лампа с аккуму...	1 продано	426,29 руб.	//aliexpress.ru/item/33043590370.html?s=p&ad_pvid=20200924014817792622030807200002998363_2&algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-9&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32943457349	Мини светодиодный светильник, Гибкая настольная лампа, переносная лампа для чтения, книжный светильник, на аккумуляторах, 4 Светодиодный на...	149 продано	225,41 руб.	//aliexpress.ru/item/32943457349.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-10&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000068458068	Креативный плоский светодиодный светильник для чтения книг, ночник, портативный дорожный светодиодный светильник для дома и спальни	3411 продано	165,30 - 354,32 руб.	//aliexpress.ru/item/4000068458068.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-11&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32994429042	USB светодиодный книжный светильник s 3 светодиодный s 8 светодиодный s SMD 5630 5730 светодиодный светильник 5 В вход питания белый 5000-6500K теплый белы...	5539 продано	35,59 - 71,18 руб.	//aliexpress.ru/item/32994429042.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-12&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000800669752	Мини Портативный светодиодный USB-светильник 5 В, супер яркий книжный светильник, лампа для чтения для ноутбука, ПК, компьютерная комната, све...	388 продано	35,59 руб.	//aliexpress.ru/item/4000800669752.html?algo_pvid=13d3f53f-81c3-43a9-9cc1-78256cc439d3&algo_expid=13d3f53f-81c3-43a9-9cc1-78256cc439d3-13&btsid=0b8b034116009372967065160ec1fc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
