id	description	number_of_orders	price	url
33038987306	Светодиодный настольный светильник, Складная Настольная лампа с регулируемой яркостью DC5V, USB питание, Настольный светильник 6000K, Ночной све...	3630 продано	315,57 руб.	//aliexpress.ru/item/33038987306.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-0&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001150646383	2017 новейший креативный гибкий зажим, яркий книжный свет для ноутбука, черный светодиодный светильник с низкой мощностью, пластиковая лампа ...		55,37 - 171,63 руб.	//aliexpress.ru/item/4001150646383.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-1&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001034015774	Настенный светильник, светодиодный, водонепроницаемый, 12 Вт	103 продано	516,45 - 1 192,66 руб.	//aliexpress.ru/item/4001034015774.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-2&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001290903069	USB Перезаряжаемый 3 режима регулируемый светодиодный светильник для столов студенческий учебный светильник 360 градусов светодиодный свети...		323,48 руб.	//aliexpress.ru/item/4001290903069.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-3&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32919811047	Современный светодиодный настенный светильник для лестницы, прикроватный светильник для гостиной и прихожей, 2 Вт, 4 Вт, 6 Вт	234 продано	671,47 - 1 074,82 руб.	//aliexpress.ru/item/32919811047.html?s=p&ad_pvid=202009232202239756609599864480002791469_1&algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-4&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000545985734	5 в Светодиодная лента, USB настольная лампа, ручной переключатель, задний светильник, датчик движения, книжный Настольный светильник, детска...	1822 продано	273,65 - 361,44 руб.	//aliexpress.ru/item/4000545985734.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-5&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32724068064	YAGE YG-5933 настольная лампа USB светодиодный настольная лампа 14 светодиодный настольная лампа с зажимом кровать Чтение Книга светильник светод...	1389 продано	632,71 руб.	//aliexpress.ru/item/32724068064.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-6&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000599043227	Настольная лампа Настольные лампы реагирующие на прикосновения для гостиной гусиная шея Настольная Складная диммируемая лампа для защиты ...	2734 продано	544,93 - 941,16 руб.	//aliexpress.ru/item/4000599043227.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-7&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000246267653	лампа настольная 8X лупа, светильник для красоты ногтей, зажим для татуировки, светильник, оборудование для макияжа, инструмент, USB, студенчес...	552 продано	983,08 - 1 467,89 руб.	//aliexpress.ru/item/4000246267653.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-8&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32970269380	Стеклянный настенный светильник, современный прозрачный настенный светильник ing, скандинавский настенный светильник, медный настенный све...	53 продано	2 216,86 руб.	//aliexpress.ru/item/32970269380.html?s=p&ad_pvid=202009232202239756609599864480002791469_2&algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-9&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000494013063	Креативный светодиодный светильник для чтения книг, Ночной светильник, плоская пластина, портативная Автомобильная дорожная панель, свето...		87 - 358,28 руб.	//aliexpress.ru/item/4000494013063.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-10&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33050111605	USB держатель с зажимом, светодиодный светильник для книг, настольная лампа, 1 Вт, гибкий светодиодный светильник для чтения, лампа для включе...	1146 продано	342,46 - 427,87 руб.	//aliexpress.ru/item/33050111605.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-11&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000793927858	Штепсельная Вилка европейского стандарта США 360 градусов гибкий держатель настольной лампы E27 Цоколь Светильник Зажим s-образной формы-на к...	1106 продано	393,08 - 544,93 руб.	//aliexpress.ru/item/4000793927858.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-12&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001273619946	Suchme USB настольные лампы, компьютерная настольная лампа, USB светодиодный светильник, настольная лампа, фонари Flexo PC, лампы для учебы, чтения, USB ...	734 продано	169,25 руб.	//aliexpress.ru/item/1005001273619946.html?algo_pvid=dd97ee3b-1d47-4301-8d7d-6c80ff132135&algo_expid=dd97ee3b-1d47-4301-8d7d-6c80ff132135-13&btsid=0b8b034116009237433831695ec1bc&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
