id	description	number_of_orders	price	url
4000149077998	Батарея-питание пробка от бутылки вина светильник 1 м/2 м DIY светодиодный светильник бар светильник День Рождения Вечеринка пробка для бутыл...	3693 продано	69,60 - 79,88 руб.	//aliexpress.ru/item/4000149077998.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-0&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001463616065	1 м 2 м светодиодная гирлянда, гирлянда, сказочные огни, винная нить с пробкой, лампа для стеклянной бутылки, Рождественская елка, украшение д...		52,99 - 66,44 руб.	//aliexpress.ru/item/1005001463616065.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-1&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32799359872	USB 33 фута, 10 м, светильник, USB, медный провод, сказочный светильник s, для помещения и улицы, Рождественские Свадебные украшения	42 продано	236,48 руб.	//aliexpress.ru/item/32799359872.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-2&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001294431764	Гирлянда на батарейках, светильники в форме винных бутылок с пробкой, 1 м, 2 м, СВЕТОДИОДНЫЙ цветной медный провод, вечерние гирлянды для свад...	878 продано	65,65 - 76,72 руб.	//aliexpress.ru/item/4001294431764.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-3&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32895443962	РЧ с регулируемой яркостью 11 м/21 м/31 м/51 м светодиодный наружный Солнечный струнный светильник s Сказочный Праздник Рождественская вечеринк...	4792 продано	389,12 - 1 652,96 руб.	//aliexpress.ru/item/32895443962.html?s=p&ad_pvid=2020092323321410455505699266250002927501_1&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-4&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001228087192	Романтический 7 цветов Изменение светодиодный светильник Насадки для душа водяной бане дома Ванная комната свечение	25 продано	168,46 руб.	//aliexpress.ru/item/4001228087192.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-5&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32689004084	Гирлянда, светодиодная, 1/2/5/10 м	1467 продано	83,84 - 226,20 руб.	//aliexpress.ru/item/32689004084.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-6&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33049244189	1 м/3 м Снежинка светодиодная гирлянда, сказочные огни, уличная гирлянда на батарейках, Рождественское украшение, новогодние вечерние, сваде...	77 продано	171,63 - 293,42 руб.	//aliexpress.ru/item/33049244189.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-7&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000152329070	Светодиодный светильник, 3 м/6 м/10 м, 20 светодиодов, 40 светодиодов, 80 светодиодов	287 продано	192,98 - 847,84 руб.	//aliexpress.ru/item/4000152329070.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-8&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001192507354	Светодиодный светильник на солнечной батарее, 10/20 лампочек, водонепроницаемый Светодиодный светильник для балкона, крыльца, улицы, украшен...	154 продано	913,48 - 1 190,29 руб.	//aliexpress.ru/item/4001192507354.html?s=p&ad_pvid=2020092323321410455505699266250002927501_2&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-9&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001118507039	Светодиодная лампа-убийца комаров, УФ-ночник, светильник USB, насекомые, ловушка для комаров, фонарь, лампа, ночной Светильник	50 продано	126,55 - 427,08 руб.	//aliexpress.ru/item/4001118507039.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-10&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000112112802	Foxanon LED Fairy светильник s 1 М 1,5 м 2 м светодиодный вечерние светильник медный провод гирлянда уличный строка светильник для Новогоднее украшени...	125 продано	64,86 - 103,61 руб.	//aliexpress.ru/item/4000112112802.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-11&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32918015034	Теплый белый медный светодиодный светильник, 1 м, 2 м, гирлянда, декоративный светильник для стеклянной бутылки, украшение для дома на Рождес...	239 продано	71,18 - 77,51 руб.	//aliexpress.ru/item/32918015034.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-12&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32900447514	Светодиодный светильник на солнечной батарее 20 30 S, светодиодный светильник на солнечной батарее, Уличный настенный светильник, украшение с...	10 продано	408,10 - 488,77 руб.	//aliexpress.ru/item/32900447514.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-13&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001490405882	2 шт. светодиодный светильник для лужайки COB 220 в 12 В водонепроницаемый садовый декоративный ландшафтный светильник для лужайки светильник д...		1 221,93 - 1 268,59 руб.	//aliexpress.ru/item/1005001490405882.html?s=p&ad_pvid=2020092323321410455505699266250002927501_3&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-14&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001407610137	Электрический мух баг Zapper USB лампа от комаров ультрафиолетовая лампа от комаров насекомые от комаров дома борьба с вредителями		189,82 - 588,42 руб.	//aliexpress.ru/item/1005001407610137.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-15&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001287978593	10 шт. из нержавеющей стали наружный водонепроницаемый светодиодный солнечный свет встроенный колыбельный Авто садовый газон кемпинг лампа...		787,73 руб.	//aliexpress.ru/item/4001287978593.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-16&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001105176417	Электрический репеллент от комаров, лампа ЕС, мини-убийца комаров, домашний светодиодный ночник, без запаха, безопасный светильник от комар...	208 продано	43,50 - 122,59 руб.	//aliexpress.ru/item/4001105176417.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-17&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001418906159	Батарея-питание пробка от бутылки вина светильник 1 м/2 м DIY светодиодный светильник бар светильник День Рождения Вечеринка пробка для бутыл...	81 продано	64,07 - 73,56 руб.	//aliexpress.ru/item/1005001418906159.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-18&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32989610554	Водонепроницаемый светодиодный садовый шар светильник на открытом воздухе газон лампы перезаряжаемый Рождественская вечеринка RGB Пейзаж ...	225 продано	1 111,99 - 2 299,11 руб.	//aliexpress.ru/item/32989610554.html?s=p&ad_pvid=2020092323321410455505699266250002927501_4&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-19&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000382572701	1 шт., 220 В, светодиодный светильник-убийца комаров, E27, светодиодный светильник для дома, светильник для ловушки насекомых, Отпугиватель кома...	64 продано	66,44 - 222,24 руб.	//aliexpress.ru/item/4000382572701.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-20&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000105237724	Гирлянда на батарейках, светильники в форме винных бутылок с пробкой 2 м 20 светодиодный медный провод, яркие гирлянды, вечерние гирлянды для ...	2121 продано	75,93 - 121,01 руб.	//aliexpress.ru/item/4000105237724.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-21&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000274028702	Пробковый светодиодный светильник RGB, 3 м, водонепроницаемый, медный, теплый белый, 6 в	178 продано	68,81 - 118,64 руб.	//aliexpress.ru/item/4000274028702.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-22&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32885142468	Гирлянда, светодиодная, 8 режимов, 220 В, 1,5x1,5 м, 3x2 м, 4,2x1,6 м	934 продано	448,44 - 818,57 руб.	//aliexpress.ru/item/32885142468.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-23&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000087660384	10 м, 5 м, 3 м, 2 м, медный провод, светодиодный гирлянда из мишуры, на батарейках, сказочный светодиодный светильник для праздника, Рождества, св...	129 продано	138,41 - 264,16 руб.	//aliexpress.ru/item/4000087660384.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-25&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001350738643	20 светодиодных гирлянд, хлопковые шары, гирлянда, бусины, светодиодные полосы, декор для спальни, свадьба, сад, Хэллоуин, Рождественское укра...	170 продано	260,21 - 283,93 руб.	//aliexpress.ru/item/1005001350738643.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-26&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000103725103	20 # светодиодный светильник на солнечной энергии для каменщика, банка, крышка, вставка, изменение цвета, садовый водонепроницаемый, рождеств...		151,86 - 187,45 руб.	//aliexpress.ru/item/4000103725103.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-27&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000200168030	Ротанговые шарики 10/20/40 светодиодов, сказочные декоративные световые гирлянды на батарейках, Рождественская гирлянда для патио, украшение ...	12 продано	272,07 - 664,35 руб.	//aliexpress.ru/item/4000200168030.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-28&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000865570053	Honhill 33/96 светодиодный светильник с солнечным пламенем, мигающий наружный IP65 Водонепроницаемый Ландшафтный садовый светильник, светильник, ...	56 продано	713,39 - 4 117,36 руб.	//aliexpress.ru/item/4000865570053.html?s=p&ad_pvid=2020092323321410455505699266250002927501_6&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-29&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000232179688	Гирлянда, светодиодная, серебристая проволока на батарейках, 2 м, 5 м, 10 м	554 продано	123,38 - 281,56 руб.	//aliexpress.ru/item/4000232179688.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-30&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001166442995	3 м удлинитель провода удлинитель ЕС/США штекер для LED струнный светильник свадебное украшение СВЕТОДИОДНАЯ Гирлянда DIY Natal Рождественский с...	111 продано	122,59 - 192,98 руб.	//aliexpress.ru/item/4001166442995.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-31&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001104075500	Мини-лампа для уничтожения комаров, Электрический репеллент от комаров, домашний светодиодный ночник, без запаха, безопасная лампа для лову...	142 продано	43,50 - 123,38 руб.	//aliexpress.ru/item/4001104075500.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-33&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001078041848	56/100 светодиодный светильник на солнечной батарее, 3 режима, датчик движения PIR, настенный светильник, солнечный уличный светильник на крыльц...	11 продано	912,69 - 962,51 руб.	//aliexpress.ru/item/4001078041848.html?s=p&ad_pvid=2020092323321410455505699266250002927501_7&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-34&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000894125949	Светодиодный УФ-светильник для уничтожения комаров 2 в 1, 220 В, E27, 9 Вт	1278 продано	146,32 - 388,33 руб.	//aliexpress.ru/item/4000894125949.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-35&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001305548775	2 м 20 светодиодный s медный провод гирлянда сказочные огни кнопка на батарейках светодиодный для рождественской вечеринки барбекю свадьбы п...		39,55 руб.	//aliexpress.ru/item/4001305548775.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-36&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000695932895	Светодиодный солнечный колокольчик светильник шарики-частицы портативный меняющий цвет спиральный напольный декоративный колокольчик св...	43 продано	484,82 - 874,73 руб.	//aliexpress.ru/item/4000695932895.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-37&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000123107057	Праздничный светодиодный светильник, 2 м, цепочка со звездами, светодиодный светильник с батарейками, лампа, светильник, водонепроницаемая ...	75 продано	114,68 - 170,05 руб.	//aliexpress.ru/item/4000123107057.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-38&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001125678812	Уличный светодиодный водонепроницаемый прожектор IP65, настенный светильник с узким углом луча, Светодиодный прожектор 3 Вт 10 Вт, Точечный св...	11 продано	901,62 - 1 878,36 руб.	//aliexpress.ru/item/4001125678812.html?s=p&ad_pvid=2020092323321410455505699266250002927501_8&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-39&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001157454281	Светодиодный светильник с медной проволокой, 3 метра, 30 светодиодный s, на Рождество, на батарейках, для праздника, свадьбы, вечеринки, Прямая ...	21 продано	75,93 - 117,85 руб.	//aliexpress.ru/item/4001157454281.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-40&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32975261219	Удлинительный кабель для удлинителя, 3 м, вилка ЕС, 220 В/США, 110 В, удлинитель для рождественских огней, свадебные украшения	359 продано	135,25 руб.	//aliexpress.ru/item/32975261219.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-41&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000476247814	Гирлянда в форме пингвина 10 светодиодный 1,65 м подвесной светильник рождественские украшения для дома веселое Рождество Новогоднее украшен...		159,76 - 321,11 руб.	//aliexpress.ru/item/4000476247814.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-42&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000921464877	Ультразвуковой Отпугиватель вредителей GO FOLLOW, Отпугиватель комаров, борьба с грызунами, тараканов, насекомых	689 продано	174 руб.	//aliexpress.ru/item/4000921464877.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-43&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1540844871	Горячая распродажа 10 Вт солнечный светильник Светодиодный прожектор с обнаружением движения светильник наружный Настенный Сад высокое ка...	49 продано	1 185,54 руб.	//aliexpress.ru/item/1540844871.html?s=p&ad_pvid=2020092323321410455505699266250002927501_9&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-44&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001002836927	США/ЕС электрическая лампа для уничтожения комаров, светодиодный светильник для уничтожения насекомых, лампа ловушка для насекомых, для до...	29 продано	156,60 - 707,06 руб.	//aliexpress.ru/item/4001002836927.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-45&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001376223673	Солнечные гирлянды, садовые огни, меняющие цвет, солнечные колокольчики, светодиодные декоративные мобильные водонепроницаемые наружные с...		526,74 - 531,48 руб.	//aliexpress.ru/item/1005001376223673.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-46&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32937539443	IP68 Водонепроницаемый Многоцветный погружной светодиодный подводный светильник на аккумуляторах для аквариума, пруда, бассейна, свадебной ...	3319 продано	151,06 - 1 059,79 руб.	//aliexpress.ru/item/32937539443.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-47&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000228091433	Наружная гирлянда с листьями, 2 м, 3 м, 5 м, 10 м, праздничная лампа, работающая от батареи, светодиодный Сказочный свет для украшения рождествен...	6 продано	157,39 - 711,01 руб.	//aliexpress.ru/item/4000228091433.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-48&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000161384883	Светодиодный наземный светильник 12V 85-265V похороненный светильник s GU10 MR16 Водонепроницаемый Открытый утопленный Точечный светильник подзем...	182 продано	1 202,94 - 1 276,50 руб.	//aliexpress.ru/item/4000161384883.html?s=p&ad_pvid=2020092323321410455505699266250002927501_10&algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-49&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001041199742	Электронный москитный светильник, москитный убийца, инсектицид, штепсельная вилка ЕС, США, электронный москитный светильник, москитный уби...	56 продано	56,16 - 259,42 руб.	//aliexpress.ru/item/4001041199742.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-50&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32872936057	220 В домашний убийца комаров, светильник, Репеллент убийца комаров насекомых, летная ловушка для комаров, репеллент насекомых	1199 продано	155,02 руб.	//aliexpress.ru/item/32872936057.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-51&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000494284496	Снеговик Рождественская елка светодиодный гирлянда снежинки гирлянда сказочные огни висячие украшения для Navidad Natal новый год	123 продано	159,76 - 309,24 руб.	//aliexpress.ru/item/4000494284496.html?algo_pvid=bcbd49a8-69d7-4599-9376-2ebb16c204a9&algo_expid=bcbd49a8-69d7-4599-9376-2ebb16c204a9-52&btsid=0b8b15ea16009291342704917e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
