id	description	number_of_orders	price	url
4000393551845	Стоячий велосипедный колокольчик, сломанный ветер, маленькая Желтая утка, MTB, дорожный велосипедный шлем, аксессуары для езды на велосипеде ...		119,43 - 266,53 руб.	//aliexpress.ru/item/4000393551845.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-0&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000623080852	Мини USB СВЕТОДИОДНЫЙ Автомобильный светильник, Автомобильный интерьер, USB атмосферный свет светильник Plug And Play декор, лампа, аварийный свети...	6 продано	22,15 - 147,90 руб.	//aliexpress.ru/item/4000623080852.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-1&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001232005020	2 шт. автомобильный велосипедный колесный светодиодный светильник Ag10 автомобильный Мотор велосипед шина клапан лампа с активированным дви...		117,85 руб.	//aliexpress.ru/item/4001232005020.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-2&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32981188587	Светодиодная гирлянда из медной проволоки длиной 2 м, гирлянда-коркер для стеклянных бутылок, Новогоднее/рождественское/свадебное украшени...	153 продано	78,30 руб.	//aliexpress.ru/item/32981188587.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-3&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001365659919	USB/батарея мощность LED мяч гирлянда огни сказочные огни гирлянда наружная лампа Рождество праздник свадьба Вечеринка огни украшения		134,46 - 331,39 руб.	//aliexpress.ru/item/1005001365659919.html?s=p&ad_pvid=202009240306162951026641020000002925495_1&algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-4&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001065612030	Светодиодная лампа для селфи, кольцо, новинка, макияж, светильник, ings, светодиодный светильник, украшение s, мобильные телефоны, фото, Ночной ...	478 продано	74,35 - 210,38 руб.	//aliexpress.ru/item/4001065612030.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-5&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001354317376	Портативный светодиодный светильник для селфи с кольцевой вспышкой на мобильный телефон		154,23 руб.	//aliexpress.ru/item/1005001354317376.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-6&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000068360738	Новинка, светодиодная лампа для селфи с зажимом, кольцо для камеры телефона, портативная лампа с зажимом для женщин и девушек, ночное кольцо ...	1249 продано	210,38 руб.	//aliexpress.ru/item/4000068360738.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-7&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000330367836	Портативный светодиодный мини-светильник для чтения с защитой глаз, энергосберегающий светодиодный ночник, книжный светильник для портати...	79 продано	36,39 - 60,11 руб.	//aliexpress.ru/item/4000330367836.html?algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-8&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001427093533	GUOCHENG 20LED Solor струнный светильник s Mason Jar светильник, струны, водонепроницаемая стеклянная бутылка, садовый светильник для двора, наружное укр...		935,62 - 2 956,34 руб.	//aliexpress.ru/item/1005001427093533.html?s=p&ad_pvid=202009240306162951026641020000002925495_2&algo_pvid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5&algo_expid=ac6ac94f-cbd1-417d-accf-ad7dee9106b5-9&btsid=0b8b15cb16009419761218697e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
