id	description	number_of_orders	price	url
4000505473235	Светодиодный ночник для украшения дома, с датчиком движения		75,93 - 234,11 руб.	//aliexpress.ru/item/4000505473235.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-0&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001174074087	Умная Ночная лампа с датчиком движения PIR, 16 цветов, водонепроницаемый туалетный светильник, светодиодный светильник для человеческого тел...	26 продано	180,33 - 200,10 руб.	//aliexpress.ru/item/4001174074087.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-1&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001407273905	Светодиодный Ночной светильник, мини-светильник с датчиком управления, индукционный светильник, ночник, лампа для детей, гостиной, коридора...		63,28 - 94,91 руб.	//aliexpress.ru/item/1005001407273905.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-2&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000151205611	2019 милый смайлик облака с изображением ясного звездного успокоить свечения ночного светильник кормления светильник Детские спальные Игру...	1802 продано	118,64 - 272,07 руб.	//aliexpress.ru/item/4000151205611.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-3&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000829082917	20 см, 7 цветов, пульт дистанционного управления, креативный подарок для ребенка, Usb штекер в форме Луны, акриловый цветной 3D светодиодный ночн...		276,82 руб.	//aliexpress.ru/item/4000829082917.html?s=p&ad_pvid=202009240117571081010971727950003115998_1&algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-4&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32801308716	Новинка, Ночной светильник с вилкой Стандарта ЕС и США, Индукционная лампа с грибным грибом Dream, 220 В, 3 светодиодный ночник с грибами	1446 продано	99,66 руб.	//aliexpress.ru/item/32801308716.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-5&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32830852516	Ночник, белый 3d-светильник со звездами, светится в темноте, флуоресцентные Пластиковые настенные белые наклейки для гостиной, дома, детской ...	1667 продано	102,03 - 112,31 руб.	//aliexpress.ru/item/32830852516.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-6&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33020237003	Беспроводной датчик светодиодный ночник ЕС США штекер мини квадратные ночные светильники для Детская комната Спальня Коридор лампа	5010 продано	100,45 - 123,38 руб.	//aliexpress.ru/item/33020237003.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-7&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32962476908	Ночник, светодиодный с мини-датчиком управления, вилкой для ЕС/США, 110/220 В	10943 продано	132,08 - 157,39 руб.	//aliexpress.ru/item/32962476908.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-8&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000877716673	Подарочный удобный энергосберегающий круглый медный светодиодный usb-светильник в виде единорога для компьютера, ночник, настольная лампа		237,27 руб.	//aliexpress.ru/item/4000877716673.html?s=p&ad_pvid=202009240117571081010971727950003115998_2&algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-9&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000507244713	Романтическая любовь 3D лампа в форме сердца воздушный шар акриловый светодиодный ночник декоративный Настольный светильник День Святого В...	1249 продано	494,31 руб.	//aliexpress.ru/item/4000507244713.html?algo_pvid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94&algo_expid=eddfab34-ce1a-42d0-ba2f-9319d87d8b94-10&btsid=0b8b15c916009354770697744ed2ae&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
