id	description	number_of_orders	price	url
32986103249	Светодиодный светильник T5, светодиодный настенный светильник cocina, лампочка шкафа 10 Вт 6 Вт 220 В, кухонный светильник высокой яркости, украшен...	4 продано	249,93 - 583,68 руб.	//aliexpress.ru/item/32986103249.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-0&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001166323250	Светодиодный зеркальный светильник для макияжа CanLing 5 м, голливудский туалетный светильник для макияжа 5 В, USB настенная лампа с регулируемой...	4 продано	338,50 - 688,87 руб.	//aliexpress.ru/item/4001166323250.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-1&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32987204580	CanLing светодиодный зеркальный светильник 12 В, лампа для макияжа, голливудский туалетный светильник, бесступенчатый настенный светильник с р...	5532 продано	360,65 - 1 111,99 руб.	//aliexpress.ru/item/32987204580.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-2&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000088658181	Заполняющий светильник, кольцо для смартфона, селфи, светодиодный зеркальный светильник для макияжа, подарок для девочки, портативная ламп...	156 продано	225,41 руб.	//aliexpress.ru/item/4000088658181.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-3&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001268256046	Светодиодный Зеркало для профессионального макияжа светильник с полной подсветкой зеркало USB настольное зеркало с светильник 6 10 14 ламп гол...	120 продано	370,93 - 1 039,23 руб.	//aliexpress.ru/item/1005001268256046.html?s=p&ad_pvid=202009240537032672112547175860000227276_1&algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-4&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000865692701	Зеркальный светильник Vanity для макияжа, 5 В, USB светодиодный гибкий ленточный usb-кабель, туалетный зеркальный светильник с питанием от 0,5 м до 5 ...	16 продано	85,42 - 495,10 руб.	//aliexpress.ru/item/4000865692701.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-5&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001316902378	CanLing прокладки СИД светильник USB движения Сенсор лампа зеркало для макияжа светодиодных номерного знака Лампы Лента светодиодная туалетный...		159,76 - 634,30 руб.	//aliexpress.ru/item/4001316902378.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-6&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32960372989	Портативное светодиодное зеркало для макияжа, косметическое зеркало, компактное зеркало для макияжа, косметическое зеркало, ручная Складн...	105 продано	315,57 руб.	//aliexpress.ru/item/32960372989.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-7&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001374982359	2/6/10/14 светодиодный макияж зеркало светильник лампы 3 режима Цвет светодиодный сенсорный затемнения туалетный столик лампы 12V Голливуд зерк...		760,05 - 1 576,24 руб.	//aliexpress.ru/item/1005001374982359.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-8&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33059452247	USB 5V светодиодный зеркальный светильник в голливудском стиле с регулируемой яркостью и сенсорным управлением	22 продано	453,97 - 1 210,06 руб.	//aliexpress.ru/item/33059452247.html?s=p&ad_pvid=202009240537032672112547175860000227276_2&algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-9&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001364699172	Зеркальный косметический туалетный светильник 5 в USB гибкий светодиодный светильник для зеркала DIY Макияж светильник для телевизора подсве...		987,82 руб.	//aliexpress.ru/item/1005001364699172.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-10&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000248998067	Профессиональный 22 светодиодный зеркальный светильник для макияжа портативный вращающийся туалетный светильник s лампа сенсорная яркая Р...	158 продано	911,11 - 1 573,08 руб.	//aliexpress.ru/item/4000248998067.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-11&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000262851808	Туалетный столик с зеркалом для макияжа светильник 5V светодиодный гибкие светодиодные ленты лампы 0,5 м-5 м питаемые через USB порт гардеробны...	96 продано	108,36 - 457,93 руб.	//aliexpress.ru/item/4000262851808.html?algo_pvid=b502c1d3-dc0d-4646-a2ea-a102d2b68663&algo_expid=b502c1d3-dc0d-4646-a2ea-a102d2b68663-12&btsid=0b8b035916009510228305948ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
