id	description	number_of_orders	price	url
4001291104145	3 светодиодный мини-сенсорный светильник, ночной Светильник s, беспроводной светильник для шкафа, уличный автомобильный светильник, подвесн...		113,89 - 295,01 руб.	//aliexpress.ru/item/4001291104145.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-0&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32995582536	4 светодиодный настенный светильник кухонный шкаф Освещение для шкафа светильник ing стикер коснитесь Сенсорная лампа лампы домашний декора...	8 продано	170,84 - 177,95 руб.	//aliexpress.ru/item/32995582536.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-1&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000258450452	Светодиодная кухонная лампа, сказочный светодиодный светильник, шкаф, светильник, водонепроницаемый, гирлянда для спальни, Рождественское ...	276 продано	83,05 - 581,31 руб.	//aliexpress.ru/item/4000258450452.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-2&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000288815737	WENNI Кухня шкаф светильник лента светодиодный движения Сенсор светодиодный полосы светильник Водонепроницаемый Беспроводной ПИР светодиод...	1092 продано	311,61 - 530,69 руб.	//aliexpress.ru/item/4000288815737.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-3&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32995573172	Беспроводная светодиодная подсветка под шкаф PIR датчик движения лампа 6/10 светодиодов для шкафа шкаф кухонное освещение LED ночник	3342 продано	325,85 - 465,84 руб.	//aliexpress.ru/item/32995573172.html?s=p&ad_pvid=202009240445474717376292568440000073410_1&algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-4&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001291143020	3 светодиодный мини-сенсорный светильник, ночной Светильник s, беспроводной светильник для шкафа, уличный автомобильный светильник, подвесн...		104,40 руб.	//aliexpress.ru/item/4001291143020.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-5&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33005834255	Светодиодный шарнирная лампа с внутренним корпусом, светильник, Универсальный светильник для гардероба, сенсорный светодиодный светильни...	3662 продано	52,99 руб.	//aliexpress.ru/item/33005834255.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-6&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000562317042	Светодиодный светильник s 10 светодиодный s с ИК-датчиком движения, перезаряжаемый ночник для гардероба, шкафа, кухни, спальни, светильник ing	34 продано	544,93 - 663,56 руб.	//aliexpress.ru/item/4000562317042.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-7&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001231356089	Светодиодный светильник USB для кухонной Лампы Ручной разметки под шкафом светодиодный ленточный скотч 1 м-5 м водонепроницаемый ленточный ш...	34 продано	84,63 - 602,66 руб.	//aliexpress.ru/item/4001231356089.html?algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-8&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000873950794	DIY настенный светильник для шкафа, новый с дистанционным управлением, инфракрасный Ночной светильник, домашний хоккейный светильник с пуль...	2 продано	525,94 - 1 096,17 руб.	//aliexpress.ru/item/4000873950794.html?s=p&ad_pvid=202009240445474717376292568440000073410_2&algo_pvid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4&algo_expid=c6c0a050-5d9d-4621-a4f9-45e18e1326c4-9&btsid=0b8b035916009479469846088ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
