id	description	number_of_orders	price	url
4000822991037	Встроенный аккумулятор XP-G Q5 Zoom Focus Мини светодиодный фонарик, фонарь, лампа 2000 люмен, регулируемый фонарик, водонепроницаемый для улицы	100 продано	279,98 - 417,59 руб.	//aliexpress.ru/item/4000822991037.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-0&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000850181955	XP-G Q5 встроенный 18650 аккумулятор светодиодный налобный фонарь COB рабочий светильник 2 светильник режим с магнитом водонепроницаемый головно...	3166 продано	253,09 - 1 067,70 руб.	//aliexpress.ru/item/4000850181955.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-1&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32984743629	3 режима фонарик от батареи АА 3800 люмен портативный фонарь XPE COB Linternas Кемпинг лампа охотничий Рабочий фонарь Flashlamp	3008 продано	189,82 - 383,59 руб.	//aliexpress.ru/item/32984743629.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-2&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000921992903	ZHIYU перезаряжаемый портативный светодиодный светильник для вспышки COB + XPE светодиодный фонарь Водонепроницаемый фонарь для кемпинга масшт...	3861 продано	155,02 - 317,15 руб.	//aliexpress.ru/item/4000921992903.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-3&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32816276576	Фонарик Pocketman XML T6, светодиодный перезаряжаемый, мощностью 4000 люмен с аккумулятором 18650	3681 продано	308,45 - 694,40 руб.	//aliexpress.ru/item/32816276576.html?s=p&ad_pvid=2020092400274614395723681557180002849439_1&algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-4&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000780196412	Встроенный аккумулятор XP-G Q5 Zoom Focus Мини светодиодный фонарик, фонарь, лампа 2000 люмен, регулируемый фонарик, водонепроницаемый для улицы	2378 продано	147,90 - 334,55 руб.	//aliexpress.ru/item/4000780196412.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-5&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32837339210	Ультра-яркий светодиодный фонарик с лампами V6, светодиодный водонепроницаемый фонарь с 4 режимами освещения, многофункциональная зарядка ч...	4092 продано	294,21 - 1 069,28 руб.	//aliexpress.ru/item/32837339210.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-6&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000292450971	Сенсор XP-G Q5 налобный фонарь Водонепроницаемый 2500lm Cob Led Встроенный Usb Перезаряжаемый 18650 аккумулятор рабочий свет 5w	2713 продано	137,62 - 859,70 руб.	//aliexpress.ru/item/4000292450971.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-7&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32966976225	Портативный мини XPE + COB светодиодный налобный фонарь USB Перезаряжаемый Головной фонарь для кемпинга фонарь для рыбалки	16319 продано	266,53 - 743,44 руб.	//aliexpress.ru/item/32966976225.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-8&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33018938807	Coba светодиодный рабочий светильник, перезаряжаемый, usb, встроенный аккумулятор, cob, xpe, светильник с пластиковым крючком, магнитный, водонепр...	167 продано	656,44 руб.	//aliexpress.ru/item/33018938807.html?s=p&ad_pvid=2020092400274614395723681557180002849439_2&algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-9&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001089541756	ZHIYU портативный мини-фонарик Q5 + COB светодиодный налобный фонарь высокой мощности встроенный аккумулятор 18650 наружная походная фара плавное ...	8548 продано	307,66 - 537,02 руб.	//aliexpress.ru/item/4001089541756.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-10&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32693031311	Мини USB XPE Q5LED флэш-светильник фонарь для кемпинга на открытом воздухе перезаряжаемый водонепроницаемый масштабируемый светильник для вело...	2481 продано	295,01 руб.	//aliexpress.ru/item/32693031311.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-11&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000518354624	Встроенный аккумулятор XP-G Q5 Zoom Focus Мини светодиодный фонарик, фонарь, лампа 2000 люмен, регулируемый фонарик, водонепроницаемый для улицы	12962 продано	205,64 - 412,85 руб.	//aliexpress.ru/item/4000518354624.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-12&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32802300474	Светодиодный фонарик Ультраяркий фонарь T6/L2/V6 для кемпинга 5 режимов переключения водонепроницаемый масштабируемый Велосипедный свет испо...	14011 продано	325,06 - 1 086,68 руб.	//aliexpress.ru/item/32802300474.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-13&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33037770282	Coba мини пистолет подарок брелок флэш-светильник 2 режима светодиодный светильник и инфракрасный светильник 3 * Кнопка батареи интересные ук...	242 продано	204,84 руб.	//aliexpress.ru/item/33037770282.html?s=p&ad_pvid=2020092400274614395723681557180002849439_3&algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-14&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000619567213	Портативный светодиодный светильник, перезаряжаемый, светодиодный, с солнечной зарядкой	484 продано	109,15 - 1 456,03 руб.	//aliexpress.ru/item/4000619567213.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-15&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33057742994	Z90S 2000 люмен светодиодный мини-фонарик, светодиодный фонарь CREE Q5, боевой фонарь AA с регулируемым зумом и фокусом, водонепроницаемый	2008 продано	202,47 руб.	//aliexpress.ru/item/33057742994.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-16&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001119513579	Светодиодный фонарик ZHIYU, перезаряжаемый через USB, XML T6, с аккумулятором 18650, для активного отдыха, кемпинга, мощный светодиодный фонарик, опто...	132 продано	226,99 - 492,73 руб.	//aliexpress.ru/item/4001119513579.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-17&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001285064109	Светодиодный мини фонарик брелок портативный фонарь на открытом воздухе водонепроницаемый Встроенный аккумулятор USB Перезаряжаемый Пешие...	1072 продано	153,44 руб.	//aliexpress.ru/item/1005001285064109.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-18&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001269426049	Светодиодный налобный фонарь T6/L2/V6, водонепроницаемый фонарь, 4 режима, налобный фонарь, фонарик для использования, перезаряжаемый аккумуля...	39 продано	136,04 - 1 343,72 руб.	//aliexpress.ru/item/1005001269426049.html?s=p&ad_pvid=2020092400274614395723681557180002849439_4&algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-19&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001147934495	Встроенный аккумулятор светодиодный светильник для вспышки USB Перезаряжаемый T6 COB фонарь Zoom 5 режимов светильник для вспышки Магнитный прит...	1171 продано	272,07 - 406,52 руб.	//aliexpress.ru/item/4001147934495.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-20&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000551633690	2 COB фара автомобиля проверить светильник светодиодный налобный фонарь головки вспышки света светильник USB перезаряжаемые фары USB магнит ра...	4245 продано	171,63 - 1 148,37 руб.	//aliexpress.ru/item/4000551633690.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-21&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000382695644	Мини XPE + COB светодиодный налобный фонарь, портативный фонарь, встроенный USB перезаряжаемый аккумулятор 18650, Lanterm, наружный кемпинг, туризм, но...	5996 продано	270,49 - 727,62 руб.	//aliexpress.ru/item/4000382695644.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-22&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000136792681	Налобный светильник Z35T13, светодиодный, 6400 люмен, CREE XML 3/5, T6, с зарядным устройством 8650 переменного/постоянного тока	153 продано	563,91 - 1 341,35 руб.	//aliexpress.ru/item/4000136792681.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-23&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001422981965	Многофункциональный светодиодный COB флэш-светильник, мини-рабочий светильник, инспекционный фонарь es, держатель для ручки, магнитная лампа,...		132,08 руб.	//aliexpress.ru/item/1005001422981965.html?s=p&ad_pvid=2020092400274614395723681557180002849439_5&algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-24&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001144192612	SKILHUNT E3A 100 лм AAA брелок светодиодный светильник, вспышка, мини светодиодная подсветка ключа светильник, фонарь, уличный, Повседневный, кемпин...	562 продано	649,32 - 760,84 руб.	//aliexpress.ru/item/4001144192612.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-25&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33053039423	Светодиодный светильник-вспышка, фонарь-палатка, светильник крючок для лампы для активного отдыха, кемпинга, походов, рыбалки, аварийный св...	404 продано	139,20 руб.	//aliexpress.ru/item/33053039423.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-26&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33048502842	Фонарик, светодиодный, компактный, перезаряжаемый, водонепроницаемый, с 3 режимами работы	9154 продано	216,71 - 361,44 руб.	//aliexpress.ru/item/33048502842.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-27&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000238809299	Светодиодный фонарь T6, перезаряжаемый от USB, светодиодный, встроенный литиевый аккумулятор 1200 мАч, водонепроницаемый, для кемпинга, масштаб...	6198 продано	232,53 - 387,54 руб.	//aliexpress.ru/item/4000238809299.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-28&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000020003530	7000 люмен, светодиодный налобный фонарь для рыбалки, кемпинга, фара высокой мощности, налобный фонарь, масштабируемый, USB, фонарик 18650	1139 продано	750,56 - 2 273,01 руб.	//aliexpress.ru/item/4000020003530.html?s=p&ad_pvid=2020092400274614395723681557180002849439_6&algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-29&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001289710425	Сенсор головной светильник Кемпинг светодиодная вспышка светильник головной светильник Фонарь лампы USB Перезаряжаемые светодиодный налоб...	223 продано	180,33 - 1 214,02 руб.	//aliexpress.ru/item/4001289710425.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-30&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001111776301	ZHIYU 5 режимов COB рабочий фонарик, светодиодный фонарь, ремонтные лампы для автомобилей, USB перезаряжаемые магнитные вращающиеся на 360 градусо...	1457 продано	410,48 - 884,22 руб.	//aliexpress.ru/item/4001111776301.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-31&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001309313514	Лучшая продажа удобный светодиодный водонепроницаемый фонарь на открытом воздухе аварийный флэш-светильник лампа многоцветный Мини-свети...	42 продано	93,33 руб.	//aliexpress.ru/item/1005001309313514.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-32&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000438417110	Litwod Z30 светодиодные фары для наружного кемпинга портативный мини XPE + COB налобный фонарь USB зарядка рыболовный свет для 18650	2670 продано	353,53 - 805,13 руб.	//aliexpress.ru/item/4000438417110.html?algo_pvid=2b8d6f22-91f3-409e-99dc-12ec58f687b2&algo_expid=2b8d6f22-91f3-409e-99dc-12ec58f687b2-33&btsid=0b8b035916009324663471028e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
