id	description	number_of_orders	price	url
4000170106637	Американский Ретро подвесной светильник индустриальный Декор Лофт винтажный железный подвесной светильник для кафе бара освещение для по...	32 продано	754,51 - 1 410,95 руб.	//aliexpress.ru/item/4000170106637.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-1&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000203040489	1/2/3/4/5/10 метров пеньковая веревка провода античная плетеный витой кабель освещения висит живой Rong состоящий из плетеного Шелкового гибкий п...	28 продано	224,62 - 956,98 руб.	//aliexpress.ru/item/4000203040489.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-2&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000050248356	Современный подвесной светильник с железной сеткой для ресторана, гостиной, светодиодная Подвесная лампа, простые Кухонные светильники, св...	117 продано	657,23 руб.	//aliexpress.ru/item/4000050248356.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-3&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33026338454	Потолочная люстра, светодиодная, длинная, для кухни, ресторана, бара, конуса, декоративная люстра, прикроватная люстра	326 продано	2 712,75 - 51 542,11 руб.	//aliexpress.ru/item/33026338454.html?s=p&ad_pvid=2020092322262311093669192982960002819249_1&algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-4&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000377578993	Подвесные светильники Железная Клетка Подвесные светильники чердак макарун цветное светодиодное освещение Металл Крытый черный белый жел...		461,09 - 4 401,29 руб.	//aliexpress.ru/item/10000377578993.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-5&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32999025543	Скандинавский креативный Индивидуальный Светодиодный светильник с одной головкой E27, золотой подвесной светильник для гостиной, прикроват...	16 продано	1 474,22 - 2 942,10 руб.	//aliexpress.ru/item/32999025543.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-6&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001355570330	Светодиодный светильник 220 В Светодиодный точечный светильник поверхностного монтажа Потолочный светильник 5 Вт 10 Вт 15 Вт потолочный свети...	152 продано	242,02 - 402,57 руб.	//aliexpress.ru/item/4001355570330.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-7&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32999779655	Kaguyahime мини/Осьминог/круглый светодиодный светильник, источник модуля 220 В 12 Вт 16 Вт 18 Вт 24 Вт, светильник для замены, точечный светодиодный св...	10 продано	142,36 - 362,23 руб.	//aliexpress.ru/item/32999779655.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-8&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32975261012	Потолочный светильник с регулируемой яркостью 5 Вт 7 Вт 9 Вт 12 Вт 15 Вт 18 Вт 24 Вт 30 Вт 36 Вт AC85-265V светильник COB Светодиодный точечный светильник + ...	10 продано	234,11 - 1 445,75 руб.	//aliexpress.ru/item/32975261012.html?s=p&ad_pvid=2020092322262311093669192982960002819249_2&algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-9&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000689720069	Светодиодный светильник 45 Вт E27 220 в 30 Вт 60 Вт, домашний энергосберегающий подвесной светильник высокой яркости, Складной вентилятор, светод...	514 продано	335,34 - 825,69 руб.	//aliexpress.ru/item/4000689720069.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-10&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000090565709	Подвесные светильники в современном скандинавском стиле, черные железные подвесные светильники в стиле ретро, в стиле лофта, в виде пирамид...	169 продано	400,19 - 4 306,38 руб.	//aliexpress.ru/item/10000090565709.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-11&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000831065077	Подвесные светильники, лампа для украшения гостиной, Подвесная лампа E27, деревянный Железный Ресторан, Бар, кафе, ресторан, скандинавский	33 продано	1 565,96 - 2 174,94 руб.	//aliexpress.ru/item/4000831065077.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-12&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000307466241	Лофт винтажные подвесные лампы железная клетка подвесной светильник s Ретро домашний деко подвесные светильники кухонный светильник свети...	103 продано	633,51 - 3 131,92 руб.	//aliexpress.ru/item/4000307466241.html?algo_pvid=ab7095d6-98cf-46fe-986b-d88d9ed691b2&algo_expid=ab7095d6-98cf-46fe-986b-d88d9ed691b2-13&btsid=0b8b034c16009251832166623e3004&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
