id	description	number_of_orders	price	url
4000841567555	Гирлянда, светодиодная, белая на проволоке, с питанием от батарейки, 10 м	43 продано	70,39 - 189,82 руб.	//aliexpress.ru/item/4000841567555.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-0&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32871648423	Гирлянда, светодиодная для уличного декора, 10/20/30/50/100 м	2829 продано	145,53 - 1 860,96 руб.	//aliexpress.ru/item/32871648423.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-1&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001261455577	гирлянда светодиодная бутылки вина с пробкой освещение в помещении для вечерние свадьбы Рождество Хэллоуин Бар украшения пробка для бутыл...	21 продано	65,65 - 96,49 руб.	//aliexpress.ru/item/4001261455577.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-2&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32890021915	2 м 5 м 10 м светодиодный светильник с серебряной проволокой Рождественский гирлянда светодиодный светильник Феи рождественские украшения д...	7614 продано	158,97 - 296,59 руб.	//aliexpress.ru/item/32890021915.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-3&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001470747287	Праздничные светодиодные Рождественские огни, наружные 10 м 20 м светодиодные гирлянды, украшения для вечерние, праздничные, Свадебные гирля...		383,59 - 807,50 руб.	//aliexpress.ru/item/1005001470747287.html?s=p&ad_pvid=20200924033830248152367804500003346493_1&algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-4&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000922456227	Гирлянда, светодиодная, 2 м/5 м/10 м	2035 продано	136,04 - 381,21 руб.	//aliexpress.ru/item/4000922456227.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-5&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000183338198	Светодиодная гирлянда лампочки штора Рождественская декор новогодние гирлянды с пультом дистанционного управления сказочные огни новый г...	10665 продано	461,88 - 648,53 руб.	//aliexpress.ru/item/4000183338198.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-6&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1000006681837	Гирлянда на батарейках, светильники в форме винных бутылок с пробкой 2 м 20 светодиодный медный провод, яркие гирлянды, вечерние гирлянды для ...	1186 продано	79,88 - 97,28 руб.	//aliexpress.ru/item/1000006681837.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-7&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001191985614	USB/батарея мощность LED мяч гирлянда огни сказочные водонепроницаемые наружные лампы Рождество праздник свадьба Вечеринка огни украшения	1236 продано	205,64 - 794,85 руб.	//aliexpress.ru/item/4001191985614.html?algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-8&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001373658369	1,5x1,5 м 2x2 м 3x2 м 6x4 м сетки светильник светодиодный Сетка Строка светильник Фея светильник гирлянда Шторы Рождество Свадебная вечеринка празд...		508,55 - 2 362,38 руб.	//aliexpress.ru/item/1005001373658369.html?s=p&ad_pvid=20200924033830248152367804500003346493_2&algo_pvid=1f6da462-f6ed-4b55-ab88-95bc674d8b76&algo_expid=1f6da462-f6ed-4b55-ab88-95bc674d8b76-9&btsid=0b8b035916009439097314633ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
