id	description	number_of_orders	price	url
32953654834	Фитолампа 4 Вт 6 Вт 8 Вт E27, светодиодный светильник E14, лампа GU10, светодиодный светильник 2835SMD B22 для выращивания растений MR16	3 продано	82,26 - 121,01 руб.	//aliexpress.ru/item/32953654834.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-0&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001314619093	30 Вт/45 Вт/60 Вт лампада светодиодный потолочный светильник для гостиной, гаража, светодиодный светильник E27 220 В, без мерцания, Складной вентил...	6 продано	295,01 - 392,28 руб.	//aliexpress.ru/item/1005001314619093.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-1&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001395445426	Полный спектр Светодиодная лампа для роста растений лампы освещение для vegs hydro цветок теплицы Veg Крытый сад E27 фитооград growbox		76,72 - 374,09 руб.	//aliexpress.ru/item/1005001395445426.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-2&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32958352178	Фитолампа GU10 E27, светодиодный светильник полного спектра для выращивания растений MR16, светодиодные лампы для рассады 48, 60, 80 светодиодов, B22, ...	1059 продано	83,84 - 113,10 руб.	//aliexpress.ru/item/32958352178.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-3&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000570803163	Полный комплект для выращивания растений, светодиодный светильник 1000 Вт 2000 Вт + многоразмерная гидропонная система выращивания растений	168 продано	9 638,54 - 60 146,96 руб.	//aliexpress.ru/item/4000570803163.html?s=p&ad_pvid=202009240225272569955413317210003227512_1&algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-4&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000621636520	Светодиодный светильник полного спектра для выращивания растений, USB, светодиодный, 2835 SMD, 0,5 м, 1 м, 2 м	1723 продано	90,96 - 655,65 руб.	//aliexpress.ru/item/4000621636520.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-5&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32879240087	Светодиодный Grow светильник полный спектр USB растет светильник полосы 0,5 HDMI кабель 1 м 2 м 3 м 2835 SMD DC5V светодиодный Фито лента для семян растени...	3351 продано	87 - 586,84 руб.	//aliexpress.ru/item/32879240087.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-6&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001377183421	USB Светодиодная лампа для выращивания растений 5 В 2,5 Вт полный спектр света серебристый корпус для гидропоники системы теплицы Зеленый заво...		52,99 - 143,16 руб.	//aliexpress.ru/item/1005001377183421.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-7&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000583211778	Светодиодный светильник для выращивания растений, фитолампа полного спектра, Светодиодная лента 0,5 м, 1 м, 2 м, 3 м, 2835	444 продано	93,33 - 428,67 руб.	//aliexpress.ru/item/4000583211778.html?algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-8&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001270114712	Супер яркий швейный светильник для швейной машины 10/20/30 светодиодный Многофункциональный гибкий светильник для рабочей лампы для верстака ...		268,91 - 302,12 руб.	//aliexpress.ru/item/1005001270114712.html?s=p&ad_pvid=202009240225272569955413317210003227512_2&algo_pvid=e55d69fd-81f3-4c08-8290-fbff04545817&algo_expid=e55d69fd-81f3-4c08-8290-fbff04545817-9&btsid=0b8b15cb16009395269628273e618f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
