id	description	number_of_orders	price	url
32990130701	Светодиодная лента, гибкая светящаяся лента 2835SMD для подсветки ТВ, 0,5/1/2/3/4/5 м, 5 В пост. тока	36985 продано	166,88 - 522,78 руб.	//aliexpress.ru/item/32990130701.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-0&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001132192300	Bluetooth 1 м-5 м USB Светодиодная лента лампа 2835SMD RGB светодиодный светильник s Лента ТВ черный светильник 5 в светодиодный светильник	1070 продано	197,73 - 703,89 руб.	//aliexpress.ru/item/4001132192300.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-1&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32814595936	Светодиодная гирлянда 10 м, 33 фута, 100 светодиодов, 5 В, с питанием от USB, водонепроницаемая медная проволока, гирлянда, рождественские празднич...	127 продано	189,82 - 210,38 руб.	//aliexpress.ru/item/32814595936.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-2&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000812630547	1 м, 2 м, 5 м, светильник для гардероба, лента с ИК-датчиком движения, ночной Светильник для кровати, кабинета, лестницы, светильник на батарейка...	234 продано	79,88 - 591,59 руб.	//aliexpress.ru/item/4000812630547.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-3&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1845745683	3 Вт, 4 Вт, 6 Вт, 9 Вт, 12 Вт, 15 Вт, 18 Вт, 25 Вт светодиодный панельный светильник s Точечный светильник на плоской подошве Встроенный светодиодный св...		269,70 - 1 925,02 руб.	//aliexpress.ru/item/1845745683.html?s=p&ad_pvid=202009232310255444997516946730002884367_1&algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-4&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000756318412	Светодиодная лента с Bluetooth, светильник s, 20 м, RGB, 5050 SMD, гибкая лента, водонепроницаемый, RGB, светодиодный светильник, 5 м, 10 м, диод, DC, 12 в, управле...	37193 продано	339,30 - 3 108,19 руб.	//aliexpress.ru/item/4000756318412.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-5&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000799816311	5 В USB Светодиодная лента 1 м 2 м 3 м 4 м 5 м теплый белый/RGB Светодиодная лента 2835 ТВ фоновое освещение декорацион сказочные огни.	3354 продано	96,49 - 564,70 руб.	//aliexpress.ru/item/4000799816311.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-6&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001354535423	Новый WIFI светодиодный ленточный светильник RGB 5050/2835 гибкая лента Fita RGB светодиодный светильник s Лента диод 20 м-5 м DC 12 В и WIFI контроллер	803 продано	377,26 - 3 141,41 руб.	//aliexpress.ru/item/1005001354535423.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-7&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000809198321	Светодиодная лента, водонепроницаемая, теплая, белая, SMD, 1/2/5/10/20/25/220 В	427 продано	132,08 - 2 944,48 руб.	//aliexpress.ru/item/4000809198321.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-8&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32924407690	Светодиодный светильник в виде ленты, 2 м, 5 м, 10 м, 3 АА батареи	5451 продано	85,42 - 222,24 руб.	//aliexpress.ru/item/32924407690.html?algo_pvid=71875317-e7e0-4c6e-869c-bbb7aa80b72c&algo_expid=71875317-e7e0-4c6e-869c-bbb7aa80b72c-10&btsid=0b8b15ea16009278253137736e5ae1&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
