id	description	number_of_orders	price	url
32962476908	Ночник, светодиодный с мини-датчиком управления, вилкой для ЕС/США, 110/220 В	10943 продано	132,08 - 157,39 руб.	//aliexpress.ru/item/32962476908.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-0&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000151205611	2019 милый смайлик облака с изображением ясного звездного успокоить свечения ночного светильник кормления светильник Детские спальные Игру...	1802 продано	118,64 - 272,07 руб.	//aliexpress.ru/item/4000151205611.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-1&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000505473235	Светодиодный ночник для украшения дома, с датчиком движения		75,93 - 234,11 руб.	//aliexpress.ru/item/4000505473235.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-2&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001174074087	Умная Ночная лампа с датчиком движения PIR, 16 цветов, водонепроницаемый туалетный светильник, светодиодный светильник для человеческого тел...	26 продано	180,33 - 200,10 руб.	//aliexpress.ru/item/4001174074087.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-3&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000666725275	Постсовременный настенный светильник, роскошный настенный светильник для гостиной, прикроватный настенный персонализированный стеклянны...	28 продано	4 009,80 - 13 880,07 руб.	//aliexpress.ru/item/4000666725275.html?s=p&ad_pvid=2020092400034815608171752897230002977193_1&algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-4&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001291070089	Новинка Слон светильник ing светодиодный ночной Светильник для детей, для малышей и детей постарше 7 Цвета Сменные Переключатель ночника адв...		207,22 руб.	//aliexpress.ru/item/4001291070089.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-5&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32806544266	Ночник, новый, модный, романтичный, 0,5 Вт, для детей, светодиодный, аварийный, сухой аккумулятор	488 продано	120,22 руб.	//aliexpress.ru/item/32806544266.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-6&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32801308716	Новинка, Ночной светильник с вилкой Стандарта ЕС и США, Индукционная лампа с грибным грибом Dream, 220 В, 3 светодиодный ночник с грибами	1446 продано	99,66 руб.	//aliexpress.ru/item/32801308716.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-7&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33038987306	Светодиодный настольный светильник, Складная Настольная лампа с регулируемой яркостью DC5V, USB питание, Настольный светильник 6000K, Ночной све...	3630 продано	315,57 руб.	//aliexpress.ru/item/33038987306.html?algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-8&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32970133909	Скандинавский современный минималистичный креативный индивидуальный стеклянный гостиной, Круглый настенный светильник для спальни, моде...	25 продано	4 194,87 руб.	//aliexpress.ru/item/32970133909.html?s=p&ad_pvid=2020092400034815608171752897230002977193_2&algo_pvid=3d4a1422-cc75-46ff-969c-294d7b9797fc&algo_expid=3d4a1422-cc75-46ff-969c-294d7b9797fc-9&btsid=0b8b035916009310286291338e26ef&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
