id	description	number_of_orders	price	url
32999308072	Светодиодный инженерный светильник 10 Вт 20 Вт 30 Вт 50 Вт 100 Вт, рабочий светильник IP68Waterproof, 220 В 230 в 240 В, прожектор, точечный светильник, уличный ...	9 продано	228,57 - 1 685,39 руб.	//aliexpress.ru/item/32999308072.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-0&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32999252507	Водонепроницаемый IP68 Светодиодный рабочий светильник 10 Вт 20 Вт 30 Вт 50 Вт 100 Вт, инженерный светильник 220 в 230 в 240 В, светодиодный уличный свети...	45 продано	221,45 - 1 289,15 руб.	//aliexpress.ru/item/32999252507.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-1&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32999224644	Светодиодный инженерный светильник 220 в 230 в 240 В, 10 Вт 20 Вт 30 Вт 50 Вт 100 Вт, рабочий светильник s, отражатель уличного освещения, IP68 Водонепрониц...	64 продано	221,45 - 1 289,15 руб.	//aliexpress.ru/item/32999224644.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-2&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000284910666	Kd-7910 акне лазерная ручка машина Blu-Ray акне ручка портативный удаление морщин токсинов Лечение массаж нержавеющая ручка массаж		109,94 руб.	//aliexpress.ru/item/4000284910666.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-3&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32999188659	AC 220V 230V 240V светодиодный инженерный светильник 10W 20W 30W 50W 100W прожектор светильник s лампа водонепроницаемый IP68 отражатель светодиодный наружн...	7 продано	228,57 - 1 685,39 руб.	//aliexpress.ru/item/32999188659.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-5&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000818258032	Отражатель прожектор датчик движения светодиодный прожектор водонепроницаемый наружный Настенный Сад 10 Вт 20 Вт 30 Вт 50 Вт 100 Вт 220 В светодио...	88 продано	348 - 2 211,33 руб.	//aliexpress.ru/item/4000818258032.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-6&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33014839324	Рождество наружное освещение 20 Вт, 30 Вт, 50/100 м светодиодный уличный гирлянда Фея гирлянда, декор для сада парка вход 8 Изменение Световой	60 продано	238,06 - 3 752,76 руб.	//aliexpress.ru/item/33014839324.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-7&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000628243270	Светодиодный фонарь безопасности дорожного движения, аварийный светильник	6 продано	575,77 руб.	//aliexpress.ru/item/4000628243270.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-8&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000322142353	DELIXI B светодиодный 62-I светодиодный взрывозащищенный светильник 30 Вт 40 Вт 50 Вт AC 220 В ip66 WF1 огнестойкий тип круговой промышленный светильник		4 046,18 - 4 115,78 руб.	//aliexpress.ru/item/4000322142353.html?s=p&ad_pvid=2020092405322613204791054675090000210032_2&algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-9&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000186042791	5 шт./10 шт./15 шт./20 шт./лот, профессиональный настенный светильник для кухни, 220 В, 3 светодиода	25 продано	378,05 - 786,94 руб.	//aliexpress.ru/item/4000186042791.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-10&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001111738648	Промышленный светодиодный светильник ing E27, 220 В, 20 Вт, 30 Вт, 50 Вт, водонепроницаемый, светодиодный, высокий, для склада, сада, гаража, светодиод...	5 продано	1 315,25 - 1 558,84 руб.	//aliexpress.ru/item/4001111738648.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-11&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000463730327	Супер яркий светодиодный светильник для гаража, промышленная лампа E27, водонепроницаемый IP68, гаражная лампа, лампа для гаража, светодиодный ...	16 продано	530,69 - 1 856,22 руб.	//aliexpress.ru/item/4000463730327.html?algo_pvid=cf01c7f1-338b-4023-9648-77be38c2a5d5&algo_expid=cf01c7f1-338b-4023-9648-77be38c2a5d5-12&btsid=0b8b035916009507465213535ea7b2&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
