id	description	number_of_orders	price	url
32885435388	Бесплатный подарок! Оригинальный мобильный телефон Apple iphone, разблокированный с фабрики, 8 ГБ/16 ГБ/32 ГБ/64 ГБ, 3G GSM Wi-Fi GPS, 8 Мп, экран 3,5 дюйма, iOS, б/у	66 продано	3 185,04 - 4 608,65 руб.	//aliexpress.ru/item/32885435388.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-0&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001279753322	Оригинальный Apple iPhone 7 б/у разблокирован четырехъядерный мобильный телефон 2 Гб ОЗУ 32/128/256 ГБ ROM 12.0MP по отпечатку пальца смарт-чехол для телефо...	20 продано	14 164,53 - 18 437,70 руб.	//aliexpress.ru/item/1005001279753322.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-1&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32861437045	"Оригинальный разблокированный Apple iPhone SE, 4G LTE мобильный телефон, iOS 4,0 "", 12.0-мегапиксельная сенсорная идентификация, двухъядерный процессор A9, ..."	42 продано	7 465,22 - 10 031,46 руб.	//aliexpress.ru/item/32861437045.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-2&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32997095070	Оригинальный разблокированный APPLE iPhone, 16 ГБ/32 ГБ/64 Гб ПЗУ, 8 Мп, Touch ID, iCloud, приложение Store, Wi-Fi, GPS, 4,0 дюйма, сканер отпечатка пальца, IOS, Заводская ...	16 продано	5 927,96 - 7 542,27 руб.	//aliexpress.ru/item/32997095070.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-3&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001343482758	"Б/у Оригинальный разблокированный Apple iPhone 6/6plus смартфон 16 Гб/64/128 Гб ROM 4 аппарат не привязан к оператору сотовой связи 4,7/5,5 ""мобильный телефон ..."	15 продано	9 323,15 - 14 998,93 руб.	//aliexpress.ru/item/1005001343482758.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-4&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000265469606	Оригинальный телефон Apple iPhone 7/iPhone 7 plus, класс А, разблокированный, 3 Гб ОЗУ, четырёхъядерный, 12 МП, IOS, сканер отпечатка пальца/без отпечатка пал...	11 продано	12 920,71 - 28 020,82 руб.	//aliexpress.ru/item/4000265469606.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-5&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001094193202	Оригинальный Смартфон Apple iPhone 6, б/у, 1 ГБ ОЗУ 16/64/128 Гб ПЗУ, сканер отпечатка пальца, LTE, 1,3 МП мобильный телефон	10 продано	9 184,61 - 10 868,97 руб.	//aliexpress.ru/item/4001094193202.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-6&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001262686731	Разблокированный Apple iPhone 6/6-плюс б/у модных оригинальных чехлов для сотовых телефонов с телефонам IOS 16 Гб/64/128 ГБ двухъядерный распознавать от...	61 продано	9 059,29 - 14 801,22 руб.	//aliexpress.ru/item/4001262686731.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-7&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000328662245	Мобильный телефон Apple Iphone SE A1662 A1723, двухъядерный, 16 ГБ 32 ГБ 64 Гб ПЗУ 2 Гб ОЗУ, разблокировка, б/у	96 продано	9 095,09 - 11 313,41 руб.	//aliexpress.ru/item/4000328662245.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-8&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001344161267	Разблокированный мобильный телефон Apple iPhone 7 iPhone 7 Plus, 4G LTE, 32/128 ГБ ROM, iOS 12.0MP камера, четырехъядерный смартфон	7 продано	14 307,74 - 26 571,52 руб.	//aliexpress.ru/item/1005001344161267.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-9&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000850070401	Оригинальный разблокированный Iphone 6, Apple iPhone 6 дюймов, 4,7 LTE, сканер отпечатков пальцев, 4G мобильный телефон, 16 ГБ/64 Гб/128 ГБ, IOS, Wi-Fi, 1080P, 8 Мп, двухъ...	65 продано	8 607,07 - 10 606,66 руб.	//aliexpress.ru/item/4000850070401.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-10&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32809567829	Оригинальный разблокированный Apple iPhone 6 сотовые телефоны 4,7 ''дюймовый IPS, 1 Гб оперативной памяти, 16 ГБ/64/128 ГБ ROM GSM WCDMA LTE iPhone6/мобильный телефон	38 продано	9 320,82 - 11 506,44 руб.	//aliexpress.ru/item/32809567829.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-11&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32842020362	Оригинальный разблокированный iPhone 6 Plus, мобильный телефон Apple 6P, 16 Гб, 64 Гб, 128 Гб, 5,5 дюйма, iOS, 3G, WCDMA, 4G, LTE, камера 8 Мп, 1 Гб ОЗУ, Wi-Fi, GPS	443 продано	8 666,22 - 13 729,43 руб.	//aliexpress.ru/item/32842020362.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-12&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000619112006	Оригинальный Смартфон Apple iPhone, разблокированный, 4,0 дюйма, 640x1136px, двухъядерный, 64 Гб ПЗУ, IOS, GPS, Bluetooth, мобильный телефон, бесплатная доставка		6 576,33 - 7 720,52 руб.	//aliexpress.ru/item/4000619112006.html?algo_pvid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5&algo_expid=2950b2a4-b3a3-4e05-97a6-01fa8bcf3ef5-13&btsid=0b0a182b16006770909445904e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
