id	description	number_of_orders	price	url
4001273009062	3,5 мм, одна минуты, два Разветвитель для наушников, кабели, y-образный аудиоадаптер, 2 в 1, поворотный конвертер, TXTB1		31,14 - 56,05 руб.	//aliexpress.ru/item/4001273009062.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-0&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
10000374749044	2 шт. Универсальный Usb-Type C адаптер для Android Mobile Mini Type-C Jack сплиттер Смартфон USB C разъемы OTG конвертер	1500 продано	18,69 - 45,15 руб.	//aliexpress.ru/item/10000374749044.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-1&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000178689676	T-образные наушники 2 в 1, два порта для наушников, адаптер для iPhone 7 8 Plus X XS Xs Max 11, аудио зарядное устройство, Диспенсер, аксессуары	26562 продано	68,50 - 123,76 руб.	//aliexpress.ru/item/4000178689676.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-2&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000995397613	Магнитный Micro USB кабель для iPhone Samsung Android Быстрая зарядка магнит Зарядное устройство USB Type C кабель Мобильный телефон провод	6101 продано	18,69 - 75,51 руб.	//aliexpress.ru/item/4000995397613.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-3&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000587078878	UGREEN Магнитный зарядный кабель Быстрая зарядка USB Type C кабель Магнит Micro USB кабель для зарядки данных мобильный телефон USB шнур	23983 продано	93,41 - 289,55 руб.	//aliexpress.ru/item/4000587078878.html?s=p&ad_pvid=202009210234463319000624970880000034316_1&algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-4&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001151279896	Защитное стекло, закаленное стекло 500D для iphone SE 2020 6 6S 7 8 Plus X XR 11 Pro XS Max	15259 продано	73,17 руб.	//aliexpress.ru/item/4001151279896.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-5&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001019326180	Защитное стекло с закругленными краями 2000D, закаленное стекло с полным покрытием для iPhone 6 6S 7 8 Plus, iPhone 7 8 SE 2020, пленка, чехол	2388 продано	73,17 руб.	//aliexpress.ru/item/4001019326180.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-6&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001282160467	3 шт.! Защитное стекло для Vivo V9 V11 V15 V17 Neo Pro прозрачное стекло для смартфона Vivo X23 X27 X30 Pro	34 продано	60,72 - 154,90 руб.	//aliexpress.ru/item/1005001282160467.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-7&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001353263127	200D полное покрытие закаленное стекло для Huawei Honor 9 10 20 Lite Защита экрана для Honor 8C 8X 8A 9i 10i 20i стекло Flim	1947 продано	59,94 - 73,17 руб.	//aliexpress.ru/item/4001353263127.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-8&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32436802966	Новые HD 37 ММ 0.45x Супер Широкоугольный Объектив с 12.5x Супер Макро-Объектив для iPhone 6 Plus 5S 4S Samsung S6 S5 Примечание 4 объектива Камеры комплект	1443 продано	649,93 руб.	//aliexpress.ru/item/32436802966.html?s=p&ad_pvid=202009210234463319000624970880000034316_2&algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-9&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001270408183	3,5 мм Джек аудио кабель-адаптер для iPhone X XS Max 8, 7, 11 наушников Aux кабель Splitter Игровые наушники для IOS аксессуары для конвертеров	7843 продано	84,85 руб.	//aliexpress.ru/item/1005001270408183.html?algo_pvid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05&algo_expid=dfaadfaa-6eb5-4516-a6f8-5f33c1d41f05-10&btsid=0b0a182b16006808858715320e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
