id	description	number_of_orders	price	url
4001359312938	YKZ 10000mAh Powerbank LED дисплей портативное зарядное устройство Быстрая Внешняя батарея банк питания для iPhone Xiaomi iPhone USB Type C Мощность		965,03 - 991,77 руб.	//aliexpress.ru/item/4001359312938.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-0&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001236065028	Солнечный внешний аккумулятор, водонепроницаемый, 30000 мАч, солнечное зарядное устройство, 2 usb-порта, Внешнее зарядное устройство для смартф...	62 продано	788,07 руб.	//aliexpress.ru/item/4001236065028.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-1&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001425405664	YKZ внешний аккумулятор 10000 мАч Тип C Usb мини портативное зарядное устройство для путешествий банк питания быстрая зарядка мобильный телефон ...		785,71 - 1 367,72 руб.	//aliexpress.ru/item/1005001425405664.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-2&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001287813710	YKZ 10000 мАч Внешний аккумулятор портативный USB Type C Мини Внешний аккумулятор быстрая зарядка мобильный телефон зарядное устройство Micro USB внеш...	469 продано	850,20 - 896,61 руб.	//aliexpress.ru/item/1005001287813710.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-3&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000570637892	FPU внешний аккумулятор 20000 мАч портативное зарядное устройство 20000 мАч мобильный телефон внешний аккумулятор повербанк для Xiaomi mi	4998 продано	1 068,06 - 1 222,22 руб.	//aliexpress.ru/item/4000570637892.html?s=p&ad_pvid=2020092202491212072890692998460000168719_1&algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-4&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001235980549	Ультра Powerbank зарядное устройство 12000mah Банк самый низкий 18650 Внешний Аккумулятор bateria портативный резервный аккумулятор для iphone8 Huawei 5G	427 продано	439,65 руб.	//aliexpress.ru/item/4001235980549.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-5&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001219337467	Для Xiaomi Samsung iphone XS 30000mah внешний аккумулятор повербанк 2 USB LED Powerbank Портативный мобильный телефон зарядное устройство	403 продано	788,07 руб.	//aliexpress.ru/item/4001219337467.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-6&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33044850111	Портативное зарядное устройство FLOVEME, внешний аккумулятор 10000 мАч для телефонов Samsung, Xiaomi, панк питания	5630 продано	590,66 - 738,52 руб.	//aliexpress.ru/item/33044850111.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-7&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001438712431	30000 мАч Внешний аккумулятор портативное зарядное устройство 30000 мАч Внешний аккумулятор зарядное устройство для Xiaomi Mi 9 iPhone 11 Max		703,13 руб.	//aliexpress.ru/item/1005001438712431.html?algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-8&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001228208989	80000 мАч портативное зарядное устройство большой емкости внешняя батарея 4USB LEDDigital Display PowerBank для Xiaomi MI IPhone	272 продано	1 007,50 руб.	//aliexpress.ru/item/4001228208989.html?s=p&ad_pvid=2020092202491212072890692998460000168719_2&algo_pvid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb&algo_expid=6a7c5ef1-111e-47f0-b5cb-e86453b37acb-9&btsid=0b0a050b16007681525676171e496f&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
