id	description	number_of_orders	price	url
4001308844267	"Отремонтированный UMIDIGI Z2 Special Edition Helio P23 2,0 ГГц 19:9 6,2 ""FHD + полный Экран 4 Гб + 64 ГБ Android 8,1 телефон 18 Вт с распознаванием лица"	23 продано	6 809,84 руб.	//aliexpress.ru/item/4001308844267.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-0&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32870054796	"Разблокированный оригинальный Nokia C2-01 мобильный телефон C2 2,0 ""3.2MP Bluetooth русская и арабская клавиатура GSM/WCDMA 3G телефон отремонтирован"	441 продано	1 920,99 - 2 255,68 руб.	//aliexpress.ru/item/32870054796.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-1&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001414651400	Глобальная версия Xiaomi Redmi 2 4,0 Bluetooth 2 Гб 16 Гб Две камеры смартфон NFC 2200 мАч Qualcomm Snapdragon 410 четырехъядерный телефон		3 826,40 руб.	//aliexpress.ru/item/1005001414651400.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-2&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001414433426	Глобальная версия смартфона Xiaomi Redmi Note 3, 3 ГБ, 32 ГБ, 4000 мАч, четырехъядерный процессор Qualcomm Snapdragon 650		5 447,72 руб.	//aliexpress.ru/item/1005001414433426.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-3&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001200212266	Nokia 105 2G GSM отремонтированный телефон 1,77 дюйма с двумя sim-картами 32 Мб 800 мАч FM калькулятор сигнализация разблокировка мобильный телефон с кам...	63 продано	1 062,46 - 1 555,94 руб.	//aliexpress.ru/item/4001200212266.html?s=p&ad_pvid=202009210206492330544723645420000219737_1&algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-4&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001432155600	"A530F оригинальный Samsung Galaxy A8 (2018) Duos мобильный телефон 5,6 ""Octa Core, 4 Гб оперативной памяти, 32 Гб встроенной памяти, LTE 16MP Dual SIM разблокированный сото..."		11 244,14 руб.	//aliexpress.ru/item/1005001432155600.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-5&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001273203248	X4 (2019) оригинальный LG K40 LTE 4G 5,7 дюйма 2 Гб Оперативная память 32GB Встроенная память Восьмиядерный 16MP с одной SIM-картой, определение отпечатка па...	6 продано	5 833,78 руб.	//aliexpress.ru/item/1005001273203248.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-6&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32757464542	"Оригинальный Samsung Galaxy J7 разблокированный Duos GSM 4G LTE Android мобильный телефон Octa Core Dual Sim 5,5 ""RAM 1,5 GB ROM 16GB Восстановленный"	26 продано	6 844,87 - 7 623,22 руб.	//aliexpress.ru/item/32757464542.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-7&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32856970666	Оригинальный разблокированный LG V10 H900 H901 F600 4 аппарат не привязан к оператору сотовой связи Android мобильный телефон шестиядерный 5,7 ''16.0MP 4 Гб О...	209 продано	4 691,16 - 5 102,91 руб.	//aliexpress.ru/item/32856970666.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-8&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001257134453	Оригинальный разблокированный мобильный телефон Samsung Galaxy J3 Pro, 5,0 дюйма, 2 гб озу 16 гб пзу, четыре ядра, две Sim-карты, камера 8 мп, сотовый телефон...	19 продано	5 686,67 - 6 071,18 руб.	//aliexpress.ru/item/4001257134453.html?algo_pvid=1aebee48-6c8d-4268-b89a-60acad969119&algo_expid=1aebee48-6c8d-4268-b89a-60acad969119-9&btsid=0b0a182b16006792090215609e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
