id	description	number_of_orders	price	url
32886550983	Сенсорный экран для Huawei Ascend G610 C8815, сенсорное стекло для Huawei Ascend G610 C8815, сенсорная панель с цифровым преобразователем и защитная пленка для эк...	36 продано	254,04 руб.	//aliexpress.ru/item/32886550983.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-0&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001289527254	8 в 1 мобильный телефон Инструменты для ремонта, Набор отверток для разборки телефона универсальный для Samsung Huawei Xiaomi iPhone TSLM1	108 продано	21,24 - 48,77 руб.	//aliexpress.ru/item/4001289527254.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-1&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001118344407	Слот для sim-карты для Samsung Galaxy S10e G970F G970, оригинальный телефон, новый чип для SIM-карты, держатель для карт Micro SD, адаптер + инструмент	22 продано	77,87 - 125,06 руб.	//aliexpress.ru/item/4001118344407.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-2&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32850494647	Горячая продажа преобразования Nano sim-карты в микро стандартный адаптер для iPhone 5 Прямая поставка J03T заводская цена	681 продано	23,60 - 35,40 руб.	//aliexpress.ru/item/32850494647.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-3&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000807550668	100% Новый OLED lcd для iPhone X XR XS дисплей оптовая цена от фабрики дисплей для iPhone X XS экран 100% тест хорошее 3D Сенсорное стекло	83 продано	1 300,86 - 7 727,30 руб.	//aliexpress.ru/item/4000807550668.html?s=p&ad_pvid=202009220118162364801299092800000069552_1&algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-4&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32949537528	Комплект переходников для Micro Nano/SIM-карты JAVY для iPhone 6, 7 plus, Huawei P8 lite, P9, Xiaomi Note 4 Pro, 3S, Mi5, держатель для симов	1324 продано	43,26 руб.	//aliexpress.ru/item/32949537528.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-5&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000399468306	10 шт. тонкий лоток для sim-карты инструмент для удаления извлечения игла открывалка эжектор для большинства смартфонов и продажи	190 продано	66,86 руб.	//aliexpress.ru/item/4000399468306.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-6&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1000008741440	1 шт., гибридный двойной адаптер для двух Sim-карт Micro SD Nano Sim, Удлинительный адаптер для Xiaomi Redmi для Samsung Huawei	705 продано	70 - 76,29 руб.	//aliexpress.ru/item/1000008741440.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-7&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000764670414	21 в 1 мобильный телефон набор инструментов для ремонта, Набор отверток для открытия инструмента Spudger Для iPhone X 8 7 6S 6 Plus 11 Pro XS ручные инструмент...	4202 продано	119,55 - 288,65 руб.	//aliexpress.ru/item/4000764670414.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-8&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32720824741	ЖК-дисплей AAA + + для iPhone 6, 6S, 7, 8 Plus, с 3D сенсорным экраном в сборе, Замена для iPhone 5, 5C, 5, 5SE, без битых пикселей	18241 продано	512,01 - 1 348,05 руб.	//aliexpress.ru/item/32720824741.html?s=p&ad_pvid=202009220118162364801299092800000069552_2&algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-9&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001336338486	Подходит для Android iPhone, устройство для удаления sim-карт, универсальное устройство для удаления карт		0 руб.	//aliexpress.ru/item/1005001336338486.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-10&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000689526039	Сенсорный экран для телефона Xiaomi Redmi S2, сенсорная панель, дигитайзер, внешнее стекло, объектив, сенсор, замена 3 м, клеевая защитная пленка		313,82 руб.	//aliexpress.ru/item/4000689526039.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-11&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000381899291	Оригинальный Для Samsung Galaxy A10 A20 A30 A40 A50 A70 A80 сенсорный экран стекло ЖК-дисплей Внешний стеклянный объектив Запасные части для телефона Замена	67 продано	196,63 руб.	//aliexpress.ru/item/4000381899291.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-12&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001257585567	Оригинальный двойной и одинарный лоток для sim-карт, держатель слота для Samsung Galaxy S7 edge G935 G935F G935A	35 продано	66,86 - 77,87 руб.	//aliexpress.ru/item/4001257585567.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-13&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33002946311	Для Xiaomi Redmi 9a ЖК-дисплей сенсорный экран дигитайзер в сборе с рамкой для Redmi 7 ЖК-дисплей Запасные Запчасти для ремонта	36 продано	1 567,49 - 2 184,10 руб.	//aliexpress.ru/item/33002946311.html?s=p&ad_pvid=202009220118162364801299092800000069552_3&algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-14&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000479119211	11 шт./компл. набор инструментов для ремонта сотовых телефонов, профессиональный мобильный телефон, отвертка, инструменты для iPhone Samsung Xiaomi	2782 продано	60,56 - 83,37 руб.	//aliexpress.ru/item/4000479119211.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-15&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001108434870	Набор ручных инструментов, набор отверток для разборки экрана, инструменты для ремонта iPhone Samsung HuaWei Xiaomi Мобильный телефон	364 продано	81,01 - 97,53 руб.	//aliexpress.ru/item/4001108434870.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-16&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32789689787	Переходник 4 в 1 для Nano SIM-карты в Micro Standard, адаптер для iPhone7 5, 6, 6s Plus, SE, 5C, xiaomi 5, 4, redmi 3s, 4, 3, huawei honor 7, 8	102 продано	36,97 руб.	//aliexpress.ru/item/32789689787.html?algo_pvid=acb107eb-0630-4572-863d-18973cf9f425&algo_expid=acb107eb-0630-4572-863d-18973cf9f425-17&btsid=0b0a119a16007626965496884e4af7&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
