id	description	number_of_orders	price	url
4000781549145	Универсальные спортивные наушники-вкладыши 3,5 мм, стереонаушники для сотового телефона без микрофона 3,11	69 продано	56,63 - 89,67 руб.	//aliexpress.ru/item/4000781549145.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-0&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001084748530	1 шт. мини Антенна для большого пальца портативная SMA Мужская антенна для Walkie Talkie YAESU Vertex VX-3R VX-6R FT-60R VX-300 FT-250R	3 продано	70,79 руб.	//aliexpress.ru/item/4001084748530.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-1&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000284075422	Гарнитура G-образной формы с штекером 2,5 мм, наушники с микрофоном PTT для Motorola T5320/T5420/T5428/T5628/T5728/T6508/T6200C T series Radio	27 продано	118,77 руб.	//aliexpress.ru/item/4000284075422.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-2&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001253483480	Антенна Nagoya NA-771 SMA-F Женский Dual Band VHF/UHF 144/430 МГц мягкая антенна NA771 для Baofeng UV-5R UV-82 BF-888S иди и болтай Walkie Talkie “иди и NA 771	37 продано	122,70 - 220,22 руб.	//aliexpress.ru/item/4001253483480.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-3&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32994554365	Радио Карманный радиоприемник нагрудный ремень груди кармашек спереди обновления Чехол жилет Рог Carry чехол для 2-х полосный радио иди и болт...	44 продано	688,97 - 721,22 руб.	//aliexpress.ru/item/32994554365.html?s=p&ad_pvid=2020092205573810826452092553400000027570_1&algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-4&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000311748902	Мягкий силиконовый чехол CHIPAL, ручная крышка, чехол для Baofeng двухстороннего мобильного радио UV5R 5RA 5RB 5RC 5RD TYT THF8	150 продано	84,16 - 94,38 руб.	//aliexpress.ru/item/4000311748902.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-5&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000334145590	Рация Baofeng, наушники uv 5r, PTT наушники с микрофоном, крючок, наушники, k-порт, двухсторонняя радио гарнитура, для uv-5r	158 продано	154,16 руб.	//aliexpress.ru/item/4000334145590.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-6&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000747845403	2 шт. SMA гнездо к UHF гнезду RF Соединительный Кабель-адаптер SMA к UHF антенный адаптер, подходит для Baofeng UV-5R, 1/2 шт.	14 продано	249,32 руб.	//aliexpress.ru/item/4000747845403.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-7&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000739830553	Compitable для стандартных литых вилок 2 Pin Подходит для Baofeng 9700 A58 UV9R Motorola GP HT MTX Walkie Talkie Запчасти Аксессуары	14 продано	318,53 руб.	//aliexpress.ru/item/4000739830553.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-8&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32994730518	5 шт./лот Dual Band UHF + VHF SRH805S SMA женский антенна для Baofeng uv-5r BF-888s uv-82 UV-5RA uv-5re TK3107 2107 10 Вт 144/430 МГц	110 продано	512,80 руб.	//aliexpress.ru/item/32994730518.html?s=p&ad_pvid=2020092205573810826452092553400000027570_2&algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-9&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000528570383	Baofeng NA-771 коэффициент усиления антенны NA771 иди и болтай Walkie Talkie антенна SMA-F 39 см UHF VHF сигнала продлить усилитель для UV-5R BF-888S UV-82	1383 продано	154,94 - 305,16 руб.	//aliexpress.ru/item/4000528570383.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-10&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000539194346	1 шт. Мощность регулятор громкости переключатель Замена для Baofeng UV5R UV-5RA 5RE серии	42 продано	90,45 руб.	//aliexpress.ru/item/4000539194346.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-11&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32456963322	Антенна Baofeng с коэффициентом усиления, NA 771, рация, антенна с усилителем сигнала VHF, 39 см, УВЧ, для радио-и радиовещания, для рации на расстоянии...	716 продано	195,84 руб.	//aliexpress.ru/item/32456963322.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-12&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000480113664	Настольное зарядное устройство USB для Baofeng UV 5R, аксессуары для настольной литий-ионной батареи, радио, рации, для 5 частей, 5re	14 продано	286,29 руб.	//aliexpress.ru/item/4000480113664.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-13&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32993113631	10 шт. зажимы Оригинальный аккумулятор для Bf 888s Зажим для ремня для BF-666S BF-888S uv-b5 b6 6r Retevis H-777 РАДИОТЕЛЕФОНА Walkie Talkie “иди и доступа	13 продано	313,03 руб.	//aliexpress.ru/item/32993113631.html?s=p&ad_pvid=2020092205573810826452092553400000027570_3&algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-14&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001142122833	Тактическая антенна Walkie-Talkie из пластика и металла, с разъемом Sma-Female, Двухдиапазонная Складная тактическая антенна Cs, с разъемом, с возможнос...	3 продано	199,77 - 661,45 руб.	//aliexpress.ru/item/4001142122833.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-15&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001462444383	10 шт. новое устройство Pod Kit Mod Vape Pen		3 484,17 руб.	//aliexpress.ru/item/1005001462444383.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-16&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33006998475	BAOFENG 2 разъема USB Кабель для программирования для Walkie Talkie для UV-5R serise BF-888S Kenwood wouxun аксессуары для Walkie Talkie	1478 продано	268,20 руб.	//aliexpress.ru/item/33006998475.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-17&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000419934304	Двухдиапазонная Антенна Baofengs, 1 шт., отличное качество изготовления, для радиоприемника Baofengs, с возможностью работы с устройствами, работающ...	63 продано	72,36 руб.	//aliexpress.ru/item/4000419934304.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-18&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000764315045	Складная тактическая антенна Retevis HA03, гибкая SMA-F, страйкбольная игровая рация, антенна для Baofeng UV-5R BF888S Ailunce HD1	56 продано	792,79 - 849,42 руб.	//aliexpress.ru/item/4000764315045.html?s=p&ad_pvid=2020092205573810826452092553400000027570_4&algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-19&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000987821131	1 шт. 7,5 см однодиапазонная рация антенна усиления сигнала расширение универсального портативного радио для Baofeng BF-888S	32 продано	43,26 руб.	//aliexpress.ru/item/4000987821131.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-20&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000448851806	1 шт., зажим для ремня Baofeng Radio UV5R для радио BAOFEG UV5R Ham Walk	98 продано	58,21 руб.	//aliexpress.ru/item/4000448851806.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-21&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001179005932	12dBi антенна RP-SMA 2,4 ГГц/5 ГГц WiFi двухдиапазонный для беспроводной ip-камеры	16 продано	145,51 руб.	//aliexpress.ru/item/4001179005932.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-22&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000539100856	Разъем для автомобильного прикуривателя, зарядный кабель для Baofeng UV-5R UV-5RE 5RA Walkie Talkie Charge Base 12V DC Power Charging For Radio Cord	449 продано	155,73 руб.	//aliexpress.ru/item/4000539100856.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-23&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000151788942	Складная тактическая антенна Retevis HA02, SMA-F, страйкбольная игровая рация, антенна для Baofeng UV-5R, UV-82 Ailunce HD1 RT29 H777	139 продано	977,62 - 979,98 руб.	//aliexpress.ru/item/4000151788942.html?s=p&ad_pvid=2020092205573810826452092553400000027570_5&algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-24&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32969347561	6-контактный разъем для кабеля питания, коротковолновый адаптер для радиосвязи, переходник для рации YAESU, FT-857D, рация, радиосвязь, рация	36 продано	81,01 - 84,16 руб.	//aliexpress.ru/item/32969347561.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-25&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000216690153	Кабель питания постоянного тока, шнур для мобильного радио/ретранслятора Motorola CDM1250 GM360 GM338 CM140 X6HB	42 продано	118,77 руб.	//aliexpress.ru/item/4000216690153.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-26&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32858330474	Рация BaoFeng, 100% оригинал, 50 км, микрофон, колонка для радио-и радиосвязи «Мидленд», аксессуары для радиосвязи Baofeng, UV-5R	1039 продано	294,15 руб.	//aliexpress.ru/item/32858330474.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-27&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000037236203	Ручной микрофон с креплением на ремень, двухсторонний радиоприемник, сменный микрофон для Motorola PMMN4013A 4021 4022 4013 4051	62 продано	90,45 руб.	//aliexpress.ru/item/4000037236203.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-28&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32994942589	Антенна RH901S SMA-144/430 МГц двухдиапазонная антенна для BaoFeng UV-82 UV-5R GT-3 MarkII UV-5RE плюс BF-F8 RT-5R BF-888S одновременное подключение двух теле	24 продано	276,85 руб.	//aliexpress.ru/item/32994942589.html?s=p&ad_pvid=2020092205573810826452092553400000027570_6&algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-29&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32857204237	Рация Baofeng, 100% оригинал, акустическая трубная гарнитура с микрофоном, PTT динамик для Baofeng, двухсторонняя рация, аксессуары для радио, для Baofeng, ...	220 продано	235,17 руб.	//aliexpress.ru/item/32857204237.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-30&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000055868395	Черная прочная антенна с высоким коэффициентом усиления SMA-Female для Baofeng, антенна с двойным сегментом для радиопередатчика Baofeng, с высоким коэ...	229 продано	193,48 руб.	//aliexpress.ru/item/4000055868395.html?algo_pvid=fded45e9-706c-489c-981f-cb2e92cf8220&algo_expid=fded45e9-706c-489c-981f-cb2e92cf8220-31&btsid=0b0a182b16007794586344514eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
