id	description	number_of_orders	price	url
4000192306256	700-2700 МГц 12dBi 2G 3G 4G LTE магнитная антенна TS9 разъем SMA Мужской GSM внешний маршрутизатор Антенна м	1092 продано	233,59 - 328,76 руб.	//aliexpress.ru/item/4000192306256.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-0&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001430491686	1 шт. SMA 2,4 GHz 9DBI беспроводной Wifi WLAN 5 X усилитель диапазона Антенна удлинитель + база		118,77 руб.	//aliexpress.ru/item/1005001430491686.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-1&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32978131892	Wi-fi антенна 5dBi SMA, двухдиапазонный коннектор wi-fi 2,4 ГГц, 5,8 ГГц, 5 дБи, 21 см, 2 антенны wi-fi, 2,4 ГГц, 2G, 5G + 21 см, кабель со штырьковым наконечником для м...	52 продано	204,49 руб.	//aliexpress.ru/item/32978131892.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-2&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001304059459	CHIPAL 6 м 9 м RG174 SMA кабель-удлинитель медный питательный провод для коаксиального Wi-Fi WiFi сетевой карты маршрутизатор Антенна	20 продано	248,54 - 309,88 руб.	//aliexpress.ru/item/1005001304059459.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-3&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001463016613	2020 Новый продукт 1 база 16 пейджер Беспроводная Гостевая система подкачки		8 388,74 руб.	//aliexpress.ru/item/1005001463016613.html?s=p&ad_pvid=202009220456074867546348854600000336409_1&algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-4&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32845498479	Wi-Fi антенна 3G 4G антенна TS9 беспроводной маршрутизатор Антенна CRC9 2 шт./лот для Huawei E5573 E8372 E3372 PCI карта USB беспроводной маршрутизатор	527 продано	195,84 руб.	//aliexpress.ru/item/32845498479.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-5&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000302709450	Гигабитный волоконно-оптический медиаконвертер, с одним режимом, с одним оптическим портом SC, внешний источник питания 10/100/1000 м	10 продано	1 459,74 руб.	//aliexpress.ru/item/4000302709450.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-6&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001039562529	3G 4G LTE антенна TS9 CRC9 SMA разъем 4G LTE роутер Anetnna внешняя антенна для Huawei 3G 4G LTE роутер модем 3M антенна	159 продано	297,30 руб.	//aliexpress.ru/item/4001039562529.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-7&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000529169214	WIFI усилитель сигнала антенна SMA 433 МГц 5dBi/7dBi/12dBi/ WLAN 5X расширитель диапазона магнитное крепление Сигнала Антенна для WiFi Rotuter	120 продано	227,30 - 250,11 руб.	//aliexpress.ru/item/4000529169214.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-8&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32822923638	Беспроводная антенна 2400 МГц, DIY недорогая внешняя WiFi антенна	17 продано	419,99 руб.	//aliexpress.ru/item/32822923638.html?s=p&ad_pvid=202009220456074867546348854600000336409_2&algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-9&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32969236112	Чистая медь Позолоченные мужские и женские антенны RG174 RP-SMA 1 м 5 м 6 м 9 м удлинитель WiFi Wi-Fi маршрутизатор Wlan	158 продано	158,88 - 334,26 руб.	//aliexpress.ru/item/32969236112.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-10&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000112633543	Всенаправленная антенна CERXUS 433 МГц Lorawan для радиочастотного модуля, wifi ,blue tooth, zigbee ,15 см IPX IPEX U.FL, кабель SMA Female	55 продано	207,64 руб.	//aliexpress.ru/item/4000112633543.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-11&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001372988282	3G 4G LTE антенна TS9 Разъем 4G LTE маршрутизатор Anetnna 3G внешняя антенна с кабелем 3M для Huawei 3G 4G LTE роутер модем ONLENY		124,27 - 602,46 руб.	//aliexpress.ru/item/1005001372988282.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-12&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001341503287	Новый многофункциональный Высокоточный мини-измеритель мощности 3 в 1, перезаряжаемый аккумулятор, тестер сетевого кабеля, тестер оптоволо...		1 553,33 - 1 988,26 руб.	//aliexpress.ru/item/4001341503287.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-13&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32883289247	Мобильная антенна 3G 4G LTE, 700~2600 МГц 88 дБи, усилитель с коннектором «папа» 2* SMA/2* CRC9/2* TS9, панельная антенна MIMO + 2 метра	2492 продано	951,66 - 1 210,42 руб.	//aliexpress.ru/item/32883289247.html?s=p&ad_pvid=202009220456074867546348854600000336409_3&algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-14&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001387604532	2,4G 5G 5,8G 12DBI с высоким коэффициентом усиления Wifi роутер антенна SMA беспроводная сеть внешняя антенна 2400-2500/5150-5850MHz для Huawei роутер		305,95 руб.	//aliexpress.ru/item/1005001387604532.html?algo_pvid=375c3626-d58f-4429-ad39-298774bba061&algo_expid=375c3626-d58f-4429-ad39-298774bba061-15&btsid=0b0a182b16007757677103791eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
