id	description	number_of_orders	price	url
4001053032156	Qmobile старший мобильный телефон SP3000 GSM FM радио Supter фонарь 2,4 дюйма Dual SIM карты 4000 мАч длительным временем ожидания Русская клавиатура	29 продано	1 416,61 - 1 747,41 руб.	//aliexpress.ru/item/4001053032156.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-0&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32974036752	Mosthink L8star 2G GSM Bm70 мини мобильный телефон, беспроводные Bluetooth наушники, сотовый телефон, стерео гарнитура, разблокированный маленький телефон ...	29 продано	1 089,70 руб.	//aliexpress.ru/item/32974036752.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-1&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
33008301787	Mosthink Super Mini 0,66 дюйма, 2G мобильный телефон B25, беспроводные Bluetooth наушники, гарнитура, разблокированный сотовый телефон, две SIM-карты	72 продано	943,37 - 1 281,18 руб.	//aliexpress.ru/item/33008301787.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-2&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32595805780	Большой дисплей для рукописного ввода 2,8 дюйма, Раскладной телефон с большим временем работы в режиме ожидания, кнопка SOS, большой ключ, BT, че...	73 продано	2 288,37 - 2 697,01 руб.	//aliexpress.ru/item/32595805780.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-3&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000130795575	[Не изменяйте] тест для авто		7 783,56 руб.	//aliexpress.ru/item/4000130795575.html?s=p&ad_pvid=202009210140004822500584905660017985199_1&algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-4&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32870054796	"Разблокированный оригинальный Nokia C2-01 мобильный телефон C2 2,0 ""3.2MP Bluetooth русская и арабская клавиатура GSM/WCDMA 3G телефон отремонтирован"	441 продано	1 920,99 - 2 255,68 руб.	//aliexpress.ru/item/32870054796.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-5&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000052104417	Аккумулятор большой мощности Xeno J1 2800 мАч, телефон с двумя sim-картами, GSM, сильный сигнал, ударопрочный светодиодный светильник, сотовый телеф...	9 продано	1 362,13 - 1 478,10 руб.	//aliexpress.ru/item/4000052104417.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-6&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001111341157	Мини мобильный телефон Soyes 7S + Поддержка наушника фонарь для камеры Bluebooth Дети сотовый Поддержка Русский Арабский Иврит Клавиатура	54 продано	1 155,86 - 1 671,14 руб.	//aliexpress.ru/item/4001111341157.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-7&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001014514568	Oukitel L2801 мобильного телефона 2,8 дюймов 2800 мАч тройной сим-карты старше старший мобильный телефон Камера подходит для ответа на звонки и просл...	243 продано	1 588,63 - 1 991,82 руб.	//aliexpress.ru/item/4001014514568.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-8&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000804974244	Оригинальный флип сотовый телефон E66 HD с сенсорным экраном, от руки, с двойным экраном, 2SIM, двойной режим ожидания, клавиша набора, русский яз...	37 продано	1 595,63 - 2 246,34 руб.	//aliexpress.ru/item/4000804974244.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-9&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
2027252423	Оригинальный мобильный телефон Nokia Unlcoked 6303, классический, 1 год гарантии, Восстановленный телефон, быстрая доставка	20 продано	2 217,54 руб.	//aliexpress.ru/item/2027252423.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-10&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000905946523	"Мобильные телефоны android 9,0 XGODY S20 3G смартфон 1 Гб ОЗУ 4 Гб ПЗУ камера 5 Мп две sim-карты разблокировка WIFI 6,5 ""19:9 четырехъядерный сотовый телефон"	14 продано	3 452,01 - 4 449,09 руб.	//aliexpress.ru/item/4000905946523.html?algo_pvid=f8e2465f-625e-47f7-af46-1e998077105f&algo_expid=f8e2465f-625e-47f7-af46-1e998077105f-11&btsid=0b0a182b16006775999651084e5846&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
