id	description	number_of_orders	price	url
1005001417094589	PMR446 портативная рация 2 шт. Удобная двухсторонняя рация PMR Radio FRS H777 1-3 км для охоты/кемпинга		545,83 - 2 371,28 руб.	//aliexpress.ru/item/1005001417094589.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-0&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001357322294	2 шт., мини профессиональная рация, детская, Интерком, электронное портативное радио, мини портативные игрушки, портативное двустороннее рад...		157,30 - 795,15 руб.	//aliexpress.ru/item/1005001357322294.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-1&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001417171670	Портативный USB Кабель зарядного устройства для Baofeng UV-5R BF-F8HP Plus Walkie-Talkie Radio WXTA		132,92 руб.	//aliexpress.ru/item/1005001417171670.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-2&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1000004480249	Оригинальный программирующий кабель для рации Baofeng, водонепроницаемый, с разъемом для рации, с функцией «Walkie Talkie», «Plus», «1», «1», «2», «2», «1», «...	41 продано	395,61 - 775,49 руб.	//aliexpress.ru/item/1000004480249.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-3&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32688490110	2 шт. Retevis RT388 детская рация детская игрушка радио 0,5 Вт ПМР PMR446 ФРС VOX фонарик 2 портативных радиостанций КВ трансивер	1294 продано	1 125,48 - 1 219,07 руб.	//aliexpress.ru/item/32688490110.html?s=p&ad_pvid=20200922052712308681984200080000378603_1&algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-4&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001334052802	Портативный Универсальный Baofeng 2-передающая радиоустановка Динамик с микрофоном РАДИОТЕЛЕФОНА Walkie Talkie “иди и для Kenwood Отель Ресторан безоп...		115,62 - 524,60 руб.	//aliexpress.ru/item/1005001334052802.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-5&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001310100894	Двойной USB порт Открытый Кемпинг Светодиодный светильник 300000mAh солнечный банк питания для мобильного телефона внешний аккумулятор зарядно...	13 продано	3 019,35 - 3 020,92 руб.	//aliexpress.ru/item/1005001310100894.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-6&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1899235187	Портативная рация RETEVIS RT388, Детские рации, 2 шт., мини двухсторонняя радиостанция, PMR, подарок для детей/для семейного использования/кемпинга, ...	2903 продано	1 142,78 - 1 348,05 руб.	//aliexpress.ru/item/1899235187.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-7&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32447803339	Baofeng UV-5R рация профессиональная CB радиостанция Baofeng UV 5R приемопередатчик 5 Вт VHF UHF портативная UV5R охотничий радиоприемник	2495 продано	1 656,36 - 1 705,91 руб.	//aliexpress.ru/item/32447803339.html?s=p&ad_pvid=20200922052712308681984200080000378603_2&algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-9&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001423223498	Двухдиапазонная портативная рация, двухполосная Любительская рация, радиопередатчик HF, Любительская Удобная рация		545,83 - 2 025,22 руб.	//aliexpress.ru/item/1005001423223498.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-10&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32914373277	2 шт./компл. детская рация Детские радиоприемники мини игрушки baofeng BF-T3 для детей подарок на день рождения BFT3 рождественские подарки BF T3	1004 продано	988,63 - 1 119,97 руб.	//aliexpress.ru/item/32914373277.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-11&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32727829637	Наушники с поворотным зажимом для микрофона Yaesu, наушники 3,5 мм, аудио разъем MH34B4B для Yaesu, VX-3R, FT1DR, FT2DR, PTT	23 продано	681,89 руб.	//aliexpress.ru/item/32727829637.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-12&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32809532856	Лучшая Вибрирующая рация с горлом, рация, микрофон, гарнитура для BAOFENG, для Wouxun, в виде горла, с микрофоном, для того, что бы вы ни были, для BAOFENG,...	56 продано	508,08 руб.	//aliexpress.ru/item/32809532856.html?algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-13&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32879392499	2 шт., портативная рация Retevis RT30 для детей, 2 шт., мультяшная сова, дизайн, двусторонняя рация, 0,5 Вт, 1 канал, FRS/PMR PMR446, рации	408 продано	1 309,52 руб.	//aliexpress.ru/item/32879392499.html?s=p&ad_pvid=20200922052712308681984200080000378603_3&algo_pvid=9957c316-0bd7-43c2-b61e-1b62033a9442&algo_expid=9957c316-0bd7-43c2-b61e-1b62033a9442-14&btsid=0b0a182b16007776317342916eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
