id	description	number_of_orders	price	url
32886550983	Сенсорный экран для Huawei Ascend G610 C8815, сенсорное стекло для Huawei Ascend G610 C8815, сенсорная панель с цифровым преобразователем и защитная пленка для эк...	36 продано	254,04 руб.	//aliexpress.ru/item/32886550983.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-0&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32963420454	Внешний стеклянный экран Wyieno CTE560 для Philips Xenium E560, фронтальная стеклянная линза (не сенсорный экран, датчик экрана), отслеживание	68 продано	233,59 руб.	//aliexpress.ru/item/32963420454.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-1&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32826000915	"Высокое Качество 5,0 ""для Lenovo A536 сенсорный экран дигитайзер Переднее стекло объектив сенсорная панель"	24 продано	246,18 - 298,87 руб.	//aliexpress.ru/item/32826000915.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-2&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32977711093	Сенсорный экран 4,5 дюйма для Huawei Ascend Y550, сенсорная панель с дигитайзером для сенсорной панели, сенсорное стекло, сенсорное стекло для Huawei Ascend...	14 продано	246,96 руб.	//aliexpress.ru/item/32977711093.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-3&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
1005001392963831	Сенсорный экран для iPhone X/XR/XS Сенсорная панель дигитайзер для iPhone XS Max сенсорный экран для iPhone 11 Pro замена сенсорного стекла		933,57 - 6 276,22 руб.	//aliexpress.ru/item/1005001392963831.html?s=p&ad_pvid=202009220425111470848744107080000317857_1&algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-4&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000530564145	Переднее стекло для Samsung Galaxy M10 M20 M30 M40 A60 A50 A30, сменная сенсорная панель, внешнее стекло для объектива, передний экран	13 продано	266,63 руб.	//aliexpress.ru/item/4000530564145.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-5&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000131271140	Сенсорная панель для Samsung Galaxy Trend DUOS S7560 S7562, сенсорный экран с цифровым преобразователем, сенсорный экран для Samsung Galaxy Trend DUOS S7560, S7562, 7562, 7560,	39 продано	259,55 - 361,79 руб.	//aliexpress.ru/item/4000131271140.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-6&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4000381899291	Оригинальный Для Samsung Galaxy A10 A20 A30 A40 A50 A70 A80 сенсорный экран стекло ЖК-дисплей Внешний стеклянный объектив Запасные части для телефона Замена	67 продано	196,63 руб.	//aliexpress.ru/item/4000381899291.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-7&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
32968792339	Сенсорный экран для Nokia 5800, дигитайзер объектива, передняя панель	17 продано	217,86 руб.	//aliexpress.ru/item/32968792339.html?algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-8&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
4001276465578	1 шт. оригинальный A1893 A1954 ЖК сенсорный экран передняя панель стекло дигитайзер для iPad 2018 поколение 6 6th Панель кнопка домой	6 продано	896,61 - 1 083,01 руб.	//aliexpress.ru/item/4001276465578.html?s=p&ad_pvid=202009220425111470848744107080000317857_2&algo_pvid=6780a92e-6cf7-4030-9577-444301e9b349&algo_expid=6780a92e-6cf7-4030-9577-444301e9b349-9&btsid=0b0a182b16007739108093001eb6e5&ws_ab_test=searchweb0_0,searchweb201602_,searchweb201603_
